group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 01,Task 1 - Amount of increasing measurements,,,,3197065.0,ns,54
Day 01,Task 1 - Amount of increasing measurements,,,,6311192.0,ns,108
Day 01,Task 1 - Amount of increasing measurements,,,,9520446.0,ns,162
Day 01,Task 1 - Amount of increasing measurements,,,,12627678.0,ns,216
Day 01,Task 1 - Amount of increasing measurements,,,,15798572.0,ns,270
Day 01,Task 1 - Amount of increasing measurements,,,,19016334.0,ns,324
Day 01,Task 1 - Amount of increasing measurements,,,,22133513.0,ns,378
Day 01,Task 1 - Amount of increasing measurements,,,,25354526.0,ns,432
Day 01,Task 1 - Amount of increasing measurements,,,,28634242.0,ns,486
Day 01,Task 1 - Amount of increasing measurements,,,,31638737.0,ns,540
Day 01,Task 1 - Amount of increasing measurements,,,,34854983.0,ns,594
Day 01,Task 1 - Amount of increasing measurements,,,,38000482.0,ns,648
Day 01,Task 1 - Amount of increasing measurements,,,,41284680.0,ns,702
Day 01,Task 1 - Amount of increasing measurements,,,,44552523.0,ns,756
Day 01,Task 1 - Amount of increasing measurements,,,,47757412.0,ns,810
Day 01,Task 1 - Amount of increasing measurements,,,,50564808.0,ns,864
Day 01,Task 1 - Amount of increasing measurements,,,,53782765.0,ns,918
Day 01,Task 1 - Amount of increasing measurements,,,,57368451.0,ns,972
Day 01,Task 1 - Amount of increasing measurements,,,,60149696.0,ns,1026
Day 01,Task 1 - Amount of increasing measurements,,,,63584840.0,ns,1080
Day 01,Task 1 - Amount of increasing measurements,,,,66510543.0,ns,1134
Day 01,Task 1 - Amount of increasing measurements,,,,70439313.0,ns,1188
Day 01,Task 1 - Amount of increasing measurements,,,,73026727.0,ns,1242
Day 01,Task 1 - Amount of increasing measurements,,,,76650156.0,ns,1296
Day 01,Task 1 - Amount of increasing measurements,,,,79659568.0,ns,1350
Day 01,Task 1 - Amount of increasing measurements,,,,82426200.0,ns,1404
Day 01,Task 1 - Amount of increasing measurements,,,,85456879.0,ns,1458
Day 01,Task 1 - Amount of increasing measurements,,,,88853094.0,ns,1512
Day 01,Task 1 - Amount of increasing measurements,,,,92137933.0,ns,1566
Day 01,Task 1 - Amount of increasing measurements,,,,94996334.0,ns,1620
Day 01,Task 1 - Amount of increasing measurements,,,,99024908.0,ns,1674
Day 01,Task 1 - Amount of increasing measurements,,,,101520379.0,ns,1728
Day 01,Task 1 - Amount of increasing measurements,,,,104765590.0,ns,1782
Day 01,Task 1 - Amount of increasing measurements,,,,108493134.0,ns,1836
Day 01,Task 1 - Amount of increasing measurements,,,,111235204.0,ns,1890
Day 01,Task 1 - Amount of increasing measurements,,,,114654311.0,ns,1944
Day 01,Task 1 - Amount of increasing measurements,,,,120704953.0,ns,1998
Day 01,Task 1 - Amount of increasing measurements,,,,120774241.0,ns,2052
Day 01,Task 1 - Amount of increasing measurements,,,,123984692.0,ns,2106
Day 01,Task 1 - Amount of increasing measurements,,,,126999560.0,ns,2160
Day 01,Task 1 - Amount of increasing measurements,,,,130187563.0,ns,2214
Day 01,Task 1 - Amount of increasing measurements,,,,133357816.0,ns,2268
Day 01,Task 1 - Amount of increasing measurements,,,,136472161.0,ns,2322
Day 01,Task 1 - Amount of increasing measurements,,,,140287060.0,ns,2376
Day 01,Task 1 - Amount of increasing measurements,,,,142545254.0,ns,2430
Day 01,Task 1 - Amount of increasing measurements,,,,146291268.0,ns,2484
Day 01,Task 1 - Amount of increasing measurements,,,,150281380.0,ns,2538
Day 01,Task 1 - Amount of increasing measurements,,,,152538756.0,ns,2592
Day 01,Task 1 - Amount of increasing measurements,,,,155695146.0,ns,2646
Day 01,Task 1 - Amount of increasing measurements,,,,158470659.0,ns,2700
