group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 01,Task 2 - Amount of increasing measurement sums,,,,3206862.0,ns,54
Day 01,Task 2 - Amount of increasing measurement sums,,,,6332738.0,ns,108
Day 01,Task 2 - Amount of increasing measurement sums,,,,9587147.0,ns,162
Day 01,Task 2 - Amount of increasing measurement sums,,,,12810911.0,ns,216
Day 01,Task 2 - Amount of increasing measurement sums,,,,15920754.0,ns,270
Day 01,Task 2 - Amount of increasing measurement sums,,,,19147129.0,ns,324
Day 01,Task 2 - Amount of increasing measurement sums,,,,22187514.0,ns,378
Day 01,Task 2 - Amount of increasing measurement sums,,,,25497092.0,ns,432
Day 01,Task 2 - Amount of increasing measurement sums,,,,28633650.0,ns,486
Day 01,Task 2 - Amount of increasing measurement sums,,,,31714341.0,ns,540
Day 01,Task 2 - Amount of increasing measurement sums,,,,35501635.0,ns,594
Day 01,Task 2 - Amount of increasing measurement sums,,,,38148736.0,ns,648
Day 01,Task 2 - Amount of increasing measurement sums,,,,41304305.0,ns,702
Day 01,Task 2 - Amount of increasing measurement sums,,,,45330137.0,ns,756
Day 01,Task 2 - Amount of increasing measurement sums,,,,47739065.0,ns,810
Day 01,Task 2 - Amount of increasing measurement sums,,,,51530976.0,ns,864
Day 01,Task 2 - Amount of increasing measurement sums,,,,54628068.0,ns,918
Day 01,Task 2 - Amount of increasing measurement sums,,,,57228743.0,ns,972
Day 01,Task 2 - Amount of increasing measurement sums,,,,60792524.0,ns,1026
Day 01,Task 2 - Amount of increasing measurement sums,,,,64120015.0,ns,1080
Day 01,Task 2 - Amount of increasing measurement sums,,,,66831144.0,ns,1134
Day 01,Task 2 - Amount of increasing measurement sums,,,,69980710.0,ns,1188
Day 01,Task 2 - Amount of increasing measurement sums,,,,75200736.0,ns,1242
Day 01,Task 2 - Amount of increasing measurement sums,,,,76729516.0,ns,1296
Day 01,Task 2 - Amount of increasing measurement sums,,,,80084181.0,ns,1350
Day 01,Task 2 - Amount of increasing measurement sums,,,,83130388.0,ns,1404
Day 01,Task 2 - Amount of increasing measurement sums,,,,85835871.0,ns,1458
Day 01,Task 2 - Amount of increasing measurement sums,,,,97935569.0,ns,1512
Day 01,Task 2 - Amount of increasing measurement sums,,,,99007380.0,ns,1566
Day 01,Task 2 - Amount of increasing measurement sums,,,,101041697.0,ns,1620
Day 01,Task 2 - Amount of increasing measurement sums,,,,99155153.0,ns,1674
Day 01,Task 2 - Amount of increasing measurement sums,,,,103523934.0,ns,1728
Day 01,Task 2 - Amount of increasing measurement sums,,,,105819243.0,ns,1782
Day 01,Task 2 - Amount of increasing measurement sums,,,,108601775.0,ns,1836
Day 01,Task 2 - Amount of increasing measurement sums,,,,113050438.0,ns,1890
Day 01,Task 2 - Amount of increasing measurement sums,,,,114974516.0,ns,1944
Day 01,Task 2 - Amount of increasing measurement sums,,,,119571279.0,ns,1998
Day 01,Task 2 - Amount of increasing measurement sums,,,,121021439.0,ns,2052
Day 01,Task 2 - Amount of increasing measurement sums,,,,124689665.0,ns,2106
Day 01,Task 2 - Amount of increasing measurement sums,,,,128571098.0,ns,2160
Day 01,Task 2 - Amount of increasing measurement sums,,,,132430278.0,ns,2214
Day 01,Task 2 - Amount of increasing measurement sums,,,,134383202.0,ns,2268
Day 01,Task 2 - Amount of increasing measurement sums,,,,137101636.0,ns,2322
Day 01,Task 2 - Amount of increasing measurement sums,,,,140027863.0,ns,2376
Day 01,Task 2 - Amount of increasing measurement sums,,,,143206123.0,ns,2430
Day 01,Task 2 - Amount of increasing measurement sums,,,,147529648.0,ns,2484
Day 01,Task 2 - Amount of increasing measurement sums,,,,151120702.0,ns,2538
Day 01,Task 2 - Amount of increasing measurement sums,,,,152937387.0,ns,2592
Day 01,Task 2 - Amount of increasing measurement sums,,,,155847400.0,ns,2646
Day 01,Task 2 - Amount of increasing measurement sums,,,,159522888.0,ns,2700
