group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 01,Task 2 - Amount of increasing measurement sums,,,,3224896.0,ns,54
Day 01,Task 2 - Amount of increasing measurement sums,,,,6368330.0,ns,108
Day 01,Task 2 - Amount of increasing measurement sums,,,,9556789.0,ns,162
Day 01,Task 2 - Amount of increasing measurement sums,,,,12669503.0,ns,216
Day 01,Task 2 - Amount of increasing measurement sums,,,,15826632.0,ns,270
Day 01,Task 2 - Amount of increasing measurement sums,,,,19063209.0,ns,324
Day 01,Task 2 - Amount of increasing measurement sums,,,,22182662.0,ns,378
Day 01,Task 2 - Amount of increasing measurement sums,,,,25395990.0,ns,432
Day 01,Task 2 - Amount of increasing measurement sums,,,,28579888.0,ns,486
Day 01,Task 2 - Amount of increasing measurement sums,,,,31691618.0,ns,540
Day 01,Task 2 - Amount of increasing measurement sums,,,,34953815.0,ns,594
Day 01,Task 2 - Amount of increasing measurement sums,,,,38139460.0,ns,648
Day 01,Task 2 - Amount of increasing measurement sums,,,,41479187.0,ns,702
Day 01,Task 2 - Amount of increasing measurement sums,,,,44464998.0,ns,756
Day 01,Task 2 - Amount of increasing measurement sums,,,,47615666.0,ns,810
Day 01,Task 2 - Amount of increasing measurement sums,,,,50870771.0,ns,864
Day 01,Task 2 - Amount of increasing measurement sums,,,,54611319.0,ns,918
Day 01,Task 2 - Amount of increasing measurement sums,,,,57145489.0,ns,972
Day 01,Task 2 - Amount of increasing measurement sums,,,,60197660.0,ns,1026
Day 01,Task 2 - Amount of increasing measurement sums,,,,63760609.0,ns,1080
Day 01,Task 2 - Amount of increasing measurement sums,,,,70389391.0,ns,1134
Day 01,Task 2 - Amount of increasing measurement sums,,,,71012621.0,ns,1188
Day 01,Task 2 - Amount of increasing measurement sums,,,,74913289.0,ns,1242
Day 01,Task 2 - Amount of increasing measurement sums,,,,78692949.0,ns,1296
Day 01,Task 2 - Amount of increasing measurement sums,,,,81081134.0,ns,1350
Day 01,Task 2 - Amount of increasing measurement sums,,,,83510497.0,ns,1404
Day 01,Task 2 - Amount of increasing measurement sums,,,,86685019.0,ns,1458
Day 01,Task 2 - Amount of increasing measurement sums,,,,90292964.0,ns,1512
Day 01,Task 2 - Amount of increasing measurement sums,,,,93159973.0,ns,1566
Day 01,Task 2 - Amount of increasing measurement sums,,,,96583625.0,ns,1620
Day 01,Task 2 - Amount of increasing measurement sums,,,,99063199.0,ns,1674
Day 01,Task 2 - Amount of increasing measurement sums,,,,101908177.0,ns,1728
Day 01,Task 2 - Amount of increasing measurement sums,,,,105179754.0,ns,1782
Day 01,Task 2 - Amount of increasing measurement sums,,,,108128434.0,ns,1836
Day 01,Task 2 - Amount of increasing measurement sums,,,,111561489.0,ns,1890
Day 01,Task 2 - Amount of increasing measurement sums,,,,114306063.0,ns,1944
Day 01,Task 2 - Amount of increasing measurement sums,,,,118063470.0,ns,1998
Day 01,Task 2 - Amount of increasing measurement sums,,,,120833929.0,ns,2052
Day 01,Task 2 - Amount of increasing measurement sums,,,,123888244.0,ns,2106
Day 01,Task 2 - Amount of increasing measurement sums,,,,128141503.0,ns,2160
Day 01,Task 2 - Amount of increasing measurement sums,,,,130534204.0,ns,2214
Day 01,Task 2 - Amount of increasing measurement sums,,,,134504094.0,ns,2268
Day 01,Task 2 - Amount of increasing measurement sums,,,,136797289.0,ns,2322
Day 01,Task 2 - Amount of increasing measurement sums,,,,140060316.0,ns,2376
Day 01,Task 2 - Amount of increasing measurement sums,,,,143640626.0,ns,2430
Day 01,Task 2 - Amount of increasing measurement sums,,,,146731029.0,ns,2484
Day 01,Task 2 - Amount of increasing measurement sums,,,,152388637.0,ns,2538
Day 01,Task 2 - Amount of increasing measurement sums,,,,152660874.0,ns,2592
Day 01,Task 2 - Amount of increasing measurement sums,,,,156214154.0,ns,2646
Day 01,Task 2 - Amount of increasing measurement sums,,,,160000641.0,ns,2700
