group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 02,Task 1 - Distance and depth,,,,3353098.0,ns,23
Day 02,Task 1 - Distance and depth,,,,6473599.0,ns,46
Day 02,Task 1 - Distance and depth,,,,9792629.0,ns,69
Day 02,Task 1 - Distance and depth,,,,13195632.0,ns,92
Day 02,Task 1 - Distance and depth,,,,16334000.0,ns,115
Day 02,Task 1 - Distance and depth,,,,19968983.0,ns,138
Day 02,Task 1 - Distance and depth,,,,23205285.0,ns,161
Day 02,Task 1 - Distance and depth,,,,26348453.0,ns,184
Day 02,Task 1 - Distance and depth,,,,29639209.0,ns,207
Day 02,Task 1 - Distance and depth,,,,32637193.0,ns,230
Day 02,Task 1 - Distance and depth,,,,36201095.0,ns,253
Day 02,Task 1 - Distance and depth,,,,39187502.0,ns,276
Day 02,Task 1 - Distance and depth,,,,42814077.0,ns,299
Day 02,Task 1 - Distance and depth,,,,46153018.0,ns,322
Day 02,Task 1 - Distance and depth,,,,49431751.0,ns,345
Day 02,Task 1 - Distance and depth,,,,52200644.0,ns,368
Day 02,Task 1 - Distance and depth,,,,55689700.0,ns,391
Day 02,Task 1 - Distance and depth,,,,59319247.0,ns,414
Day 02,Task 1 - Distance and depth,,,,62386487.0,ns,437
Day 02,Task 1 - Distance and depth,,,,65741526.0,ns,460
Day 02,Task 1 - Distance and depth,,,,68805052.0,ns,483
Day 02,Task 1 - Distance and depth,,,,72513007.0,ns,506
Day 02,Task 1 - Distance and depth,,,,75122997.0,ns,529
Day 02,Task 1 - Distance and depth,,,,78407879.0,ns,552
Day 02,Task 1 - Distance and depth,,,,82281038.0,ns,575
Day 02,Task 1 - Distance and depth,,,,84749660.0,ns,598
Day 02,Task 1 - Distance and depth,,,,88826229.0,ns,621
Day 02,Task 1 - Distance and depth,,,,93039990.0,ns,644
Day 02,Task 1 - Distance and depth,,,,96042945.0,ns,667
Day 02,Task 1 - Distance and depth,,,,98545697.0,ns,690
Day 02,Task 1 - Distance and depth,,,,101277161.0,ns,713
Day 02,Task 1 - Distance and depth,,,,104223375.0,ns,736
Day 02,Task 1 - Distance and depth,,,,109387897.0,ns,759
Day 02,Task 1 - Distance and depth,,,,111870444.0,ns,782
Day 02,Task 1 - Distance and depth,,,,114701106.0,ns,805
Day 02,Task 1 - Distance and depth,,,,119465733.0,ns,828
Day 02,Task 1 - Distance and depth,,,,121678144.0,ns,851
Day 02,Task 1 - Distance and depth,,,,124851062.0,ns,874
Day 02,Task 1 - Distance and depth,,,,128492479.0,ns,897
Day 02,Task 1 - Distance and depth,,,,130195263.0,ns,920
Day 02,Task 1 - Distance and depth,,,,133856892.0,ns,943
Day 02,Task 1 - Distance and depth,,,,138542182.0,ns,966
Day 02,Task 1 - Distance and depth,,,,140514023.0,ns,989
Day 02,Task 1 - Distance and depth,,,,144084130.0,ns,1012
Day 02,Task 1 - Distance and depth,,,,151105275.0,ns,1035
Day 02,Task 1 - Distance and depth,,,,150550253.0,ns,1058
Day 02,Task 1 - Distance and depth,,,,153367028.0,ns,1081
Day 02,Task 1 - Distance and depth,,,,157452213.0,ns,1104
Day 02,Task 1 - Distance and depth,,,,161966208.0,ns,1127
Day 02,Task 1 - Distance and depth,,,,165502613.0,ns,1150
