group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 02,Task 1 - Distance and depth,,,,3242035.0,ns,23
Day 02,Task 1 - Distance and depth,,,,6518194.0,ns,46
Day 02,Task 1 - Distance and depth,,,,9762255.0,ns,69
Day 02,Task 1 - Distance and depth,,,,13301052.0,ns,92
Day 02,Task 1 - Distance and depth,,,,16128918.0,ns,115
Day 02,Task 1 - Distance and depth,,,,19554707.0,ns,138
Day 02,Task 1 - Distance and depth,,,,23134707.0,ns,161
Day 02,Task 1 - Distance and depth,,,,25954749.0,ns,184
Day 02,Task 1 - Distance and depth,,,,29420423.0,ns,207
Day 02,Task 1 - Distance and depth,,,,32483780.0,ns,230
Day 02,Task 1 - Distance and depth,,,,35910828.0,ns,253
Day 02,Task 1 - Distance and depth,,,,39241195.0,ns,276
Day 02,Task 1 - Distance and depth,,,,45628487.0,ns,299
Day 02,Task 1 - Distance and depth,,,,46106483.0,ns,322
Day 02,Task 1 - Distance and depth,,,,48579225.0,ns,345
Day 02,Task 1 - Distance and depth,,,,52875677.0,ns,368
Day 02,Task 1 - Distance and depth,,,,55244068.0,ns,391
Day 02,Task 1 - Distance and depth,,,,58578657.0,ns,414
Day 02,Task 1 - Distance and depth,,,,61788194.0,ns,437
Day 02,Task 1 - Distance and depth,,,,65047964.0,ns,460
Day 02,Task 1 - Distance and depth,,,,68109419.0,ns,483
Day 02,Task 1 - Distance and depth,,,,71493543.0,ns,506
Day 02,Task 1 - Distance and depth,,,,75124460.0,ns,529
Day 02,Task 1 - Distance and depth,,,,78930483.0,ns,552
Day 02,Task 1 - Distance and depth,,,,81765340.0,ns,575
Day 02,Task 1 - Distance and depth,,,,85084768.0,ns,598
Day 02,Task 1 - Distance and depth,,,,88659995.0,ns,621
Day 02,Task 1 - Distance and depth,,,,91197964.0,ns,644
Day 02,Task 1 - Distance and depth,,,,95128468.0,ns,667
Day 02,Task 1 - Distance and depth,,,,98527997.0,ns,690
Day 02,Task 1 - Distance and depth,,,,101122175.0,ns,713
Day 02,Task 1 - Distance and depth,,,,104025599.0,ns,736
Day 02,Task 1 - Distance and depth,,,,107140765.0,ns,759
Day 02,Task 1 - Distance and depth,,,,110660509.0,ns,782
Day 02,Task 1 - Distance and depth,,,,115012829.0,ns,805
Day 02,Task 1 - Distance and depth,,,,117647985.0,ns,828
Day 02,Task 1 - Distance and depth,,,,120257879.0,ns,851
Day 02,Task 1 - Distance and depth,,,,123781403.0,ns,874
Day 02,Task 1 - Distance and depth,,,,128481731.0,ns,897
Day 02,Task 1 - Distance and depth,,,,130890962.0,ns,920
Day 02,Task 1 - Distance and depth,,,,133530008.0,ns,943
Day 02,Task 1 - Distance and depth,,,,136563753.0,ns,966
Day 02,Task 1 - Distance and depth,,,,140856349.0,ns,989
Day 02,Task 1 - Distance and depth,,,,143192248.0,ns,1012
Day 02,Task 1 - Distance and depth,,,,146385548.0,ns,1035
Day 02,Task 1 - Distance and depth,,,,150756759.0,ns,1058
Day 02,Task 1 - Distance and depth,,,,152859317.0,ns,1081
Day 02,Task 1 - Distance and depth,,,,157332179.0,ns,1104
Day 02,Task 1 - Distance and depth,,,,168417066.0,ns,1127
Day 02,Task 1 - Distance and depth,,,,170116910.0,ns,1150
