group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 02,Task 2 - Distance and depth with aim,,,,3160046.0,ns,23
Day 02,Task 2 - Distance and depth with aim,,,,6308334.0,ns,46
Day 02,Task 2 - Distance and depth with aim,,,,9471966.0,ns,69
Day 02,Task 2 - Distance and depth with aim,,,,12924692.0,ns,92
Day 02,Task 2 - Distance and depth with aim,,,,15677602.0,ns,115
Day 02,Task 2 - Distance and depth with aim,,,,19066505.0,ns,138
Day 02,Task 2 - Distance and depth with aim,,,,22042786.0,ns,161
Day 02,Task 2 - Distance and depth with aim,,,,25418420.0,ns,184
Day 02,Task 2 - Distance and depth with aim,,,,28313005.0,ns,207
Day 02,Task 2 - Distance and depth with aim,,,,31344439.0,ns,230
Day 02,Task 2 - Distance and depth with aim,,,,34553747.0,ns,253
Day 02,Task 2 - Distance and depth with aim,,,,37587320.0,ns,276
Day 02,Task 2 - Distance and depth with aim,,,,41376755.0,ns,299
Day 02,Task 2 - Distance and depth with aim,,,,43985113.0,ns,322
Day 02,Task 2 - Distance and depth with aim,,,,47513934.0,ns,345
Day 02,Task 2 - Distance and depth with aim,,,,50715767.0,ns,368
Day 02,Task 2 - Distance and depth with aim,,,,53950764.0,ns,391
Day 02,Task 2 - Distance and depth with aim,,,,56897584.0,ns,414
Day 02,Task 2 - Distance and depth with aim,,,,59795720.0,ns,437
Day 02,Task 2 - Distance and depth with aim,,,,63261367.0,ns,460
Day 02,Task 2 - Distance and depth with aim,,,,66186070.0,ns,483
Day 02,Task 2 - Distance and depth with aim,,,,69358339.0,ns,506
Day 02,Task 2 - Distance and depth with aim,,,,72521122.0,ns,529
Day 02,Task 2 - Distance and depth with aim,,,,75436251.0,ns,552
Day 02,Task 2 - Distance and depth with aim,,,,79374331.0,ns,575
Day 02,Task 2 - Distance and depth with aim,,,,82215085.0,ns,598
Day 02,Task 2 - Distance and depth with aim,,,,85174883.0,ns,621
Day 02,Task 2 - Distance and depth with aim,,,,89271318.0,ns,644
Day 02,Task 2 - Distance and depth with aim,,,,91488848.0,ns,667
Day 02,Task 2 - Distance and depth with aim,,,,94669151.0,ns,690
Day 02,Task 2 - Distance and depth with aim,,,,98744033.0,ns,713
Day 02,Task 2 - Distance and depth with aim,,,,101024824.0,ns,736
Day 02,Task 2 - Distance and depth with aim,,,,104200304.0,ns,759
Day 02,Task 2 - Distance and depth with aim,,,,107284986.0,ns,782
Day 02,Task 2 - Distance and depth with aim,,,,110232060.0,ns,805
Day 02,Task 2 - Distance and depth with aim,,,,114021830.0,ns,828
Day 02,Task 2 - Distance and depth with aim,,,,116757345.0,ns,851
Day 02,Task 2 - Distance and depth with aim,,,,120851108.0,ns,874
Day 02,Task 2 - Distance and depth with aim,,,,123001940.0,ns,897
Day 02,Task 2 - Distance and depth with aim,,,,127194309.0,ns,920
Day 02,Task 2 - Distance and depth with aim,,,,129793996.0,ns,943
Day 02,Task 2 - Distance and depth with aim,,,,135812883.0,ns,966
Day 02,Task 2 - Distance and depth with aim,,,,135654331.0,ns,989
Day 02,Task 2 - Distance and depth with aim,,,,139553354.0,ns,1012
Day 02,Task 2 - Distance and depth with aim,,,,141447128.0,ns,1035
Day 02,Task 2 - Distance and depth with aim,,,,146337316.0,ns,1058
Day 02,Task 2 - Distance and depth with aim,,,,148409806.0,ns,1081
Day 02,Task 2 - Distance and depth with aim,,,,152027253.0,ns,1104
Day 02,Task 2 - Distance and depth with aim,,,,154653405.0,ns,1127
Day 02,Task 2 - Distance and depth with aim,,,,157836806.0,ns,1150
