group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 02,Task 2 - Distance and depth with aim,,,,3164406.0,ns,23
Day 02,Task 2 - Distance and depth with aim,,,,6319807.0,ns,46
Day 02,Task 2 - Distance and depth with aim,,,,9484223.0,ns,69
Day 02,Task 2 - Distance and depth with aim,,,,12597754.0,ns,92
Day 02,Task 2 - Distance and depth with aim,,,,15796706.0,ns,115
Day 02,Task 2 - Distance and depth with aim,,,,18969474.0,ns,138
Day 02,Task 2 - Distance and depth with aim,,,,21938090.0,ns,161
Day 02,Task 2 - Distance and depth with aim,,,,25049323.0,ns,184
Day 02,Task 2 - Distance and depth with aim,,,,28616145.0,ns,207
Day 02,Task 2 - Distance and depth with aim,,,,31440285.0,ns,230
Day 02,Task 2 - Distance and depth with aim,,,,35282655.0,ns,253
Day 02,Task 2 - Distance and depth with aim,,,,38471632.0,ns,276
Day 02,Task 2 - Distance and depth with aim,,,,41604971.0,ns,299
Day 02,Task 2 - Distance and depth with aim,,,,44317477.0,ns,322
Day 02,Task 2 - Distance and depth with aim,,,,47372235.0,ns,345
Day 02,Task 2 - Distance and depth with aim,,,,50495258.0,ns,368
Day 02,Task 2 - Distance and depth with aim,,,,53703821.0,ns,391
Day 02,Task 2 - Distance and depth with aim,,,,56857848.0,ns,414
Day 02,Task 2 - Distance and depth with aim,,,,59769193.0,ns,437
Day 02,Task 2 - Distance and depth with aim,,,,63165038.0,ns,460
Day 02,Task 2 - Distance and depth with aim,,,,66384687.0,ns,483
Day 02,Task 2 - Distance and depth with aim,,,,69870501.0,ns,506
Day 02,Task 2 - Distance and depth with aim,,,,72874578.0,ns,529
Day 02,Task 2 - Distance and depth with aim,,,,76737138.0,ns,552
Day 02,Task 2 - Distance and depth with aim,,,,78892937.0,ns,575
Day 02,Task 2 - Distance and depth with aim,,,,82184087.0,ns,598
Day 02,Task 2 - Distance and depth with aim,,,,85474487.0,ns,621
Day 02,Task 2 - Distance and depth with aim,,,,90429994.0,ns,644
Day 02,Task 2 - Distance and depth with aim,,,,91745555.0,ns,667
Day 02,Task 2 - Distance and depth with aim,,,,94611688.0,ns,690
Day 02,Task 2 - Distance and depth with aim,,,,107399965.0,ns,713
Day 02,Task 2 - Distance and depth with aim,,,,102145591.0,ns,736
Day 02,Task 2 - Distance and depth with aim,,,,113295325.0,ns,759
Day 02,Task 2 - Distance and depth with aim,,,,111529861.0,ns,782
Day 02,Task 2 - Distance and depth with aim,,,,113592298.0,ns,805
Day 02,Task 2 - Distance and depth with aim,,,,113892534.0,ns,828
Day 02,Task 2 - Distance and depth with aim,,,,117092519.0,ns,851
Day 02,Task 2 - Distance and depth with aim,,,,120923356.0,ns,874
Day 02,Task 2 - Distance and depth with aim,,,,123631481.0,ns,897
Day 02,Task 2 - Distance and depth with aim,,,,125932532.0,ns,920
Day 02,Task 2 - Distance and depth with aim,,,,129555445.0,ns,943
Day 02,Task 2 - Distance and depth with aim,,,,133411601.0,ns,966
Day 02,Task 2 - Distance and depth with aim,,,,137230931.0,ns,989
Day 02,Task 2 - Distance and depth with aim,,,,139805794.0,ns,1012
Day 02,Task 2 - Distance and depth with aim,,,,143372349.0,ns,1035
Day 02,Task 2 - Distance and depth with aim,,,,145829026.0,ns,1058
Day 02,Task 2 - Distance and depth with aim,,,,148628266.0,ns,1081
Day 02,Task 2 - Distance and depth with aim,,,,151775341.0,ns,1104
Day 02,Task 2 - Distance and depth with aim,,,,155998276.0,ns,1127
Day 02,Task 2 - Distance and depth with aim,,,,157817573.0,ns,1150
