group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 03,Task 1 - Power consumption,,,,3188199.0,ns,14
Day 03,Task 1 - Power consumption,,,,6408299.0,ns,28
Day 03,Task 1 - Power consumption,,,,9579118.0,ns,42
Day 03,Task 1 - Power consumption,,,,13052381.0,ns,56
Day 03,Task 1 - Power consumption,,,,16130808.0,ns,70
Day 03,Task 1 - Power consumption,,,,19220979.0,ns,84
Day 03,Task 1 - Power consumption,,,,22527754.0,ns,98
Day 03,Task 1 - Power consumption,,,,25716101.0,ns,112
Day 03,Task 1 - Power consumption,,,,28998996.0,ns,126
Day 03,Task 1 - Power consumption,,,,33043557.0,ns,140
Day 03,Task 1 - Power consumption,,,,36795678.0,ns,154
Day 03,Task 1 - Power consumption,,,,38207531.0,ns,168
Day 03,Task 1 - Power consumption,,,,41519081.0,ns,182
Day 03,Task 1 - Power consumption,,,,45233343.0,ns,196
Day 03,Task 1 - Power consumption,,,,48086626.0,ns,210
Day 03,Task 1 - Power consumption,,,,51518948.0,ns,224
Day 03,Task 1 - Power consumption,,,,54573015.0,ns,238
Day 03,Task 1 - Power consumption,,,,57571677.0,ns,252
Day 03,Task 1 - Power consumption,,,,60283315.0,ns,266
Day 03,Task 1 - Power consumption,,,,63898082.0,ns,280
Day 03,Task 1 - Power consumption,,,,66876969.0,ns,294
Day 03,Task 1 - Power consumption,,,,69852298.0,ns,308
Day 03,Task 1 - Power consumption,,,,73469930.0,ns,322
Day 03,Task 1 - Power consumption,,,,76423742.0,ns,336
Day 03,Task 1 - Power consumption,,,,80054946.0,ns,350
Day 03,Task 1 - Power consumption,,,,83445997.0,ns,364
Day 03,Task 1 - Power consumption,,,,85795453.0,ns,378
Day 03,Task 1 - Power consumption,,,,90123015.0,ns,392
Day 03,Task 1 - Power consumption,,,,92932379.0,ns,406
Day 03,Task 1 - Power consumption,,,,95734410.0,ns,420
Day 03,Task 1 - Power consumption,,,,99351345.0,ns,434
Day 03,Task 1 - Power consumption,,,,101798831.0,ns,448
Day 03,Task 1 - Power consumption,,,,105192659.0,ns,462
Day 03,Task 1 - Power consumption,,,,108282403.0,ns,476
Day 03,Task 1 - Power consumption,,,,111828716.0,ns,490
Day 03,Task 1 - Power consumption,,,,116060806.0,ns,504
Day 03,Task 1 - Power consumption,,,,117894510.0,ns,518
Day 03,Task 1 - Power consumption,,,,121445756.0,ns,532
Day 03,Task 1 - Power consumption,,,,124060314.0,ns,546
Day 03,Task 1 - Power consumption,,,,128267390.0,ns,560
Day 03,Task 1 - Power consumption,,,,130858077.0,ns,574
Day 03,Task 1 - Power consumption,,,,134156670.0,ns,588
Day 03,Task 1 - Power consumption,,,,137643412.0,ns,602
Day 03,Task 1 - Power consumption,,,,141519456.0,ns,616
Day 03,Task 1 - Power consumption,,,,143400241.0,ns,630
Day 03,Task 1 - Power consumption,,,,147483797.0,ns,644
Day 03,Task 1 - Power consumption,,,,151227168.0,ns,658
Day 03,Task 1 - Power consumption,,,,153167130.0,ns,672
Day 03,Task 1 - Power consumption,,,,157469698.0,ns,686
Day 03,Task 1 - Power consumption,,,,168417937.0,ns,700
