group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 03,Task 1 - Power consumption,,,,3209448.0,ns,14
Day 03,Task 1 - Power consumption,,,,6332573.0,ns,28
Day 03,Task 1 - Power consumption,,,,9512708.0,ns,42
Day 03,Task 1 - Power consumption,,,,12721810.0,ns,56
Day 03,Task 1 - Power consumption,,,,15866358.0,ns,70
Day 03,Task 1 - Power consumption,,,,18997983.0,ns,84
Day 03,Task 1 - Power consumption,,,,22218019.0,ns,98
Day 03,Task 1 - Power consumption,,,,25483231.0,ns,112
Day 03,Task 1 - Power consumption,,,,28643729.0,ns,126
Day 03,Task 1 - Power consumption,,,,31755368.0,ns,140
Day 03,Task 1 - Power consumption,,,,35377656.0,ns,154
Day 03,Task 1 - Power consumption,,,,38099757.0,ns,168
Day 03,Task 1 - Power consumption,,,,41411761.0,ns,182
Day 03,Task 1 - Power consumption,,,,45112794.0,ns,196
Day 03,Task 1 - Power consumption,,,,47634485.0,ns,210
Day 03,Task 1 - Power consumption,,,,50733352.0,ns,224
Day 03,Task 1 - Power consumption,,,,53849672.0,ns,238
Day 03,Task 1 - Power consumption,,,,57399503.0,ns,252
Day 03,Task 1 - Power consumption,,,,60232430.0,ns,266
Day 03,Task 1 - Power consumption,,,,63372716.0,ns,280
Day 03,Task 1 - Power consumption,,,,66668645.0,ns,294
Day 03,Task 1 - Power consumption,,,,69813105.0,ns,308
Day 03,Task 1 - Power consumption,,,,73583542.0,ns,322
Day 03,Task 1 - Power consumption,,,,76117645.0,ns,336
Day 03,Task 1 - Power consumption,,,,79529970.0,ns,350
Day 03,Task 1 - Power consumption,,,,82568082.0,ns,364
Day 03,Task 1 - Power consumption,,,,86152058.0,ns,378
Day 03,Task 1 - Power consumption,,,,89793107.0,ns,392
Day 03,Task 1 - Power consumption,,,,92988306.0,ns,406
Day 03,Task 1 - Power consumption,,,,95235756.0,ns,420
Day 03,Task 1 - Power consumption,,,,98798171.0,ns,434
Day 03,Task 1 - Power consumption,,,,101580615.0,ns,448
Day 03,Task 1 - Power consumption,,,,104787691.0,ns,462
Day 03,Task 1 - Power consumption,,,,108381120.0,ns,476
Day 03,Task 1 - Power consumption,,,,111923038.0,ns,490
Day 03,Task 1 - Power consumption,,,,114990815.0,ns,504
Day 03,Task 1 - Power consumption,,,,118374887.0,ns,518
Day 03,Task 1 - Power consumption,,,,121060452.0,ns,532
Day 03,Task 1 - Power consumption,,,,124051234.0,ns,546
Day 03,Task 1 - Power consumption,,,,127160943.0,ns,560
Day 03,Task 1 - Power consumption,,,,130287432.0,ns,574
Day 03,Task 1 - Power consumption,,,,133664299.0,ns,588
Day 03,Task 1 - Power consumption,,,,136970271.0,ns,602
Day 03,Task 1 - Power consumption,,,,139948827.0,ns,616
Day 03,Task 1 - Power consumption,,,,143598472.0,ns,630
Day 03,Task 1 - Power consumption,,,,146575760.0,ns,644
Day 03,Task 1 - Power consumption,,,,149540157.0,ns,658
Day 03,Task 1 - Power consumption,,,,154987401.0,ns,672
Day 03,Task 1 - Power consumption,,,,155480977.0,ns,686
Day 03,Task 1 - Power consumption,,,,159728592.0,ns,700
