group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 03,Task 2 - Life support rating,,,,3136602.0,ns,8
Day 03,Task 2 - Life support rating,,,,6300304.0,ns,16
Day 03,Task 2 - Life support rating,,,,9437092.0,ns,24
Day 03,Task 2 - Life support rating,,,,12526711.0,ns,32
Day 03,Task 2 - Life support rating,,,,15707590.0,ns,40
Day 03,Task 2 - Life support rating,,,,18917491.0,ns,48
Day 03,Task 2 - Life support rating,,,,22211922.0,ns,56
Day 03,Task 2 - Life support rating,,,,25451651.0,ns,64
Day 03,Task 2 - Life support rating,,,,28295386.0,ns,72
Day 03,Task 2 - Life support rating,,,,31335975.0,ns,80
Day 03,Task 2 - Life support rating,,,,34575520.0,ns,88
Day 03,Task 2 - Life support rating,,,,38254658.0,ns,96
Day 03,Task 2 - Life support rating,,,,40913185.0,ns,104
Day 03,Task 2 - Life support rating,,,,43932974.0,ns,112
Day 03,Task 2 - Life support rating,,,,47364643.0,ns,120
Day 03,Task 2 - Life support rating,,,,50971338.0,ns,128
Day 03,Task 2 - Life support rating,,,,53537352.0,ns,136
Day 03,Task 2 - Life support rating,,,,56538457.0,ns,144
Day 03,Task 2 - Life support rating,,,,59840714.0,ns,152
Day 03,Task 2 - Life support rating,,,,63252795.0,ns,160
Day 03,Task 2 - Life support rating,,,,66272842.0,ns,168
Day 03,Task 2 - Life support rating,,,,69613711.0,ns,176
Day 03,Task 2 - Life support rating,,,,73735896.0,ns,184
Day 03,Task 2 - Life support rating,,,,75927191.0,ns,192
Day 03,Task 2 - Life support rating,,,,78461057.0,ns,200
Day 03,Task 2 - Life support rating,,,,81744684.0,ns,208
Day 03,Task 2 - Life support rating,,,,84910855.0,ns,216
Day 03,Task 2 - Life support rating,,,,88284567.0,ns,224
Day 03,Task 2 - Life support rating,,,,91302349.0,ns,232
Day 03,Task 2 - Life support rating,,,,94276149.0,ns,240
Day 03,Task 2 - Life support rating,,,,97221804.0,ns,248
Day 03,Task 2 - Life support rating,,,,100770450.0,ns,256
Day 03,Task 2 - Life support rating,,,,103754652.0,ns,264
Day 03,Task 2 - Life support rating,,,,107481339.0,ns,272
Day 03,Task 2 - Life support rating,,,,113118506.0,ns,280
Day 03,Task 2 - Life support rating,,,,112740891.0,ns,288
Day 03,Task 2 - Life support rating,,,,117400327.0,ns,296
Day 03,Task 2 - Life support rating,,,,119449323.0,ns,304
Day 03,Task 2 - Life support rating,,,,122817921.0,ns,312
Day 03,Task 2 - Life support rating,,,,126419882.0,ns,320
Day 03,Task 2 - Life support rating,,,,130292614.0,ns,328
Day 03,Task 2 - Life support rating,,,,132853298.0,ns,336
Day 03,Task 2 - Life support rating,,,,136467180.0,ns,344
Day 03,Task 2 - Life support rating,,,,138869923.0,ns,352
Day 03,Task 2 - Life support rating,,,,143141514.0,ns,360
Day 03,Task 2 - Life support rating,,,,149014606.0,ns,368
Day 03,Task 2 - Life support rating,,,,148985882.0,ns,376
Day 03,Task 2 - Life support rating,,,,150848470.0,ns,384
Day 03,Task 2 - Life support rating,,,,154082099.0,ns,392
Day 03,Task 2 - Life support rating,,,,156934196.0,ns,400
