group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 03,Task 2 - Life support rating,,,,3464287.0,ns,8
Day 03,Task 2 - Life support rating,,,,6869235.0,ns,16
Day 03,Task 2 - Life support rating,,,,10623903.0,ns,24
Day 03,Task 2 - Life support rating,,,,14112833.0,ns,32
Day 03,Task 2 - Life support rating,,,,17970315.0,ns,40
Day 03,Task 2 - Life support rating,,,,53160355.0,ns,48
Day 03,Task 2 - Life support rating,,,,22697839.0,ns,56
Day 03,Task 2 - Life support rating,,,,25437956.0,ns,64
Day 03,Task 2 - Life support rating,,,,28767259.0,ns,72
Day 03,Task 2 - Life support rating,,,,32083506.0,ns,80
Day 03,Task 2 - Life support rating,,,,34999450.0,ns,88
Day 03,Task 2 - Life support rating,,,,37909015.0,ns,96
Day 03,Task 2 - Life support rating,,,,41554426.0,ns,104
Day 03,Task 2 - Life support rating,,,,45283084.0,ns,112
Day 03,Task 2 - Life support rating,,,,48329868.0,ns,120
Day 03,Task 2 - Life support rating,,,,51658452.0,ns,128
Day 03,Task 2 - Life support rating,,,,54399976.0,ns,136
Day 03,Task 2 - Life support rating,,,,56889165.0,ns,144
Day 03,Task 2 - Life support rating,,,,60505018.0,ns,152
Day 03,Task 2 - Life support rating,,,,65327388.0,ns,160
Day 03,Task 2 - Life support rating,,,,67224004.0,ns,168
Day 03,Task 2 - Life support rating,,,,70841557.0,ns,176
Day 03,Task 2 - Life support rating,,,,74178133.0,ns,184
Day 03,Task 2 - Life support rating,,,,77114178.0,ns,192
Day 03,Task 2 - Life support rating,,,,79531643.0,ns,200
Day 03,Task 2 - Life support rating,,,,84700453.0,ns,208
Day 03,Task 2 - Life support rating,,,,87637412.0,ns,216
Day 03,Task 2 - Life support rating,,,,91439707.0,ns,224
Day 03,Task 2 - Life support rating,,,,92856403.0,ns,232
Day 03,Task 2 - Life support rating,,,,96793644.0,ns,240
Day 03,Task 2 - Life support rating,,,,104322575.0,ns,248
Day 03,Task 2 - Life support rating,,,,103935944.0,ns,256
Day 03,Task 2 - Life support rating,,,,106808045.0,ns,264
Day 03,Task 2 - Life support rating,,,,109342014.0,ns,272
Day 03,Task 2 - Life support rating,,,,112527389.0,ns,280
Day 03,Task 2 - Life support rating,,,,116456889.0,ns,288
Day 03,Task 2 - Life support rating,,,,120059873.0,ns,296
Day 03,Task 2 - Life support rating,,,,124024501.0,ns,304
Day 03,Task 2 - Life support rating,,,,126135894.0,ns,312
Day 03,Task 2 - Life support rating,,,,128579485.0,ns,320
Day 03,Task 2 - Life support rating,,,,131007310.0,ns,328
Day 03,Task 2 - Life support rating,,,,133460346.0,ns,336
Day 03,Task 2 - Life support rating,,,,138865071.0,ns,344
Day 03,Task 2 - Life support rating,,,,140502807.0,ns,352
Day 03,Task 2 - Life support rating,,,,148350560.0,ns,360
Day 03,Task 2 - Life support rating,,,,146113763.0,ns,368
Day 03,Task 2 - Life support rating,,,,158633788.0,ns,376
Day 03,Task 2 - Life support rating,,,,160870960.0,ns,384
Day 03,Task 2 - Life support rating,,,,159419481.0,ns,392
Day 03,Task 2 - Life support rating,,,,159848720.0,ns,400
