group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 04,Task 1 - First winning bingo board,,,,3263628.0,ns,17
Day 04,Task 1 - First winning bingo board,,,,6591867.0,ns,34
Day 04,Task 1 - First winning bingo board,,,,9801459.0,ns,51
Day 04,Task 1 - First winning bingo board,,,,13086716.0,ns,68
Day 04,Task 1 - First winning bingo board,,,,16513472.0,ns,85
Day 04,Task 1 - First winning bingo board,,,,19734835.0,ns,102
Day 04,Task 1 - First winning bingo board,,,,23017064.0,ns,119
Day 04,Task 1 - First winning bingo board,,,,26028868.0,ns,136
Day 04,Task 1 - First winning bingo board,,,,29458430.0,ns,153
Day 04,Task 1 - First winning bingo board,,,,32771479.0,ns,170
Day 04,Task 1 - First winning bingo board,,,,36607999.0,ns,187
Day 04,Task 1 - First winning bingo board,,,,39493883.0,ns,204
Day 04,Task 1 - First winning bingo board,,,,42726238.0,ns,221
Day 04,Task 1 - First winning bingo board,,,,45841055.0,ns,238
Day 04,Task 1 - First winning bingo board,,,,49297051.0,ns,255
Day 04,Task 1 - First winning bingo board,,,,52377796.0,ns,272
Day 04,Task 1 - First winning bingo board,,,,55724498.0,ns,289
Day 04,Task 1 - First winning bingo board,,,,59127941.0,ns,306
Day 04,Task 1 - First winning bingo board,,,,61996749.0,ns,323
Day 04,Task 1 - First winning bingo board,,,,66417993.0,ns,340
Day 04,Task 1 - First winning bingo board,,,,69348804.0,ns,357
Day 04,Task 1 - First winning bingo board,,,,72154637.0,ns,374
Day 04,Task 1 - First winning bingo board,,,,75784382.0,ns,391
Day 04,Task 1 - First winning bingo board,,,,79170588.0,ns,408
Day 04,Task 1 - First winning bingo board,,,,82213304.0,ns,425
Day 04,Task 1 - First winning bingo board,,,,85134186.0,ns,442
Day 04,Task 1 - First winning bingo board,,,,92350627.0,ns,459
Day 04,Task 1 - First winning bingo board,,,,91987654.0,ns,476
Day 04,Task 1 - First winning bingo board,,,,95029121.0,ns,493
Day 04,Task 1 - First winning bingo board,,,,98831426.0,ns,510
Day 04,Task 1 - First winning bingo board,,,,102890104.0,ns,527
Day 04,Task 1 - First winning bingo board,,,,105974356.0,ns,544
Day 04,Task 1 - First winning bingo board,,,,109020090.0,ns,561
Day 04,Task 1 - First winning bingo board,,,,112645230.0,ns,578
Day 04,Task 1 - First winning bingo board,,,,114797288.0,ns,595
Day 04,Task 1 - First winning bingo board,,,,118454496.0,ns,612
Day 04,Task 1 - First winning bingo board,,,,123020802.0,ns,629
Day 04,Task 1 - First winning bingo board,,,,125021966.0,ns,646
Day 04,Task 1 - First winning bingo board,,,,128258797.0,ns,663
Day 04,Task 1 - First winning bingo board,,,,131517687.0,ns,680
Day 04,Task 1 - First winning bingo board,,,,143066881.0,ns,697
Day 04,Task 1 - First winning bingo board,,,,147584254.0,ns,714
Day 04,Task 1 - First winning bingo board,,,,146008650.0,ns,731
Day 04,Task 1 - First winning bingo board,,,,146587089.0,ns,748
Day 04,Task 1 - First winning bingo board,,,,147745289.0,ns,765
Day 04,Task 1 - First winning bingo board,,,,151090154.0,ns,782
Day 04,Task 1 - First winning bingo board,,,,153807857.0,ns,799
Day 04,Task 1 - First winning bingo board,,,,157960547.0,ns,816
Day 04,Task 1 - First winning bingo board,,,,161918730.0,ns,833
Day 04,Task 1 - First winning bingo board,,,,164239473.0,ns,850
