group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 04,Task 1 - First winning bingo board,,,,3425014.0,ns,17
Day 04,Task 1 - First winning bingo board,,,,6599604.0,ns,34
Day 04,Task 1 - First winning bingo board,,,,9777990.0,ns,51
Day 04,Task 1 - First winning bingo board,,,,13089919.0,ns,68
Day 04,Task 1 - First winning bingo board,,,,16601725.0,ns,85
Day 04,Task 1 - First winning bingo board,,,,19550547.0,ns,102
Day 04,Task 1 - First winning bingo board,,,,22952671.0,ns,119
Day 04,Task 1 - First winning bingo board,,,,26269174.0,ns,136
Day 04,Task 1 - First winning bingo board,,,,29859419.0,ns,153
Day 04,Task 1 - First winning bingo board,,,,32705145.0,ns,170
Day 04,Task 1 - First winning bingo board,,,,36043651.0,ns,187
Day 04,Task 1 - First winning bingo board,,,,39316126.0,ns,204
Day 04,Task 1 - First winning bingo board,,,,42448309.0,ns,221
Day 04,Task 1 - First winning bingo board,,,,45706894.0,ns,238
Day 04,Task 1 - First winning bingo board,,,,49141186.0,ns,255
Day 04,Task 1 - First winning bingo board,,,,52548979.0,ns,272
Day 04,Task 1 - First winning bingo board,,,,56091335.0,ns,289
Day 04,Task 1 - First winning bingo board,,,,59637213.0,ns,306
Day 04,Task 1 - First winning bingo board,,,,62463177.0,ns,323
Day 04,Task 1 - First winning bingo board,,,,65899127.0,ns,340
Day 04,Task 1 - First winning bingo board,,,,68711844.0,ns,357
Day 04,Task 1 - First winning bingo board,,,,72604854.0,ns,374
Day 04,Task 1 - First winning bingo board,,,,76917177.0,ns,391
Day 04,Task 1 - First winning bingo board,,,,78612666.0,ns,408
Day 04,Task 1 - First winning bingo board,,,,82132673.0,ns,425
Day 04,Task 1 - First winning bingo board,,,,89338844.0,ns,442
Day 04,Task 1 - First winning bingo board,,,,88576957.0,ns,459
Day 04,Task 1 - First winning bingo board,,,,91592071.0,ns,476
Day 04,Task 1 - First winning bingo board,,,,94931236.0,ns,493
Day 04,Task 1 - First winning bingo board,,,,98669417.0,ns,510
Day 04,Task 1 - First winning bingo board,,,,101419465.0,ns,527
Day 04,Task 1 - First winning bingo board,,,,105397242.0,ns,544
Day 04,Task 1 - First winning bingo board,,,,108668235.0,ns,561
Day 04,Task 1 - First winning bingo board,,,,111326797.0,ns,578
Day 04,Task 1 - First winning bingo board,,,,114664074.0,ns,595
Day 04,Task 1 - First winning bingo board,,,,118169630.0,ns,612
Day 04,Task 1 - First winning bingo board,,,,121477830.0,ns,629
Day 04,Task 1 - First winning bingo board,,,,124869813.0,ns,646
Day 04,Task 1 - First winning bingo board,,,,128123443.0,ns,663
Day 04,Task 1 - First winning bingo board,,,,130973085.0,ns,680
Day 04,Task 1 - First winning bingo board,,,,134675596.0,ns,697
Day 04,Task 1 - First winning bingo board,,,,138556601.0,ns,714
Day 04,Task 1 - First winning bingo board,,,,141196200.0,ns,731
Day 04,Task 1 - First winning bingo board,,,,144778736.0,ns,748
Day 04,Task 1 - First winning bingo board,,,,147277883.0,ns,765
Day 04,Task 1 - First winning bingo board,,,,151444503.0,ns,782
Day 04,Task 1 - First winning bingo board,,,,153955549.0,ns,799
Day 04,Task 1 - First winning bingo board,,,,158009009.0,ns,816
Day 04,Task 1 - First winning bingo board,,,,160533654.0,ns,833
Day 04,Task 1 - First winning bingo board,,,,163806738.0,ns,850
