group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 04,Task 2 - Last winning bingo board,,,,3463339.0,ns,9
Day 04,Task 2 - Last winning bingo board,,,,6861773.0,ns,18
Day 04,Task 2 - Last winning bingo board,,,,10294365.0,ns,27
Day 04,Task 2 - Last winning bingo board,,,,14149450.0,ns,36
Day 04,Task 2 - Last winning bingo board,,,,17328240.0,ns,45
Day 04,Task 2 - Last winning bingo board,,,,20763620.0,ns,54
Day 04,Task 2 - Last winning bingo board,,,,24106479.0,ns,63
Day 04,Task 2 - Last winning bingo board,,,,27620483.0,ns,72
Day 04,Task 2 - Last winning bingo board,,,,31088701.0,ns,81
Day 04,Task 2 - Last winning bingo board,,,,34451164.0,ns,90
Day 04,Task 2 - Last winning bingo board,,,,38069045.0,ns,99
Day 04,Task 2 - Last winning bingo board,,,,41853544.0,ns,108
Day 04,Task 2 - Last winning bingo board,,,,45201714.0,ns,117
Day 04,Task 2 - Last winning bingo board,,,,48394200.0,ns,126
Day 04,Task 2 - Last winning bingo board,,,,51804596.0,ns,135
Day 04,Task 2 - Last winning bingo board,,,,55951957.0,ns,144
Day 04,Task 2 - Last winning bingo board,,,,58745306.0,ns,153
Day 04,Task 2 - Last winning bingo board,,,,62235434.0,ns,162
Day 04,Task 2 - Last winning bingo board,,,,67724612.0,ns,171
Day 04,Task 2 - Last winning bingo board,,,,69147217.0,ns,180
Day 04,Task 2 - Last winning bingo board,,,,72910663.0,ns,189
Day 04,Task 2 - Last winning bingo board,,,,76124559.0,ns,198
Day 04,Task 2 - Last winning bingo board,,,,79665962.0,ns,207
Day 04,Task 2 - Last winning bingo board,,,,83279677.0,ns,216
Day 04,Task 2 - Last winning bingo board,,,,86264711.0,ns,225
Day 04,Task 2 - Last winning bingo board,,,,89417443.0,ns,234
Day 04,Task 2 - Last winning bingo board,,,,93535826.0,ns,243
Day 04,Task 2 - Last winning bingo board,,,,97410249.0,ns,252
Day 04,Task 2 - Last winning bingo board,,,,100759888.0,ns,261
Day 04,Task 2 - Last winning bingo board,,,,106138128.0,ns,270
Day 04,Task 2 - Last winning bingo board,,,,107287448.0,ns,279
Day 04,Task 2 - Last winning bingo board,,,,111344345.0,ns,288
Day 04,Task 2 - Last winning bingo board,,,,115041601.0,ns,297
Day 04,Task 2 - Last winning bingo board,,,,118205528.0,ns,306
Day 04,Task 2 - Last winning bingo board,,,,121488570.0,ns,315
Day 04,Task 2 - Last winning bingo board,,,,124434636.0,ns,324
Day 04,Task 2 - Last winning bingo board,,,,128003029.0,ns,333
Day 04,Task 2 - Last winning bingo board,,,,132133991.0,ns,342
Day 04,Task 2 - Last winning bingo board,,,,136269711.0,ns,351
Day 04,Task 2 - Last winning bingo board,,,,139452591.0,ns,360
Day 04,Task 2 - Last winning bingo board,,,,141681434.0,ns,369
Day 04,Task 2 - Last winning bingo board,,,,145299734.0,ns,378
Day 04,Task 2 - Last winning bingo board,,,,148668513.0,ns,387
Day 04,Task 2 - Last winning bingo board,,,,151987330.0,ns,396
Day 04,Task 2 - Last winning bingo board,,,,155929194.0,ns,405
Day 04,Task 2 - Last winning bingo board,,,,158607939.0,ns,414
Day 04,Task 2 - Last winning bingo board,,,,162640281.0,ns,423
Day 04,Task 2 - Last winning bingo board,,,,166464598.0,ns,432
Day 04,Task 2 - Last winning bingo board,,,,170035481.0,ns,441
Day 04,Task 2 - Last winning bingo board,,,,173894835.0,ns,450
