group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 04,Task 2 - Last winning bingo board,,,,3135063.0,ns,8
Day 04,Task 2 - Last winning bingo board,,,,6093163.0,ns,16
Day 04,Task 2 - Last winning bingo board,,,,9322643.0,ns,24
Day 04,Task 2 - Last winning bingo board,,,,12319077.0,ns,32
Day 04,Task 2 - Last winning bingo board,,,,15379008.0,ns,40
Day 04,Task 2 - Last winning bingo board,,,,18613182.0,ns,48
Day 04,Task 2 - Last winning bingo board,,,,22009896.0,ns,56
Day 04,Task 2 - Last winning bingo board,,,,24623600.0,ns,64
Day 04,Task 2 - Last winning bingo board,,,,27707430.0,ns,72
Day 04,Task 2 - Last winning bingo board,,,,30568168.0,ns,80
Day 04,Task 2 - Last winning bingo board,,,,34621424.0,ns,88
Day 04,Task 2 - Last winning bingo board,,,,37560571.0,ns,96
Day 04,Task 2 - Last winning bingo board,,,,40508648.0,ns,104
Day 04,Task 2 - Last winning bingo board,,,,43024510.0,ns,112
Day 04,Task 2 - Last winning bingo board,,,,46185291.0,ns,120
Day 04,Task 2 - Last winning bingo board,,,,50522357.0,ns,128
Day 04,Task 2 - Last winning bingo board,,,,52860986.0,ns,136
Day 04,Task 2 - Last winning bingo board,,,,56192023.0,ns,144
Day 04,Task 2 - Last winning bingo board,,,,58432390.0,ns,152
Day 04,Task 2 - Last winning bingo board,,,,62158456.0,ns,160
Day 04,Task 2 - Last winning bingo board,,,,71525132.0,ns,168
Day 04,Task 2 - Last winning bingo board,,,,68691244.0,ns,176
Day 04,Task 2 - Last winning bingo board,,,,74712753.0,ns,184
Day 04,Task 2 - Last winning bingo board,,,,81001286.0,ns,192
Day 04,Task 2 - Last winning bingo board,,,,85420791.0,ns,200
Day 04,Task 2 - Last winning bingo board,,,,81461763.0,ns,208
Day 04,Task 2 - Last winning bingo board,,,,88224998.0,ns,216
Day 04,Task 2 - Last winning bingo board,,,,89951127.0,ns,224
Day 04,Task 2 - Last winning bingo board,,,,92083336.0,ns,232
Day 04,Task 2 - Last winning bingo board,,,,93810505.0,ns,240
Day 04,Task 2 - Last winning bingo board,,,,96124854.0,ns,248
Day 04,Task 2 - Last winning bingo board,,,,98389449.0,ns,256
Day 04,Task 2 - Last winning bingo board,,,,102507876.0,ns,264
Day 04,Task 2 - Last winning bingo board,,,,106125727.0,ns,272
Day 04,Task 2 - Last winning bingo board,,,,110357234.0,ns,280
Day 04,Task 2 - Last winning bingo board,,,,114365266.0,ns,288
Day 04,Task 2 - Last winning bingo board,,,,114853489.0,ns,296
Day 04,Task 2 - Last winning bingo board,,,,118263044.0,ns,304
Day 04,Task 2 - Last winning bingo board,,,,122568490.0,ns,312
Day 04,Task 2 - Last winning bingo board,,,,124740755.0,ns,320
Day 04,Task 2 - Last winning bingo board,,,,127661283.0,ns,328
Day 04,Task 2 - Last winning bingo board,,,,131251426.0,ns,336
Day 04,Task 2 - Last winning bingo board,,,,132280363.0,ns,344
Day 04,Task 2 - Last winning bingo board,,,,137418884.0,ns,352
Day 04,Task 2 - Last winning bingo board,,,,141434204.0,ns,360
Day 04,Task 2 - Last winning bingo board,,,,143544562.0,ns,368
Day 04,Task 2 - Last winning bingo board,,,,146803794.0,ns,376
Day 04,Task 2 - Last winning bingo board,,,,149841046.0,ns,384
Day 04,Task 2 - Last winning bingo board,,,,150948096.0,ns,392
Day 04,Task 2 - Last winning bingo board,,,,154895712.0,ns,400
