group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 05,Task 1 - Horizontal and vertical vents,,,,85546303.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85651367.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85473496.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85976086.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86170222.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86230604.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85923990.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85825347.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86079672.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85649655.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85613970.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85317941.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85630164.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86393152.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85181113.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86310652.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86608552.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86309036.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85675768.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86297391.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85382705.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85846593.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85588919.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85012042.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85755259.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86092003.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85597018.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86065862.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86136688.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85655569.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85489808.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86104252.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85354451.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85973586.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86330644.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86096848.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,84987546.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85890467.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85427077.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85404902.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,91713821.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86005159.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85568356.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,87200072.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85635312.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86229376.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85293161.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,87084108.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85542379.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85789523.0,ns,11
