group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 05,Task 1 - Horizontal and vertical vents,,,,85402890.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85982768.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85964561.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86041278.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85671473.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86130453.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86326599.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85509877.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85316435.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85504200.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85744172.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86232346.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85632747.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86038857.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86962064.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85267413.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86701623.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86513448.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85800940.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85791213.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86135985.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85698068.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86330221.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86691212.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86003577.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85513169.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85663996.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86088554.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85849548.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85922010.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85653017.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,94059393.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,88674168.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,92149747.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,90703444.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,87840273.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86788327.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86184243.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85479559.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85303052.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86362076.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86661163.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85488390.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85403252.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85872984.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85800859.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85551578.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86253902.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,85622605.0,ns,11
Day 05,Task 1 - Horizontal and vertical vents,,,,86304801.0,ns,11
