group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 05,Task 2 - All vents,,,,90547799.0,ns,6
Day 05,Task 2 - All vents,,,,91605411.0,ns,6
Day 05,Task 2 - All vents,,,,90551639.0,ns,6
Day 05,Task 2 - All vents,,,,91105054.0,ns,6
Day 05,Task 2 - All vents,,,,90317162.0,ns,6
Day 05,Task 2 - All vents,,,,92728498.0,ns,6
Day 05,Task 2 - All vents,,,,90762852.0,ns,6
Day 05,Task 2 - All vents,,,,89961026.0,ns,6
Day 05,Task 2 - All vents,,,,90191014.0,ns,6
Day 05,Task 2 - All vents,,,,90609031.0,ns,6
Day 05,Task 2 - All vents,,,,89700851.0,ns,6
Day 05,Task 2 - All vents,,,,90729850.0,ns,6
Day 05,Task 2 - All vents,,,,93772955.0,ns,6
Day 05,Task 2 - All vents,,,,90277376.0,ns,6
Day 05,Task 2 - All vents,,,,93030522.0,ns,6
Day 05,Task 2 - All vents,,,,91099473.0,ns,6
Day 05,Task 2 - All vents,,,,89962317.0,ns,6
Day 05,Task 2 - All vents,,,,90840397.0,ns,6
Day 05,Task 2 - All vents,,,,91335307.0,ns,6
Day 05,Task 2 - All vents,,,,92681822.0,ns,6
Day 05,Task 2 - All vents,,,,90302086.0,ns,6
Day 05,Task 2 - All vents,,,,93372757.0,ns,6
Day 05,Task 2 - All vents,,,,92377124.0,ns,6
Day 05,Task 2 - All vents,,,,90307487.0,ns,6
Day 05,Task 2 - All vents,,,,92052183.0,ns,6
Day 05,Task 2 - All vents,,,,90307338.0,ns,6
Day 05,Task 2 - All vents,,,,91387460.0,ns,6
Day 05,Task 2 - All vents,,,,89319541.0,ns,6
Day 05,Task 2 - All vents,,,,89305560.0,ns,6
Day 05,Task 2 - All vents,,,,94276231.0,ns,6
Day 05,Task 2 - All vents,,,,90402384.0,ns,6
Day 05,Task 2 - All vents,,,,90017347.0,ns,6
Day 05,Task 2 - All vents,,,,89467613.0,ns,6
Day 05,Task 2 - All vents,,,,89683851.0,ns,6
Day 05,Task 2 - All vents,,,,90467110.0,ns,6
Day 05,Task 2 - All vents,,,,91212709.0,ns,6
Day 05,Task 2 - All vents,,,,89290139.0,ns,6
Day 05,Task 2 - All vents,,,,90170957.0,ns,6
Day 05,Task 2 - All vents,,,,90216113.0,ns,6
Day 05,Task 2 - All vents,,,,90304749.0,ns,6
Day 05,Task 2 - All vents,,,,89873224.0,ns,6
Day 05,Task 2 - All vents,,,,90658126.0,ns,6
Day 05,Task 2 - All vents,,,,90017094.0,ns,6
Day 05,Task 2 - All vents,,,,89638176.0,ns,6
Day 05,Task 2 - All vents,,,,89166560.0,ns,6
Day 05,Task 2 - All vents,,,,90633503.0,ns,6
Day 05,Task 2 - All vents,,,,91868769.0,ns,6
Day 05,Task 2 - All vents,,,,93613865.0,ns,6
Day 05,Task 2 - All vents,,,,89859865.0,ns,6
Day 05,Task 2 - All vents,,,,89345081.0,ns,6
