group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 05,Task 2 - All vents,,,,90136358.0,ns,6
Day 05,Task 2 - All vents,,,,98533189.0,ns,6
Day 05,Task 2 - All vents,,,,97748010.0,ns,6
Day 05,Task 2 - All vents,,,,91643448.0,ns,6
Day 05,Task 2 - All vents,,,,98386804.0,ns,6
Day 05,Task 2 - All vents,,,,89835529.0,ns,6
Day 05,Task 2 - All vents,,,,90175303.0,ns,6
Day 05,Task 2 - All vents,,,,89876467.0,ns,6
Day 05,Task 2 - All vents,,,,89691484.0,ns,6
Day 05,Task 2 - All vents,,,,89983646.0,ns,6
Day 05,Task 2 - All vents,,,,90007957.0,ns,6
Day 05,Task 2 - All vents,,,,91872031.0,ns,6
Day 05,Task 2 - All vents,,,,89450399.0,ns,6
Day 05,Task 2 - All vents,,,,89619982.0,ns,6
Day 05,Task 2 - All vents,,,,90112998.0,ns,6
Day 05,Task 2 - All vents,,,,89748989.0,ns,6
Day 05,Task 2 - All vents,,,,89747749.0,ns,6
Day 05,Task 2 - All vents,,,,90011548.0,ns,6
Day 05,Task 2 - All vents,,,,93428589.0,ns,6
Day 05,Task 2 - All vents,,,,89519137.0,ns,6
Day 05,Task 2 - All vents,,,,89173214.0,ns,6
Day 05,Task 2 - All vents,,,,88786778.0,ns,6
Day 05,Task 2 - All vents,,,,89778856.0,ns,6
Day 05,Task 2 - All vents,,,,89190132.0,ns,6
Day 05,Task 2 - All vents,,,,89658573.0,ns,6
Day 05,Task 2 - All vents,,,,92236661.0,ns,6
Day 05,Task 2 - All vents,,,,89251738.0,ns,6
Day 05,Task 2 - All vents,,,,89205993.0,ns,6
Day 05,Task 2 - All vents,,,,89263037.0,ns,6
Day 05,Task 2 - All vents,,,,89656598.0,ns,6
Day 05,Task 2 - All vents,,,,89498067.0,ns,6
Day 05,Task 2 - All vents,,,,89864318.0,ns,6
Day 05,Task 2 - All vents,,,,89992050.0,ns,6
Day 05,Task 2 - All vents,,,,89634236.0,ns,6
Day 05,Task 2 - All vents,,,,88981152.0,ns,6
Day 05,Task 2 - All vents,,,,89190765.0,ns,6
Day 05,Task 2 - All vents,,,,89942428.0,ns,6
Day 05,Task 2 - All vents,,,,89456591.0,ns,6
Day 05,Task 2 - All vents,,,,89024595.0,ns,6
Day 05,Task 2 - All vents,,,,91897077.0,ns,6
Day 05,Task 2 - All vents,,,,89789447.0,ns,6
Day 05,Task 2 - All vents,,,,89015636.0,ns,6
Day 05,Task 2 - All vents,,,,90420723.0,ns,6
Day 05,Task 2 - All vents,,,,89374646.0,ns,6
Day 05,Task 2 - All vents,,,,89611036.0,ns,6
Day 05,Task 2 - All vents,,,,89864503.0,ns,6
Day 05,Task 2 - All vents,,,,91358551.0,ns,6
Day 05,Task 2 - All vents,,,,89876410.0,ns,6
Day 05,Task 2 - All vents,,,,89965464.0,ns,6
Day 05,Task 2 - All vents,,,,89878621.0,ns,6
