group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 06,Task 1 - Lanternfish population after 80 days,,,,3106992.0,ns,144
Day 06,Task 1 - Lanternfish population after 80 days,,,,6305016.0,ns,288
Day 06,Task 1 - Lanternfish population after 80 days,,,,9162534.0,ns,432
Day 06,Task 1 - Lanternfish population after 80 days,,,,12446060.0,ns,576
Day 06,Task 1 - Lanternfish population after 80 days,,,,15348406.0,ns,720
Day 06,Task 1 - Lanternfish population after 80 days,,,,18505731.0,ns,864
Day 06,Task 1 - Lanternfish population after 80 days,,,,21829638.0,ns,1008
Day 06,Task 1 - Lanternfish population after 80 days,,,,25314434.0,ns,1152
Day 06,Task 1 - Lanternfish population after 80 days,,,,28029668.0,ns,1296
Day 06,Task 1 - Lanternfish population after 80 days,,,,31117838.0,ns,1440
Day 06,Task 1 - Lanternfish population after 80 days,,,,34252819.0,ns,1584
Day 06,Task 1 - Lanternfish population after 80 days,,,,36909464.0,ns,1728
Day 06,Task 1 - Lanternfish population after 80 days,,,,40401640.0,ns,1872
Day 06,Task 1 - Lanternfish population after 80 days,,,,42940867.0,ns,2016
Day 06,Task 1 - Lanternfish population after 80 days,,,,46083979.0,ns,2160
Day 06,Task 1 - Lanternfish population after 80 days,,,,48973432.0,ns,2304
Day 06,Task 1 - Lanternfish population after 80 days,,,,52000122.0,ns,2448
Day 06,Task 1 - Lanternfish population after 80 days,,,,55572065.0,ns,2592
Day 06,Task 1 - Lanternfish population after 80 days,,,,58305670.0,ns,2736
Day 06,Task 1 - Lanternfish population after 80 days,,,,61439584.0,ns,2880
Day 06,Task 1 - Lanternfish population after 80 days,,,,64305060.0,ns,3024
Day 06,Task 1 - Lanternfish population after 80 days,,,,67427063.0,ns,3168
Day 06,Task 1 - Lanternfish population after 80 days,,,,70531084.0,ns,3312
Day 06,Task 1 - Lanternfish population after 80 days,,,,73958508.0,ns,3456
Day 06,Task 1 - Lanternfish population after 80 days,,,,76707509.0,ns,3600
Day 06,Task 1 - Lanternfish population after 80 days,,,,79737954.0,ns,3744
Day 06,Task 1 - Lanternfish population after 80 days,,,,82978302.0,ns,3888
Day 06,Task 1 - Lanternfish population after 80 days,,,,86128875.0,ns,4032
Day 06,Task 1 - Lanternfish population after 80 days,,,,89178591.0,ns,4176
Day 06,Task 1 - Lanternfish population after 80 days,,,,91727308.0,ns,4320
Day 06,Task 1 - Lanternfish population after 80 days,,,,95259644.0,ns,4464
Day 06,Task 1 - Lanternfish population after 80 days,,,,98355838.0,ns,4608
Day 06,Task 1 - Lanternfish population after 80 days,,,,101620036.0,ns,4752
Day 06,Task 1 - Lanternfish population after 80 days,,,,104792531.0,ns,4896
Day 06,Task 1 - Lanternfish population after 80 days,,,,107769034.0,ns,5040
Day 06,Task 1 - Lanternfish population after 80 days,,,,111476183.0,ns,5184
Day 06,Task 1 - Lanternfish population after 80 days,,,,113933348.0,ns,5328
Day 06,Task 1 - Lanternfish population after 80 days,,,,116705333.0,ns,5472
Day 06,Task 1 - Lanternfish population after 80 days,,,,120253979.0,ns,5616
Day 06,Task 1 - Lanternfish population after 80 days,,,,123598945.0,ns,5760
Day 06,Task 1 - Lanternfish population after 80 days,,,,126250750.0,ns,5904
Day 06,Task 1 - Lanternfish population after 80 days,,,,128921188.0,ns,6048
Day 06,Task 1 - Lanternfish population after 80 days,,,,131905404.0,ns,6192
Day 06,Task 1 - Lanternfish population after 80 days,,,,135164598.0,ns,6336
Day 06,Task 1 - Lanternfish population after 80 days,,,,137958394.0,ns,6480
Day 06,Task 1 - Lanternfish population after 80 days,,,,149914252.0,ns,6624
Day 06,Task 1 - Lanternfish population after 80 days,,,,155013189.0,ns,6768
Day 06,Task 1 - Lanternfish population after 80 days,,,,155454497.0,ns,6912
Day 06,Task 1 - Lanternfish population after 80 days,,,,152458813.0,ns,7056
Day 06,Task 1 - Lanternfish population after 80 days,,,,153356634.0,ns,7200
