group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 06,Task 2 - Lanternfish population after 256 days,,,,3211482.0,ns,39
Day 06,Task 2 - Lanternfish population after 256 days,,,,6476512.0,ns,78
Day 06,Task 2 - Lanternfish population after 256 days,,,,9391296.0,ns,117
Day 06,Task 2 - Lanternfish population after 256 days,,,,12648604.0,ns,156
Day 06,Task 2 - Lanternfish population after 256 days,,,,15768721.0,ns,195
Day 06,Task 2 - Lanternfish population after 256 days,,,,19094043.0,ns,234
Day 06,Task 2 - Lanternfish population after 256 days,,,,21967740.0,ns,273
Day 06,Task 2 - Lanternfish population after 256 days,,,,25312050.0,ns,312
Day 06,Task 2 - Lanternfish population after 256 days,,,,28521492.0,ns,351
Day 06,Task 2 - Lanternfish population after 256 days,,,,31496303.0,ns,390
Day 06,Task 2 - Lanternfish population after 256 days,,,,34466028.0,ns,429
Day 06,Task 2 - Lanternfish population after 256 days,,,,37812222.0,ns,468
Day 06,Task 2 - Lanternfish population after 256 days,,,,41356874.0,ns,507
Day 06,Task 2 - Lanternfish population after 256 days,,,,44189675.0,ns,546
Day 06,Task 2 - Lanternfish population after 256 days,,,,46960682.0,ns,585
Day 06,Task 2 - Lanternfish population after 256 days,,,,50420658.0,ns,624
Day 06,Task 2 - Lanternfish population after 256 days,,,,54566762.0,ns,663
Day 06,Task 2 - Lanternfish population after 256 days,,,,57454101.0,ns,702
Day 06,Task 2 - Lanternfish population after 256 days,,,,60562121.0,ns,741
Day 06,Task 2 - Lanternfish population after 256 days,,,,63269767.0,ns,780
Day 06,Task 2 - Lanternfish population after 256 days,,,,66655852.0,ns,819
Day 06,Task 2 - Lanternfish population after 256 days,,,,78974402.0,ns,858
Day 06,Task 2 - Lanternfish population after 256 days,,,,76250451.0,ns,897
Day 06,Task 2 - Lanternfish population after 256 days,,,,83475304.0,ns,936
Day 06,Task 2 - Lanternfish population after 256 days,,,,88640766.0,ns,975
Day 06,Task 2 - Lanternfish population after 256 days,,,,82912969.0,ns,1014
Day 06,Task 2 - Lanternfish population after 256 days,,,,86671378.0,ns,1053
Day 06,Task 2 - Lanternfish population after 256 days,,,,90616971.0,ns,1092
Day 06,Task 2 - Lanternfish population after 256 days,,,,92740543.0,ns,1131
Day 06,Task 2 - Lanternfish population after 256 days,,,,96014514.0,ns,1170
Day 06,Task 2 - Lanternfish population after 256 days,,,,98426456.0,ns,1209
Day 06,Task 2 - Lanternfish population after 256 days,,,,100954318.0,ns,1248
Day 06,Task 2 - Lanternfish population after 256 days,,,,104573880.0,ns,1287
Day 06,Task 2 - Lanternfish population after 256 days,,,,107802022.0,ns,1326
Day 06,Task 2 - Lanternfish population after 256 days,,,,110775246.0,ns,1365
Day 06,Task 2 - Lanternfish population after 256 days,,,,114375524.0,ns,1404
Day 06,Task 2 - Lanternfish population after 256 days,,,,118060244.0,ns,1443
Day 06,Task 2 - Lanternfish population after 256 days,,,,120760002.0,ns,1482
Day 06,Task 2 - Lanternfish population after 256 days,,,,124337772.0,ns,1521
Day 06,Task 2 - Lanternfish population after 256 days,,,,127672316.0,ns,1560
Day 06,Task 2 - Lanternfish population after 256 days,,,,129920673.0,ns,1599
Day 06,Task 2 - Lanternfish population after 256 days,,,,132935649.0,ns,1638
Day 06,Task 2 - Lanternfish population after 256 days,,,,135884843.0,ns,1677
Day 06,Task 2 - Lanternfish population after 256 days,,,,140487752.0,ns,1716
Day 06,Task 2 - Lanternfish population after 256 days,,,,142593289.0,ns,1755
Day 06,Task 2 - Lanternfish population after 256 days,,,,144831721.0,ns,1794
Day 06,Task 2 - Lanternfish population after 256 days,,,,148758513.0,ns,1833
Day 06,Task 2 - Lanternfish population after 256 days,,,,152957609.0,ns,1872
Day 06,Task 2 - Lanternfish population after 256 days,,,,154465241.0,ns,1911
Day 06,Task 2 - Lanternfish population after 256 days,,,,157999012.0,ns,1950
