group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,3209833.0,ns,48
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,6283275.0,ns,96
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,9446673.0,ns,144
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,12853359.0,ns,192
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,15537771.0,ns,240
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,18815811.0,ns,288
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,21925014.0,ns,336
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,25067458.0,ns,384
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,27758817.0,ns,432
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,31337256.0,ns,480
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,34685176.0,ns,528
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,37386702.0,ns,576
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,40539364.0,ns,624
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,53008667.0,ns,672
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,48438917.0,ns,720
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,51166134.0,ns,768
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,60382790.0,ns,816
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,57256469.0,ns,864
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,65063074.0,ns,912
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,62754399.0,ns,960
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,65820021.0,ns,1008
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,70362928.0,ns,1056
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,75749604.0,ns,1104
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,75508609.0,ns,1152
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,78343604.0,ns,1200
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,81092397.0,ns,1248
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,86439750.0,ns,1296
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,87574554.0,ns,1344
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,92323858.0,ns,1392
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,93590978.0,ns,1440
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,97006487.0,ns,1488
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,100013610.0,ns,1536
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,104384350.0,ns,1584
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,107730451.0,ns,1632
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,109855915.0,ns,1680
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,113210221.0,ns,1728
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,115876003.0,ns,1776
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,120042633.0,ns,1824
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,122184457.0,ns,1872
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,125974604.0,ns,1920
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,128700621.0,ns,1968
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,131844556.0,ns,2016
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,135415051.0,ns,2064
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,137546315.0,ns,2112
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,140647851.0,ns,2160
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,146968157.0,ns,2208
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,148078244.0,ns,2256
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,150965265.0,ns,2304
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,153991221.0,ns,2352
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,157706809.0,ns,2400
