group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,3115118.0,ns,49
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,6627786.0,ns,98
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,9343209.0,ns,147
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,12462198.0,ns,196
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,16394549.0,ns,245
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,18620818.0,ns,294
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,21676075.0,ns,343
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,24913535.0,ns,392
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,28097162.0,ns,441
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,31196027.0,ns,490
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,34171427.0,ns,539
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,37465916.0,ns,588
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,40889434.0,ns,637
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,43435218.0,ns,686
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,46847212.0,ns,735
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,49809215.0,ns,784
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,53043784.0,ns,833
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,56046405.0,ns,882
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,60208107.0,ns,931
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,62327235.0,ns,980
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,66045988.0,ns,1029
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,69171786.0,ns,1078
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,71905169.0,ns,1127
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,75439714.0,ns,1176
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,78189810.0,ns,1225
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,81405717.0,ns,1274
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,84192892.0,ns,1323
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,87527022.0,ns,1372
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,91143233.0,ns,1421
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,93672185.0,ns,1470
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,96792706.0,ns,1519
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,99907292.0,ns,1568
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,103233016.0,ns,1617
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,106343784.0,ns,1666
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,112102173.0,ns,1715
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,113320078.0,ns,1764
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,116404591.0,ns,1813
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,119090115.0,ns,1862
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,121262727.0,ns,1911
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,133592144.0,ns,1960
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,135518476.0,ns,2009
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,138021744.0,ns,2058
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,134152463.0,ns,2107
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,138032872.0,ns,2156
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,140757536.0,ns,2205
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,143011542.0,ns,2254
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,146963979.0,ns,2303
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,150309806.0,ns,2352
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,154483619.0,ns,2401
Day 07,Task 1 - Crab formation with constant fuel consumption,,,,156026752.0,ns,2450
