group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,3152657.0,ns,87
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,6274804.0,ns,174
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,9587417.0,ns,261
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,12566861.0,ns,348
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,15593902.0,ns,435
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,18885376.0,ns,522
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,21859462.0,ns,609
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,25173472.0,ns,696
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,28298630.0,ns,783
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,31413226.0,ns,870
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,34458724.0,ns,957
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,39391684.0,ns,1044
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,41215850.0,ns,1131
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,43965771.0,ns,1218
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,47341557.0,ns,1305
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,50146998.0,ns,1392
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,53513602.0,ns,1479
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,56544494.0,ns,1566
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,59525052.0,ns,1653
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,62906583.0,ns,1740
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,65783670.0,ns,1827
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,69466698.0,ns,1914
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,72739002.0,ns,2001
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,75565754.0,ns,2088
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,78648905.0,ns,2175
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,81621283.0,ns,2262
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,85060951.0,ns,2349
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,88500282.0,ns,2436
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,91725191.0,ns,2523
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,94991778.0,ns,2610
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,97168148.0,ns,2697
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,100471989.0,ns,2784
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,103738988.0,ns,2871
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,107019513.0,ns,2958
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,110570054.0,ns,3045
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,113689499.0,ns,3132
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,116348343.0,ns,3219
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,119970003.0,ns,3306
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,124707889.0,ns,3393
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,125720510.0,ns,3480
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,128650516.0,ns,3567
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,131749072.0,ns,3654
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,135495849.0,ns,3741
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,148641209.0,ns,3828
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,159902846.0,ns,3915
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,145036386.0,ns,4002
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,198361759.0,ns,4089
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,164171178.0,ns,4176
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,157386344.0,ns,4263
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,157470487.0,ns,4350
