group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,3180018.0,ns,87
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,6296325.0,ns,174
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,9727284.0,ns,261
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,12686524.0,ns,348
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,15843888.0,ns,435
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,18911217.0,ns,522
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,22042795.0,ns,609
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,25274409.0,ns,696
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,28435255.0,ns,783
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,31687396.0,ns,870
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,34868290.0,ns,957
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,37938478.0,ns,1044
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,40949721.0,ns,1131
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,44163310.0,ns,1218
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,47653657.0,ns,1305
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,50612434.0,ns,1392
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,53939009.0,ns,1479
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,57097785.0,ns,1566
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,60811484.0,ns,1653
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,63673379.0,ns,1740
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,66357369.0,ns,1827
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,69611329.0,ns,1914
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,72738506.0,ns,2001
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,76194316.0,ns,2088
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,78980992.0,ns,2175
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,82594826.0,ns,2262
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,85764785.0,ns,2349
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,97075149.0,ns,2436
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,92286717.0,ns,2523
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,101370581.0,ns,2610
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,103581816.0,ns,2697
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,101632180.0,ns,2784
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,107019169.0,ns,2871
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,107547829.0,ns,2958
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,110667192.0,ns,3045
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,114447795.0,ns,3132
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,117721906.0,ns,3219
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,119909811.0,ns,3306
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,123762450.0,ns,3393
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,126666777.0,ns,3480
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,129355022.0,ns,3567
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,133332112.0,ns,3654
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,135838560.0,ns,3741
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,139470970.0,ns,3828
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,142173238.0,ns,3915
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,145113812.0,ns,4002
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,148588556.0,ns,4089
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,151895590.0,ns,4176
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,154932459.0,ns,4263
Day 07,Task 2 - Crab formation with linear fuel consumption,,,,158195755.0,ns,4350
