group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,3853419.0,ns,5
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,7534205.0,ns,10
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,11467040.0,ns,15
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,15335922.0,ns,20
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,19054983.0,ns,25
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,23025717.0,ns,30
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,26639412.0,ns,35
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,30370386.0,ns,40
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,34216783.0,ns,45
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,38042229.0,ns,50
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,41557945.0,ns,55
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,45841160.0,ns,60
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,49601249.0,ns,65
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,53456570.0,ns,70
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,56808379.0,ns,75
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,61687870.0,ns,80
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,64948142.0,ns,85
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,68843109.0,ns,90
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,72184683.0,ns,95
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,76406314.0,ns,100
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,79845139.0,ns,105
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,84191697.0,ns,110
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,87886936.0,ns,115
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,91520338.0,ns,120
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,95726741.0,ns,125
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,98565550.0,ns,130
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,102483247.0,ns,135
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,107089054.0,ns,140
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,110138333.0,ns,145
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,115004683.0,ns,150
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,125930560.0,ns,155
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,128778391.0,ns,160
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,131254055.0,ns,165
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,131099253.0,ns,170
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,137904718.0,ns,175
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,137212721.0,ns,180
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,141693423.0,ns,185
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,144244966.0,ns,190
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,148660238.0,ns,195
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,152783409.0,ns,200
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,156159411.0,ns,205
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,160727536.0,ns,210
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,164631178.0,ns,215
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,167299337.0,ns,220
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,171679130.0,ns,225
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,175557658.0,ns,230
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,178822185.0,ns,235
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,182724007.0,ns,240
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,186823376.0,ns,245
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,189960245.0,ns,250
