group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,3793563.0,ns,5
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,7566676.0,ns,10
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,11470602.0,ns,15
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,15068645.0,ns,20
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,19315438.0,ns,25
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,22578195.0,ns,30
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,26554953.0,ns,35
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,31006830.0,ns,40
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,35448458.0,ns,45
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,38102290.0,ns,50
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,41740759.0,ns,55
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,45584520.0,ns,60
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,49763308.0,ns,65
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,54489471.0,ns,70
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,57341244.0,ns,75
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,61382857.0,ns,80
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,64429120.0,ns,85
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,69175338.0,ns,90
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,72671415.0,ns,95
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,76016501.0,ns,100
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,85939910.0,ns,105
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,89997855.0,ns,110
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,89123053.0,ns,115
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,92147761.0,ns,120
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,96121119.0,ns,125
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,98273506.0,ns,130
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,103281216.0,ns,135
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,107790531.0,ns,140
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,110010751.0,ns,145
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,114828692.0,ns,150
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,118108727.0,ns,155
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,125904795.0,ns,160
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,125275876.0,ns,165
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,129030373.0,ns,170
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,133291003.0,ns,175
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,137850650.0,ns,180
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,140465589.0,ns,185
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,145714220.0,ns,190
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,149821797.0,ns,195
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,152492559.0,ns,200
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,157104143.0,ns,205
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,160452282.0,ns,210
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,163607311.0,ns,215
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,166891298.0,ns,220
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,170258110.0,ns,225
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,175377388.0,ns,230
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,178664650.0,ns,235
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,184273926.0,ns,240
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,186949702.0,ns,245
Day 08,"Task 1 - Count 1, 4, 7 and 8",,,,190656273.0,ns,250
