group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 08,Task 2 - Decode and sum outputs,,,,3977874.0,ns,5
Day 08,Task 2 - Decode and sum outputs,,,,8073499.0,ns,10
Day 08,Task 2 - Decode and sum outputs,,,,11798122.0,ns,15
Day 08,Task 2 - Decode and sum outputs,,,,16025254.0,ns,20
Day 08,Task 2 - Decode and sum outputs,,,,19884829.0,ns,25
Day 08,Task 2 - Decode and sum outputs,,,,23698403.0,ns,30
Day 08,Task 2 - Decode and sum outputs,,,,28330120.0,ns,35
Day 08,Task 2 - Decode and sum outputs,,,,31808886.0,ns,40
Day 08,Task 2 - Decode and sum outputs,,,,35419339.0,ns,45
Day 08,Task 2 - Decode and sum outputs,,,,39638324.0,ns,50
Day 08,Task 2 - Decode and sum outputs,,,,42721971.0,ns,55
Day 08,Task 2 - Decode and sum outputs,,,,47330010.0,ns,60
Day 08,Task 2 - Decode and sum outputs,,,,51693642.0,ns,65
Day 08,Task 2 - Decode and sum outputs,,,,55316434.0,ns,70
Day 08,Task 2 - Decode and sum outputs,,,,59878178.0,ns,75
Day 08,Task 2 - Decode and sum outputs,,,,65605715.0,ns,80
Day 08,Task 2 - Decode and sum outputs,,,,66498721.0,ns,85
Day 08,Task 2 - Decode and sum outputs,,,,71842518.0,ns,90
Day 08,Task 2 - Decode and sum outputs,,,,74348977.0,ns,95
Day 08,Task 2 - Decode and sum outputs,,,,79167001.0,ns,100
Day 08,Task 2 - Decode and sum outputs,,,,82780914.0,ns,105
Day 08,Task 2 - Decode and sum outputs,,,,86975001.0,ns,110
Day 08,Task 2 - Decode and sum outputs,,,,91852118.0,ns,115
Day 08,Task 2 - Decode and sum outputs,,,,95708439.0,ns,120
Day 08,Task 2 - Decode and sum outputs,,,,98671020.0,ns,125
Day 08,Task 2 - Decode and sum outputs,,,,102725921.0,ns,130
Day 08,Task 2 - Decode and sum outputs,,,,105724515.0,ns,135
Day 08,Task 2 - Decode and sum outputs,,,,110693145.0,ns,140
Day 08,Task 2 - Decode and sum outputs,,,,115266039.0,ns,145
Day 08,Task 2 - Decode and sum outputs,,,,119059947.0,ns,150
Day 08,Task 2 - Decode and sum outputs,,,,122101575.0,ns,155
Day 08,Task 2 - Decode and sum outputs,,,,126923054.0,ns,160
Day 08,Task 2 - Decode and sum outputs,,,,130544506.0,ns,165
Day 08,Task 2 - Decode and sum outputs,,,,133857741.0,ns,170
Day 08,Task 2 - Decode and sum outputs,,,,138394764.0,ns,175
Day 08,Task 2 - Decode and sum outputs,,,,141924618.0,ns,180
Day 08,Task 2 - Decode and sum outputs,,,,146765974.0,ns,185
Day 08,Task 2 - Decode and sum outputs,,,,148477141.0,ns,190
Day 08,Task 2 - Decode and sum outputs,,,,153359072.0,ns,195
Day 08,Task 2 - Decode and sum outputs,,,,158040346.0,ns,200
Day 08,Task 2 - Decode and sum outputs,,,,161254620.0,ns,205
Day 08,Task 2 - Decode and sum outputs,,,,165179121.0,ns,210
Day 08,Task 2 - Decode and sum outputs,,,,170551295.0,ns,215
Day 08,Task 2 - Decode and sum outputs,,,,173837835.0,ns,220
Day 08,Task 2 - Decode and sum outputs,,,,178886303.0,ns,225
Day 08,Task 2 - Decode and sum outputs,,,,181085046.0,ns,230
Day 08,Task 2 - Decode and sum outputs,,,,185672293.0,ns,235
Day 08,Task 2 - Decode and sum outputs,,,,189559296.0,ns,240
Day 08,Task 2 - Decode and sum outputs,,,,194566469.0,ns,245
Day 08,Task 2 - Decode and sum outputs,,,,196968937.0,ns,250
