group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 08,Task 2 - Decode and sum outputs,,,,3826442.0,ns,5
Day 08,Task 2 - Decode and sum outputs,,,,7595048.0,ns,10
Day 08,Task 2 - Decode and sum outputs,,,,11622310.0,ns,15
Day 08,Task 2 - Decode and sum outputs,,,,15398172.0,ns,20
Day 08,Task 2 - Decode and sum outputs,,,,19385094.0,ns,25
Day 08,Task 2 - Decode and sum outputs,,,,23048005.0,ns,30
Day 08,Task 2 - Decode and sum outputs,,,,27076481.0,ns,35
Day 08,Task 2 - Decode and sum outputs,,,,30763951.0,ns,40
Day 08,Task 2 - Decode and sum outputs,,,,34689858.0,ns,45
Day 08,Task 2 - Decode and sum outputs,,,,38584279.0,ns,50
Day 08,Task 2 - Decode and sum outputs,,,,42131428.0,ns,55
Day 08,Task 2 - Decode and sum outputs,,,,46196395.0,ns,60
Day 08,Task 2 - Decode and sum outputs,,,,58664212.0,ns,65
Day 08,Task 2 - Decode and sum outputs,,,,54016719.0,ns,70
Day 08,Task 2 - Decode and sum outputs,,,,63772398.0,ns,75
Day 08,Task 2 - Decode and sum outputs,,,,62439737.0,ns,80
Day 08,Task 2 - Decode and sum outputs,,,,69318362.0,ns,85
Day 08,Task 2 - Decode and sum outputs,,,,69031809.0,ns,90
Day 08,Task 2 - Decode and sum outputs,,,,72909050.0,ns,95
Day 08,Task 2 - Decode and sum outputs,,,,77432388.0,ns,100
Day 08,Task 2 - Decode and sum outputs,,,,80554999.0,ns,105
Day 08,Task 2 - Decode and sum outputs,,,,84584001.0,ns,110
Day 08,Task 2 - Decode and sum outputs,,,,88174185.0,ns,115
Day 08,Task 2 - Decode and sum outputs,,,,92397484.0,ns,120
Day 08,Task 2 - Decode and sum outputs,,,,96736405.0,ns,125
Day 08,Task 2 - Decode and sum outputs,,,,99561134.0,ns,130
Day 08,Task 2 - Decode and sum outputs,,,,104444373.0,ns,135
Day 08,Task 2 - Decode and sum outputs,,,,107240453.0,ns,140
Day 08,Task 2 - Decode and sum outputs,,,,111548711.0,ns,145
Day 08,Task 2 - Decode and sum outputs,,,,114832391.0,ns,150
Day 08,Task 2 - Decode and sum outputs,,,,119636799.0,ns,155
Day 08,Task 2 - Decode and sum outputs,,,,123363324.0,ns,160
Day 08,Task 2 - Decode and sum outputs,,,,127159961.0,ns,165
Day 08,Task 2 - Decode and sum outputs,,,,130546344.0,ns,170
Day 08,Task 2 - Decode and sum outputs,,,,134770684.0,ns,175
Day 08,Task 2 - Decode and sum outputs,,,,138023998.0,ns,180
Day 08,Task 2 - Decode and sum outputs,,,,141793722.0,ns,185
Day 08,Task 2 - Decode and sum outputs,,,,145787161.0,ns,190
Day 08,Task 2 - Decode and sum outputs,,,,149970948.0,ns,195
Day 08,Task 2 - Decode and sum outputs,,,,153515970.0,ns,200
Day 08,Task 2 - Decode and sum outputs,,,,158234589.0,ns,205
Day 08,Task 2 - Decode and sum outputs,,,,162044663.0,ns,210
Day 08,Task 2 - Decode and sum outputs,,,,165803502.0,ns,215
Day 08,Task 2 - Decode and sum outputs,,,,169400868.0,ns,220
Day 08,Task 2 - Decode and sum outputs,,,,172904742.0,ns,225
Day 08,Task 2 - Decode and sum outputs,,,,175952368.0,ns,230
Day 08,Task 2 - Decode and sum outputs,,,,181110084.0,ns,235
Day 08,Task 2 - Decode and sum outputs,,,,184979728.0,ns,240
Day 08,Task 2 - Decode and sum outputs,,,,188656580.0,ns,245
Day 08,Task 2 - Decode and sum outputs,,,,191500642.0,ns,250
