group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 09,Task 1 - Calculate risk level,,,,3406360.0,ns,6
Day 09,Task 1 - Calculate risk level,,,,6834882.0,ns,12
Day 09,Task 1 - Calculate risk level,,,,10439458.0,ns,18
Day 09,Task 1 - Calculate risk level,,,,14260870.0,ns,24
Day 09,Task 1 - Calculate risk level,,,,17021804.0,ns,30
Day 09,Task 1 - Calculate risk level,,,,20481840.0,ns,36
Day 09,Task 1 - Calculate risk level,,,,23829910.0,ns,42
Day 09,Task 1 - Calculate risk level,,,,27338073.0,ns,48
Day 09,Task 1 - Calculate risk level,,,,30926489.0,ns,54
Day 09,Task 1 - Calculate risk level,,,,34140232.0,ns,60
Day 09,Task 1 - Calculate risk level,,,,37846831.0,ns,66
Day 09,Task 1 - Calculate risk level,,,,41401604.0,ns,72
Day 09,Task 1 - Calculate risk level,,,,44541030.0,ns,78
Day 09,Task 1 - Calculate risk level,,,,47887577.0,ns,84
Day 09,Task 1 - Calculate risk level,,,,51179718.0,ns,90
Day 09,Task 1 - Calculate risk level,,,,54720707.0,ns,96
Day 09,Task 1 - Calculate risk level,,,,58078404.0,ns,102
Day 09,Task 1 - Calculate risk level,,,,61408816.0,ns,108
Day 09,Task 1 - Calculate risk level,,,,64919156.0,ns,114
Day 09,Task 1 - Calculate risk level,,,,68403047.0,ns,120
Day 09,Task 1 - Calculate risk level,,,,71733352.0,ns,126
Day 09,Task 1 - Calculate risk level,,,,75095456.0,ns,132
Day 09,Task 1 - Calculate risk level,,,,78371036.0,ns,138
Day 09,Task 1 - Calculate risk level,,,,82844578.0,ns,144
Day 09,Task 1 - Calculate risk level,,,,85217178.0,ns,150
Day 09,Task 1 - Calculate risk level,,,,88901819.0,ns,156
Day 09,Task 1 - Calculate risk level,,,,92340482.0,ns,162
Day 09,Task 1 - Calculate risk level,,,,96481126.0,ns,168
Day 09,Task 1 - Calculate risk level,,,,106982063.0,ns,174
Day 09,Task 1 - Calculate risk level,,,,108818467.0,ns,180
Day 09,Task 1 - Calculate risk level,,,,109637050.0,ns,186
Day 09,Task 1 - Calculate risk level,,,,109666648.0,ns,192
Day 09,Task 1 - Calculate risk level,,,,113240897.0,ns,198
Day 09,Task 1 - Calculate risk level,,,,116750819.0,ns,204
Day 09,Task 1 - Calculate risk level,,,,119337972.0,ns,210
Day 09,Task 1 - Calculate risk level,,,,122768963.0,ns,216
Day 09,Task 1 - Calculate risk level,,,,126796086.0,ns,222
Day 09,Task 1 - Calculate risk level,,,,130064279.0,ns,228
Day 09,Task 1 - Calculate risk level,,,,133631576.0,ns,234
Day 09,Task 1 - Calculate risk level,,,,137033043.0,ns,240
Day 09,Task 1 - Calculate risk level,,,,140680429.0,ns,246
Day 09,Task 1 - Calculate risk level,,,,144331028.0,ns,252
Day 09,Task 1 - Calculate risk level,,,,146842960.0,ns,258
Day 09,Task 1 - Calculate risk level,,,,150400479.0,ns,264
Day 09,Task 1 - Calculate risk level,,,,154286174.0,ns,270
Day 09,Task 1 - Calculate risk level,,,,156801910.0,ns,276
Day 09,Task 1 - Calculate risk level,,,,161344803.0,ns,282
Day 09,Task 1 - Calculate risk level,,,,163716873.0,ns,288
Day 09,Task 1 - Calculate risk level,,,,167351020.0,ns,294
Day 09,Task 1 - Calculate risk level,,,,170789359.0,ns,300
