group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 09,Task 1 - Calculate risk level,,,,3523861.0,ns,6
Day 09,Task 1 - Calculate risk level,,,,6950782.0,ns,12
Day 09,Task 1 - Calculate risk level,,,,10171463.0,ns,18
Day 09,Task 1 - Calculate risk level,,,,13757915.0,ns,24
Day 09,Task 1 - Calculate risk level,,,,17337052.0,ns,30
Day 09,Task 1 - Calculate risk level,,,,20467699.0,ns,36
Day 09,Task 1 - Calculate risk level,,,,24109078.0,ns,42
Day 09,Task 1 - Calculate risk level,,,,27330390.0,ns,48
Day 09,Task 1 - Calculate risk level,,,,30978579.0,ns,54
Day 09,Task 1 - Calculate risk level,,,,34491409.0,ns,60
Day 09,Task 1 - Calculate risk level,,,,37601959.0,ns,66
Day 09,Task 1 - Calculate risk level,,,,41296450.0,ns,72
Day 09,Task 1 - Calculate risk level,,,,44682231.0,ns,78
Day 09,Task 1 - Calculate risk level,,,,48207281.0,ns,84
Day 09,Task 1 - Calculate risk level,,,,51505495.0,ns,90
Day 09,Task 1 - Calculate risk level,,,,54539230.0,ns,96
Day 09,Task 1 - Calculate risk level,,,,58865677.0,ns,102
Day 09,Task 1 - Calculate risk level,,,,62180047.0,ns,108
Day 09,Task 1 - Calculate risk level,,,,65291627.0,ns,114
Day 09,Task 1 - Calculate risk level,,,,68887623.0,ns,120
Day 09,Task 1 - Calculate risk level,,,,71966053.0,ns,126
Day 09,Task 1 - Calculate risk level,,,,75145963.0,ns,132
Day 09,Task 1 - Calculate risk level,,,,78770615.0,ns,138
Day 09,Task 1 - Calculate risk level,,,,81954085.0,ns,144
Day 09,Task 1 - Calculate risk level,,,,85482441.0,ns,150
Day 09,Task 1 - Calculate risk level,,,,89034227.0,ns,156
Day 09,Task 1 - Calculate risk level,,,,92643573.0,ns,162
Day 09,Task 1 - Calculate risk level,,,,95900757.0,ns,168
Day 09,Task 1 - Calculate risk level,,,,99459571.0,ns,174
Day 09,Task 1 - Calculate risk level,,,,102756756.0,ns,180
Day 09,Task 1 - Calculate risk level,,,,105858626.0,ns,186
Day 09,Task 1 - Calculate risk level,,,,108799105.0,ns,192
Day 09,Task 1 - Calculate risk level,,,,112793541.0,ns,198
Day 09,Task 1 - Calculate risk level,,,,118956990.0,ns,204
Day 09,Task 1 - Calculate risk level,,,,121177111.0,ns,210
Day 09,Task 1 - Calculate risk level,,,,123039521.0,ns,216
Day 09,Task 1 - Calculate risk level,,,,127029266.0,ns,222
Day 09,Task 1 - Calculate risk level,,,,128751933.0,ns,228
Day 09,Task 1 - Calculate risk level,,,,133015904.0,ns,234
Day 09,Task 1 - Calculate risk level,,,,137470820.0,ns,240
Day 09,Task 1 - Calculate risk level,,,,141568512.0,ns,246
Day 09,Task 1 - Calculate risk level,,,,146095169.0,ns,252
Day 09,Task 1 - Calculate risk level,,,,147586870.0,ns,258
Day 09,Task 1 - Calculate risk level,,,,151895046.0,ns,264
Day 09,Task 1 - Calculate risk level,,,,154964873.0,ns,270
Day 09,Task 1 - Calculate risk level,,,,159965706.0,ns,276
Day 09,Task 1 - Calculate risk level,,,,161477084.0,ns,282
Day 09,Task 1 - Calculate risk level,,,,173033507.0,ns,288
Day 09,Task 1 - Calculate risk level,,,,176274920.0,ns,294
Day 09,Task 1 - Calculate risk level,,,,180426567.0,ns,300
