group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,5083743.0,ns,3
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,9132922.0,ns,6
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,13551558.0,ns,9
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,17842752.0,ns,12
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,22464687.0,ns,15
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,27591186.0,ns,18
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,31343086.0,ns,21
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,35935933.0,ns,24
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,40355149.0,ns,27
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,44869410.0,ns,30
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,49780067.0,ns,33
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,53911626.0,ns,36
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,58257575.0,ns,39
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,63114613.0,ns,42
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,67339722.0,ns,45
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,71757414.0,ns,48
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,76558637.0,ns,51
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,81659956.0,ns,54
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,85371323.0,ns,57
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,89470736.0,ns,60
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,94348477.0,ns,63
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,98563390.0,ns,66
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,103436822.0,ns,69
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,108031998.0,ns,72
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,112157367.0,ns,75
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,116487677.0,ns,78
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,124394542.0,ns,81
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,126580512.0,ns,84
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,130964641.0,ns,87
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,136243149.0,ns,90
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,139680416.0,ns,93
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,144105527.0,ns,96
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,148355027.0,ns,99
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,152733344.0,ns,102
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,157249541.0,ns,105
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,161547402.0,ns,108
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,166231181.0,ns,111
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,171831906.0,ns,114
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,175403503.0,ns,117
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,179807741.0,ns,120
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,183905884.0,ns,123
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,189050131.0,ns,126
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,193672503.0,ns,129
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,197496448.0,ns,132
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,202413532.0,ns,135
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,206546540.0,ns,138
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,212249290.0,ns,141
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,215513728.0,ns,144
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,219997587.0,ns,147
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,225310793.0,ns,150
