group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,4814600.0,ns,3
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,9523027.0,ns,6
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,14367368.0,ns,9
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,19151377.0,ns,12
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,23901913.0,ns,15
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,28587478.0,ns,18
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,33672545.0,ns,21
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,38619011.0,ns,24
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,43149880.0,ns,27
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,47848198.0,ns,30
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,52602839.0,ns,33
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,60928543.0,ns,36
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,67568483.0,ns,39
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,68172661.0,ns,42
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,78558441.0,ns,45
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,80742457.0,ns,48
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,81130174.0,ns,51
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,87298282.0,ns,54
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,91291953.0,ns,57
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,96052615.0,ns,60
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,100379570.0,ns,63
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,106040042.0,ns,66
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,110071406.0,ns,69
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,115249440.0,ns,72
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,119386031.0,ns,75
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,124490974.0,ns,78
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,129273709.0,ns,81
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,134233054.0,ns,84
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,138489046.0,ns,87
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,143770423.0,ns,90
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,149114851.0,ns,93
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,153315979.0,ns,96
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,157823241.0,ns,99
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,163018586.0,ns,102
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,167656565.0,ns,105
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,172662710.0,ns,108
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,177337092.0,ns,111
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,182211855.0,ns,114
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,186237216.0,ns,117
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,191748532.0,ns,120
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,199202692.0,ns,123
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,200897070.0,ns,126
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,205986177.0,ns,129
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,210746984.0,ns,132
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,215100161.0,ns,135
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,220611072.0,ns,138
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,224957397.0,ns,141
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,230333308.0,ns,144
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,234450413.0,ns,147
Day 09,Task 2 - Caluclate size of the 3 largest basins,,,,239666543.0,ns,150
