group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 10,Task 1 - Error score,,,,3251552.0,ns,23
Day 10,Task 1 - Error score,,,,6529191.0,ns,46
Day 10,Task 1 - Error score,,,,9811596.0,ns,69
Day 10,Task 1 - Error score,,,,13186409.0,ns,92
Day 10,Task 1 - Error score,,,,16081569.0,ns,115
Day 10,Task 1 - Error score,,,,19502720.0,ns,138
Day 10,Task 1 - Error score,,,,22680069.0,ns,161
Day 10,Task 1 - Error score,,,,25945387.0,ns,184
Day 10,Task 1 - Error score,,,,29409243.0,ns,207
Day 10,Task 1 - Error score,,,,32310453.0,ns,230
Day 10,Task 1 - Error score,,,,35930070.0,ns,253
Day 10,Task 1 - Error score,,,,38742282.0,ns,276
Day 10,Task 1 - Error score,,,,42375917.0,ns,299
Day 10,Task 1 - Error score,,,,45615489.0,ns,322
Day 10,Task 1 - Error score,,,,49047642.0,ns,345
Day 10,Task 1 - Error score,,,,51877034.0,ns,368
Day 10,Task 1 - Error score,,,,55221997.0,ns,391
Day 10,Task 1 - Error score,,,,58609324.0,ns,414
Day 10,Task 1 - Error score,,,,61949028.0,ns,437
Day 10,Task 1 - Error score,,,,64947727.0,ns,460
Day 10,Task 1 - Error score,,,,69712615.0,ns,483
Day 10,Task 1 - Error score,,,,72147875.0,ns,506
Day 10,Task 1 - Error score,,,,75481934.0,ns,529
Day 10,Task 1 - Error score,,,,77884090.0,ns,552
Day 10,Task 1 - Error score,,,,81227512.0,ns,575
Day 10,Task 1 - Error score,,,,84594940.0,ns,598
Day 10,Task 1 - Error score,,,,87528913.0,ns,621
Day 10,Task 1 - Error score,,,,91750574.0,ns,644
Day 10,Task 1 - Error score,,,,94702323.0,ns,667
Day 10,Task 1 - Error score,,,,98039391.0,ns,690
Day 10,Task 1 - Error score,,,,100997985.0,ns,713
Day 10,Task 1 - Error score,,,,103728804.0,ns,736
Day 10,Task 1 - Error score,,,,108079602.0,ns,759
Day 10,Task 1 - Error score,,,,111403631.0,ns,782
Day 10,Task 1 - Error score,,,,113891958.0,ns,805
Day 10,Task 1 - Error score,,,,117518479.0,ns,828
Day 10,Task 1 - Error score,,,,120301704.0,ns,851
Day 10,Task 1 - Error score,,,,123755250.0,ns,874
Day 10,Task 1 - Error score,,,,126316453.0,ns,897
Day 10,Task 1 - Error score,,,,130024958.0,ns,920
Day 10,Task 1 - Error score,,,,133444643.0,ns,943
Day 10,Task 1 - Error score,,,,137380145.0,ns,966
Day 10,Task 1 - Error score,,,,139549799.0,ns,989
Day 10,Task 1 - Error score,,,,143363265.0,ns,1012
Day 10,Task 1 - Error score,,,,146695644.0,ns,1035
Day 10,Task 1 - Error score,,,,150148893.0,ns,1058
Day 10,Task 1 - Error score,,,,152549105.0,ns,1081
Day 10,Task 1 - Error score,,,,156164238.0,ns,1104
Day 10,Task 1 - Error score,,,,161284803.0,ns,1127
Day 10,Task 1 - Error score,,,,162983783.0,ns,1150
