group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 10,Task 1 - Error score,,,,3283575.0,ns,22
Day 10,Task 1 - Error score,,,,6353674.0,ns,44
Day 10,Task 1 - Error score,,,,9509984.0,ns,66
Day 10,Task 1 - Error score,,,,12774573.0,ns,88
Day 10,Task 1 - Error score,,,,15955166.0,ns,110
Day 10,Task 1 - Error score,,,,19048967.0,ns,132
Day 10,Task 1 - Error score,,,,22809302.0,ns,154
Day 10,Task 1 - Error score,,,,25540644.0,ns,176
Day 10,Task 1 - Error score,,,,29171848.0,ns,198
Day 10,Task 1 - Error score,,,,32280502.0,ns,220
Day 10,Task 1 - Error score,,,,34910918.0,ns,242
Day 10,Task 1 - Error score,,,,38158568.0,ns,264
Day 10,Task 1 - Error score,,,,41733788.0,ns,286
Day 10,Task 1 - Error score,,,,45062345.0,ns,308
Day 10,Task 1 - Error score,,,,47531931.0,ns,330
Day 10,Task 1 - Error score,,,,50758989.0,ns,352
Day 10,Task 1 - Error score,,,,54169936.0,ns,374
Day 10,Task 1 - Error score,,,,58477821.0,ns,396
Day 10,Task 1 - Error score,,,,60457614.0,ns,418
Day 10,Task 1 - Error score,,,,63559112.0,ns,440
Day 10,Task 1 - Error score,,,,68033378.0,ns,462
Day 10,Task 1 - Error score,,,,70535557.0,ns,484
Day 10,Task 1 - Error score,,,,73422644.0,ns,506
Day 10,Task 1 - Error score,,,,77010860.0,ns,528
Day 10,Task 1 - Error score,,,,80467770.0,ns,550
Day 10,Task 1 - Error score,,,,83585604.0,ns,572
Day 10,Task 1 - Error score,,,,86301544.0,ns,594
Day 10,Task 1 - Error score,,,,89785490.0,ns,616
Day 10,Task 1 - Error score,,,,93765066.0,ns,638
Day 10,Task 1 - Error score,,,,95481196.0,ns,660
Day 10,Task 1 - Error score,,,,100110196.0,ns,682
Day 10,Task 1 - Error score,,,,102086287.0,ns,704
Day 10,Task 1 - Error score,,,,105680388.0,ns,726
Day 10,Task 1 - Error score,,,,109161019.0,ns,748
Day 10,Task 1 - Error score,,,,111981053.0,ns,770
Day 10,Task 1 - Error score,,,,116492820.0,ns,792
Day 10,Task 1 - Error score,,,,118102615.0,ns,814
Day 10,Task 1 - Error score,,,,122047944.0,ns,836
Day 10,Task 1 - Error score,,,,124375605.0,ns,858
Day 10,Task 1 - Error score,,,,129014163.0,ns,880
Day 10,Task 1 - Error score,,,,130633218.0,ns,902
Day 10,Task 1 - Error score,,,,135024803.0,ns,924
Day 10,Task 1 - Error score,,,,137765426.0,ns,946
Day 10,Task 1 - Error score,,,,141582293.0,ns,968
Day 10,Task 1 - Error score,,,,145246890.0,ns,990
Day 10,Task 1 - Error score,,,,148927498.0,ns,1012
Day 10,Task 1 - Error score,,,,152377089.0,ns,1034
Day 10,Task 1 - Error score,,,,169247720.0,ns,1056
Day 10,Task 1 - Error score,,,,171992434.0,ns,1078
Day 10,Task 1 - Error score,,,,186062388.0,ns,1100
