group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 10,Task 2 - Completion score,,,,3248086.0,ns,20
Day 10,Task 2 - Completion score,,,,6554429.0,ns,40
Day 10,Task 2 - Completion score,,,,9685659.0,ns,60
Day 10,Task 2 - Completion score,,,,13082344.0,ns,80
Day 10,Task 2 - Completion score,,,,16305804.0,ns,100
Day 10,Task 2 - Completion score,,,,19656611.0,ns,120
Day 10,Task 2 - Completion score,,,,22727585.0,ns,140
Day 10,Task 2 - Completion score,,,,26569744.0,ns,160
Day 10,Task 2 - Completion score,,,,29784548.0,ns,180
Day 10,Task 2 - Completion score,,,,32499951.0,ns,200
Day 10,Task 2 - Completion score,,,,35882245.0,ns,220
Day 10,Task 2 - Completion score,,,,39930481.0,ns,240
Day 10,Task 2 - Completion score,,,,43067532.0,ns,260
Day 10,Task 2 - Completion score,,,,45869583.0,ns,280
Day 10,Task 2 - Completion score,,,,48849717.0,ns,300
Day 10,Task 2 - Completion score,,,,52715325.0,ns,320
Day 10,Task 2 - Completion score,,,,55413368.0,ns,340
Day 10,Task 2 - Completion score,,,,58823166.0,ns,360
Day 10,Task 2 - Completion score,,,,61999799.0,ns,380
Day 10,Task 2 - Completion score,,,,65474434.0,ns,400
Day 10,Task 2 - Completion score,,,,69294404.0,ns,420
Day 10,Task 2 - Completion score,,,,71763330.0,ns,440
Day 10,Task 2 - Completion score,,,,75049430.0,ns,460
Day 10,Task 2 - Completion score,,,,78876784.0,ns,480
Day 10,Task 2 - Completion score,,,,81818330.0,ns,500
Day 10,Task 2 - Completion score,,,,85999679.0,ns,520
Day 10,Task 2 - Completion score,,,,88069465.0,ns,540
Day 10,Task 2 - Completion score,,,,92026394.0,ns,560
Day 10,Task 2 - Completion score,,,,94971630.0,ns,580
Day 10,Task 2 - Completion score,,,,98061205.0,ns,600
Day 10,Task 2 - Completion score,,,,101238771.0,ns,620
Day 10,Task 2 - Completion score,,,,105706454.0,ns,640
Day 10,Task 2 - Completion score,,,,107985578.0,ns,660
Day 10,Task 2 - Completion score,,,,111377674.0,ns,680
Day 10,Task 2 - Completion score,,,,114489240.0,ns,700
Day 10,Task 2 - Completion score,,,,118296918.0,ns,720
Day 10,Task 2 - Completion score,,,,122591774.0,ns,740
Day 10,Task 2 - Completion score,,,,124437786.0,ns,760
Day 10,Task 2 - Completion score,,,,127149922.0,ns,780
Day 10,Task 2 - Completion score,,,,130554404.0,ns,800
Day 10,Task 2 - Completion score,,,,134535648.0,ns,820
Day 10,Task 2 - Completion score,,,,141198626.0,ns,840
Day 10,Task 2 - Completion score,,,,142053210.0,ns,860
Day 10,Task 2 - Completion score,,,,144537175.0,ns,880
Day 10,Task 2 - Completion score,,,,148252567.0,ns,900
Day 10,Task 2 - Completion score,,,,150420178.0,ns,920
Day 10,Task 2 - Completion score,,,,155937197.0,ns,940
Day 10,Task 2 - Completion score,,,,157357465.0,ns,960
Day 10,Task 2 - Completion score,,,,160667385.0,ns,980
Day 10,Task 2 - Completion score,,,,163780913.0,ns,1000
