group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 10,Task 2 - Completion score,,,,3328720.0,ns,19
Day 10,Task 2 - Completion score,,,,6341696.0,ns,38
Day 10,Task 2 - Completion score,,,,9391718.0,ns,57
Day 10,Task 2 - Completion score,,,,12586749.0,ns,76
Day 10,Task 2 - Completion score,,,,15777433.0,ns,95
Day 10,Task 2 - Completion score,,,,18855166.0,ns,114
Day 10,Task 2 - Completion score,,,,22160461.0,ns,133
Day 10,Task 2 - Completion score,,,,25171945.0,ns,152
Day 10,Task 2 - Completion score,,,,28391793.0,ns,171
Day 10,Task 2 - Completion score,,,,31438882.0,ns,190
Day 10,Task 2 - Completion score,,,,34749619.0,ns,209
Day 10,Task 2 - Completion score,,,,37898274.0,ns,228
Day 10,Task 2 - Completion score,,,,41006959.0,ns,247
Day 10,Task 2 - Completion score,,,,44263762.0,ns,266
Day 10,Task 2 - Completion score,,,,46988474.0,ns,285
Day 10,Task 2 - Completion score,,,,50670840.0,ns,304
Day 10,Task 2 - Completion score,,,,53857347.0,ns,323
Day 10,Task 2 - Completion score,,,,57043868.0,ns,342
Day 10,Task 2 - Completion score,,,,59825451.0,ns,361
Day 10,Task 2 - Completion score,,,,62979567.0,ns,380
Day 10,Task 2 - Completion score,,,,67427720.0,ns,399
Day 10,Task 2 - Completion score,,,,69263279.0,ns,418
Day 10,Task 2 - Completion score,,,,72587662.0,ns,437
Day 10,Task 2 - Completion score,,,,75552742.0,ns,456
Day 10,Task 2 - Completion score,,,,78884811.0,ns,475
Day 10,Task 2 - Completion score,,,,81817345.0,ns,494
Day 10,Task 2 - Completion score,,,,85236786.0,ns,513
Day 10,Task 2 - Completion score,,,,88175342.0,ns,532
Day 10,Task 2 - Completion score,,,,91955246.0,ns,551
Day 10,Task 2 - Completion score,,,,94858616.0,ns,570
Day 10,Task 2 - Completion score,,,,98508060.0,ns,589
Day 10,Task 2 - Completion score,,,,100820704.0,ns,608
Day 10,Task 2 - Completion score,,,,104536149.0,ns,627
Day 10,Task 2 - Completion score,,,,108019398.0,ns,646
Day 10,Task 2 - Completion score,,,,114644419.0,ns,665
Day 10,Task 2 - Completion score,,,,114316043.0,ns,684
Day 10,Task 2 - Completion score,,,,116816337.0,ns,703
Day 10,Task 2 - Completion score,,,,120061290.0,ns,722
Day 10,Task 2 - Completion score,,,,124780044.0,ns,741
Day 10,Task 2 - Completion score,,,,127001425.0,ns,760
Day 10,Task 2 - Completion score,,,,130889362.0,ns,779
Day 10,Task 2 - Completion score,,,,132108120.0,ns,798
Day 10,Task 2 - Completion score,,,,135365226.0,ns,817
Day 10,Task 2 - Completion score,,,,138640763.0,ns,836
Day 10,Task 2 - Completion score,,,,141821375.0,ns,855
Day 10,Task 2 - Completion score,,,,144681964.0,ns,874
Day 10,Task 2 - Completion score,,,,148675078.0,ns,893
Day 10,Task 2 - Completion score,,,,152478182.0,ns,912
Day 10,Task 2 - Completion score,,,,154513824.0,ns,931
Day 10,Task 2 - Completion score,,,,157228223.0,ns,950
