group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 11,Task 1 - Amount of flashes after 100 steps,,,,3353230.0,ns,3
Day 11,Task 1 - Amount of flashes after 100 steps,,,,6676399.0,ns,6
Day 11,Task 1 - Amount of flashes after 100 steps,,,,9825545.0,ns,9
Day 11,Task 1 - Amount of flashes after 100 steps,,,,13184267.0,ns,12
Day 11,Task 1 - Amount of flashes after 100 steps,,,,16633698.0,ns,15
Day 11,Task 1 - Amount of flashes after 100 steps,,,,19772350.0,ns,18
Day 11,Task 1 - Amount of flashes after 100 steps,,,,23062164.0,ns,21
Day 11,Task 1 - Amount of flashes after 100 steps,,,,26345133.0,ns,24
Day 11,Task 1 - Amount of flashes after 100 steps,,,,29923846.0,ns,27
Day 11,Task 1 - Amount of flashes after 100 steps,,,,33008123.0,ns,30
Day 11,Task 1 - Amount of flashes after 100 steps,,,,36334088.0,ns,33
Day 11,Task 1 - Amount of flashes after 100 steps,,,,39596351.0,ns,36
Day 11,Task 1 - Amount of flashes after 100 steps,,,,42900626.0,ns,39
Day 11,Task 1 - Amount of flashes after 100 steps,,,,46300810.0,ns,42
Day 11,Task 1 - Amount of flashes after 100 steps,,,,61801605.0,ns,45
Day 11,Task 1 - Amount of flashes after 100 steps,,,,53608611.0,ns,48
Day 11,Task 1 - Amount of flashes after 100 steps,,,,56803510.0,ns,51
Day 11,Task 1 - Amount of flashes after 100 steps,,,,65552260.0,ns,54
Day 11,Task 1 - Amount of flashes after 100 steps,,,,68130706.0,ns,57
Day 11,Task 1 - Amount of flashes after 100 steps,,,,66251021.0,ns,60
Day 11,Task 1 - Amount of flashes after 100 steps,,,,69505194.0,ns,63
Day 11,Task 1 - Amount of flashes after 100 steps,,,,74174898.0,ns,66
Day 11,Task 1 - Amount of flashes after 100 steps,,,,75880479.0,ns,69
Day 11,Task 1 - Amount of flashes after 100 steps,,,,79268126.0,ns,72
Day 11,Task 1 - Amount of flashes after 100 steps,,,,82770601.0,ns,75
Day 11,Task 1 - Amount of flashes after 100 steps,,,,86058578.0,ns,78
Day 11,Task 1 - Amount of flashes after 100 steps,,,,89123570.0,ns,81
Day 11,Task 1 - Amount of flashes after 100 steps,,,,92383114.0,ns,84
Day 11,Task 1 - Amount of flashes after 100 steps,,,,96097821.0,ns,87
Day 11,Task 1 - Amount of flashes after 100 steps,,,,99502160.0,ns,90
Day 11,Task 1 - Amount of flashes after 100 steps,,,,102239700.0,ns,93
Day 11,Task 1 - Amount of flashes after 100 steps,,,,105839792.0,ns,96
Day 11,Task 1 - Amount of flashes after 100 steps,,,,109784355.0,ns,99
Day 11,Task 1 - Amount of flashes after 100 steps,,,,112636463.0,ns,102
Day 11,Task 1 - Amount of flashes after 100 steps,,,,115516494.0,ns,105
Day 11,Task 1 - Amount of flashes after 100 steps,,,,119312561.0,ns,108
Day 11,Task 1 - Amount of flashes after 100 steps,,,,123149280.0,ns,111
Day 11,Task 1 - Amount of flashes after 100 steps,,,,125661710.0,ns,114
Day 11,Task 1 - Amount of flashes after 100 steps,,,,128769802.0,ns,117
Day 11,Task 1 - Amount of flashes after 100 steps,,,,132056654.0,ns,120
Day 11,Task 1 - Amount of flashes after 100 steps,,,,135614013.0,ns,123
Day 11,Task 1 - Amount of flashes after 100 steps,,,,138546249.0,ns,126
Day 11,Task 1 - Amount of flashes after 100 steps,,,,142268132.0,ns,129
Day 11,Task 1 - Amount of flashes after 100 steps,,,,146401857.0,ns,132
Day 11,Task 1 - Amount of flashes after 100 steps,,,,148582822.0,ns,135
Day 11,Task 1 - Amount of flashes after 100 steps,,,,151560146.0,ns,138
Day 11,Task 1 - Amount of flashes after 100 steps,,,,155872689.0,ns,141
Day 11,Task 1 - Amount of flashes after 100 steps,,,,159144135.0,ns,144
Day 11,Task 1 - Amount of flashes after 100 steps,,,,161439258.0,ns,147
Day 11,Task 1 - Amount of flashes after 100 steps,,,,164608725.0,ns,150
