group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 11,Task 1 - Amount of flashes after 100 steps,,,,3316095.0,ns,3
Day 11,Task 1 - Amount of flashes after 100 steps,,,,6461704.0,ns,6
Day 11,Task 1 - Amount of flashes after 100 steps,,,,9715859.0,ns,9
Day 11,Task 1 - Amount of flashes after 100 steps,,,,13013663.0,ns,12
Day 11,Task 1 - Amount of flashes after 100 steps,,,,16365594.0,ns,15
Day 11,Task 1 - Amount of flashes after 100 steps,,,,19591462.0,ns,18
Day 11,Task 1 - Amount of flashes after 100 steps,,,,22745439.0,ns,21
Day 11,Task 1 - Amount of flashes after 100 steps,,,,26067643.0,ns,24
Day 11,Task 1 - Amount of flashes after 100 steps,,,,29331770.0,ns,27
Day 11,Task 1 - Amount of flashes after 100 steps,,,,32491970.0,ns,30
Day 11,Task 1 - Amount of flashes after 100 steps,,,,35830501.0,ns,33
Day 11,Task 1 - Amount of flashes after 100 steps,,,,39024744.0,ns,36
Day 11,Task 1 - Amount of flashes after 100 steps,,,,45011539.0,ns,39
Day 11,Task 1 - Amount of flashes after 100 steps,,,,46778542.0,ns,42
Day 11,Task 1 - Amount of flashes after 100 steps,,,,49132338.0,ns,45
Day 11,Task 1 - Amount of flashes after 100 steps,,,,52155454.0,ns,48
Day 11,Task 1 - Amount of flashes after 100 steps,,,,55272233.0,ns,51
Day 11,Task 1 - Amount of flashes after 100 steps,,,,58553321.0,ns,54
Day 11,Task 1 - Amount of flashes after 100 steps,,,,62190401.0,ns,57
Day 11,Task 1 - Amount of flashes after 100 steps,,,,65198089.0,ns,60
Day 11,Task 1 - Amount of flashes after 100 steps,,,,68376276.0,ns,63
Day 11,Task 1 - Amount of flashes after 100 steps,,,,71624035.0,ns,66
Day 11,Task 1 - Amount of flashes after 100 steps,,,,75114584.0,ns,69
Day 11,Task 1 - Amount of flashes after 100 steps,,,,79262292.0,ns,72
Day 11,Task 1 - Amount of flashes after 100 steps,,,,82247140.0,ns,75
Day 11,Task 1 - Amount of flashes after 100 steps,,,,84867716.0,ns,78
Day 11,Task 1 - Amount of flashes after 100 steps,,,,88021798.0,ns,81
Day 11,Task 1 - Amount of flashes after 100 steps,,,,90990475.0,ns,84
Day 11,Task 1 - Amount of flashes after 100 steps,,,,94613669.0,ns,87
Day 11,Task 1 - Amount of flashes after 100 steps,,,,97604968.0,ns,90
Day 11,Task 1 - Amount of flashes after 100 steps,,,,100960389.0,ns,93
Day 11,Task 1 - Amount of flashes after 100 steps,,,,104095949.0,ns,96
Day 11,Task 1 - Amount of flashes after 100 steps,,,,107855587.0,ns,99
Day 11,Task 1 - Amount of flashes after 100 steps,,,,118782857.0,ns,102
Day 11,Task 1 - Amount of flashes after 100 steps,,,,121201439.0,ns,105
Day 11,Task 1 - Amount of flashes after 100 steps,,,,121864904.0,ns,108
Day 11,Task 1 - Amount of flashes after 100 steps,,,,120484543.0,ns,111
Day 11,Task 1 - Amount of flashes after 100 steps,,,,124772437.0,ns,114
Day 11,Task 1 - Amount of flashes after 100 steps,,,,127619271.0,ns,117
Day 11,Task 1 - Amount of flashes after 100 steps,,,,130278609.0,ns,120
Day 11,Task 1 - Amount of flashes after 100 steps,,,,133374156.0,ns,123
Day 11,Task 1 - Amount of flashes after 100 steps,,,,137297755.0,ns,126
Day 11,Task 1 - Amount of flashes after 100 steps,,,,140313470.0,ns,129
Day 11,Task 1 - Amount of flashes after 100 steps,,,,143237719.0,ns,132
Day 11,Task 1 - Amount of flashes after 100 steps,,,,146219762.0,ns,135
Day 11,Task 1 - Amount of flashes after 100 steps,,,,149668296.0,ns,138
Day 11,Task 1 - Amount of flashes after 100 steps,,,,153815592.0,ns,141
Day 11,Task 1 - Amount of flashes after 100 steps,,,,157035701.0,ns,144
Day 11,Task 1 - Amount of flashes after 100 steps,,,,160561989.0,ns,147
Day 11,Task 1 - Amount of flashes after 100 steps,,,,162668478.0,ns,150
