group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 11,Task 2 - Amount of steps until synchronization,,,,5431709.0,ns,2
Day 11,Task 2 - Amount of steps until synchronization,,,,10649348.0,ns,4
Day 11,Task 2 - Amount of steps until synchronization,,,,16138311.0,ns,6
Day 11,Task 2 - Amount of steps until synchronization,,,,21447656.0,ns,8
Day 11,Task 2 - Amount of steps until synchronization,,,,27313390.0,ns,10
Day 11,Task 2 - Amount of steps until synchronization,,,,32647551.0,ns,12
Day 11,Task 2 - Amount of steps until synchronization,,,,37376723.0,ns,14
Day 11,Task 2 - Amount of steps until synchronization,,,,42702198.0,ns,16
Day 11,Task 2 - Amount of steps until synchronization,,,,48068669.0,ns,18
Day 11,Task 2 - Amount of steps until synchronization,,,,53437202.0,ns,20
Day 11,Task 2 - Amount of steps until synchronization,,,,58142886.0,ns,22
Day 11,Task 2 - Amount of steps until synchronization,,,,63574485.0,ns,24
Day 11,Task 2 - Amount of steps until synchronization,,,,69259966.0,ns,26
Day 11,Task 2 - Amount of steps until synchronization,,,,75106598.0,ns,28
Day 11,Task 2 - Amount of steps until synchronization,,,,80066576.0,ns,30
Day 11,Task 2 - Amount of steps until synchronization,,,,85198621.0,ns,32
Day 11,Task 2 - Amount of steps until synchronization,,,,91169752.0,ns,34
Day 11,Task 2 - Amount of steps until synchronization,,,,95717911.0,ns,36
Day 11,Task 2 - Amount of steps until synchronization,,,,100471195.0,ns,38
Day 11,Task 2 - Amount of steps until synchronization,,,,107676830.0,ns,40
Day 11,Task 2 - Amount of steps until synchronization,,,,112399375.0,ns,42
Day 11,Task 2 - Amount of steps until synchronization,,,,116891081.0,ns,44
Day 11,Task 2 - Amount of steps until synchronization,,,,122682461.0,ns,46
Day 11,Task 2 - Amount of steps until synchronization,,,,128731999.0,ns,48
Day 11,Task 2 - Amount of steps until synchronization,,,,133866692.0,ns,50
Day 11,Task 2 - Amount of steps until synchronization,,,,140309551.0,ns,52
Day 11,Task 2 - Amount of steps until synchronization,,,,143703202.0,ns,54
Day 11,Task 2 - Amount of steps until synchronization,,,,150379469.0,ns,56
Day 11,Task 2 - Amount of steps until synchronization,,,,154618469.0,ns,58
Day 11,Task 2 - Amount of steps until synchronization,,,,162534448.0,ns,60
Day 11,Task 2 - Amount of steps until synchronization,,,,165243938.0,ns,62
Day 11,Task 2 - Amount of steps until synchronization,,,,170109095.0,ns,64
Day 11,Task 2 - Amount of steps until synchronization,,,,177011638.0,ns,66
Day 11,Task 2 - Amount of steps until synchronization,,,,183179121.0,ns,68
Day 11,Task 2 - Amount of steps until synchronization,,,,186378320.0,ns,70
Day 11,Task 2 - Amount of steps until synchronization,,,,195323162.0,ns,72
Day 11,Task 2 - Amount of steps until synchronization,,,,197011532.0,ns,74
Day 11,Task 2 - Amount of steps until synchronization,,,,203454960.0,ns,76
Day 11,Task 2 - Amount of steps until synchronization,,,,209127871.0,ns,78
Day 11,Task 2 - Amount of steps until synchronization,,,,213912828.0,ns,80
Day 11,Task 2 - Amount of steps until synchronization,,,,219476460.0,ns,82
Day 11,Task 2 - Amount of steps until synchronization,,,,223746814.0,ns,84
Day 11,Task 2 - Amount of steps until synchronization,,,,228073204.0,ns,86
Day 11,Task 2 - Amount of steps until synchronization,,,,232683640.0,ns,88
Day 11,Task 2 - Amount of steps until synchronization,,,,239781935.0,ns,90
Day 11,Task 2 - Amount of steps until synchronization,,,,244333728.0,ns,92
Day 11,Task 2 - Amount of steps until synchronization,,,,250071486.0,ns,94
Day 11,Task 2 - Amount of steps until synchronization,,,,265197541.0,ns,96
Day 11,Task 2 - Amount of steps until synchronization,,,,272857724.0,ns,98
Day 11,Task 2 - Amount of steps until synchronization,,,,266663923.0,ns,100
