group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 11,Task 2 - Amount of steps until synchronization,,,,5298153.0,ns,2
Day 11,Task 2 - Amount of steps until synchronization,,,,10701111.0,ns,4
Day 11,Task 2 - Amount of steps until synchronization,,,,15833412.0,ns,6
Day 11,Task 2 - Amount of steps until synchronization,,,,21199024.0,ns,8
Day 11,Task 2 - Amount of steps until synchronization,,,,26399612.0,ns,10
Day 11,Task 2 - Amount of steps until synchronization,,,,31617718.0,ns,12
Day 11,Task 2 - Amount of steps until synchronization,,,,37023739.0,ns,14
Day 11,Task 2 - Amount of steps until synchronization,,,,42234327.0,ns,16
Day 11,Task 2 - Amount of steps until synchronization,,,,47617397.0,ns,18
Day 11,Task 2 - Amount of steps until synchronization,,,,52806609.0,ns,20
Day 11,Task 2 - Amount of steps until synchronization,,,,58141563.0,ns,22
Day 11,Task 2 - Amount of steps until synchronization,,,,63233311.0,ns,24
Day 11,Task 2 - Amount of steps until synchronization,,,,68725706.0,ns,26
Day 11,Task 2 - Amount of steps until synchronization,,,,74141868.0,ns,28
Day 11,Task 2 - Amount of steps until synchronization,,,,79005165.0,ns,30
Day 11,Task 2 - Amount of steps until synchronization,,,,84986915.0,ns,32
Day 11,Task 2 - Amount of steps until synchronization,,,,89839018.0,ns,34
Day 11,Task 2 - Amount of steps until synchronization,,,,95007928.0,ns,36
Day 11,Task 2 - Amount of steps until synchronization,,,,101700601.0,ns,38
Day 11,Task 2 - Amount of steps until synchronization,,,,105538345.0,ns,40
Day 11,Task 2 - Amount of steps until synchronization,,,,111438248.0,ns,42
Day 11,Task 2 - Amount of steps until synchronization,,,,119185771.0,ns,44
Day 11,Task 2 - Amount of steps until synchronization,,,,122513355.0,ns,46
Day 11,Task 2 - Amount of steps until synchronization,,,,127311404.0,ns,48
Day 11,Task 2 - Amount of steps until synchronization,,,,131927840.0,ns,50
Day 11,Task 2 - Amount of steps until synchronization,,,,137669852.0,ns,52
Day 11,Task 2 - Amount of steps until synchronization,,,,142910379.0,ns,54
Day 11,Task 2 - Amount of steps until synchronization,,,,148147995.0,ns,56
Day 11,Task 2 - Amount of steps until synchronization,,,,153671785.0,ns,58
Day 11,Task 2 - Amount of steps until synchronization,,,,158288019.0,ns,60
Day 11,Task 2 - Amount of steps until synchronization,,,,163478087.0,ns,62
Day 11,Task 2 - Amount of steps until synchronization,,,,168793044.0,ns,64
Day 11,Task 2 - Amount of steps until synchronization,,,,175075709.0,ns,66
Day 11,Task 2 - Amount of steps until synchronization,,,,180167332.0,ns,68
Day 11,Task 2 - Amount of steps until synchronization,,,,185807361.0,ns,70
Day 11,Task 2 - Amount of steps until synchronization,,,,190317378.0,ns,72
Day 11,Task 2 - Amount of steps until synchronization,,,,195063083.0,ns,74
Day 11,Task 2 - Amount of steps until synchronization,,,,201146667.0,ns,76
Day 11,Task 2 - Amount of steps until synchronization,,,,206993530.0,ns,78
Day 11,Task 2 - Amount of steps until synchronization,,,,211696211.0,ns,80
Day 11,Task 2 - Amount of steps until synchronization,,,,217826243.0,ns,82
Day 11,Task 2 - Amount of steps until synchronization,,,,221576281.0,ns,84
Day 11,Task 2 - Amount of steps until synchronization,,,,227539795.0,ns,86
Day 11,Task 2 - Amount of steps until synchronization,,,,232811087.0,ns,88
Day 11,Task 2 - Amount of steps until synchronization,,,,238594273.0,ns,90
Day 11,Task 2 - Amount of steps until synchronization,,,,243556818.0,ns,92
Day 11,Task 2 - Amount of steps until synchronization,,,,250808225.0,ns,94
Day 11,Task 2 - Amount of steps until synchronization,,,,254108216.0,ns,96
Day 11,Task 2 - Amount of steps until synchronization,,,,276747728.0,ns,98
Day 11,Task 2 - Amount of steps until synchronization,,,,325002950.0,ns,100
