group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 12,Task 1 - Amount of paths,,,,5553794.0,ns,1
Day 12,Task 1 - Amount of paths,,,,11016211.0,ns,2
Day 12,Task 1 - Amount of paths,,,,16475381.0,ns,3
Day 12,Task 1 - Amount of paths,,,,22049340.0,ns,4
Day 12,Task 1 - Amount of paths,,,,27541233.0,ns,5
Day 12,Task 1 - Amount of paths,,,,32887810.0,ns,6
Day 12,Task 1 - Amount of paths,,,,38353103.0,ns,7
Day 12,Task 1 - Amount of paths,,,,44156598.0,ns,8
Day 12,Task 1 - Amount of paths,,,,49442731.0,ns,9
Day 12,Task 1 - Amount of paths,,,,54918476.0,ns,10
Day 12,Task 1 - Amount of paths,,,,60340018.0,ns,11
Day 12,Task 1 - Amount of paths,,,,66346035.0,ns,12
Day 12,Task 1 - Amount of paths,,,,71477663.0,ns,13
Day 12,Task 1 - Amount of paths,,,,76994024.0,ns,14
Day 12,Task 1 - Amount of paths,,,,82558215.0,ns,15
Day 12,Task 1 - Amount of paths,,,,88382346.0,ns,16
Day 12,Task 1 - Amount of paths,,,,93450922.0,ns,17
Day 12,Task 1 - Amount of paths,,,,99026651.0,ns,18
Day 12,Task 1 - Amount of paths,,,,104503919.0,ns,19
Day 12,Task 1 - Amount of paths,,,,109704454.0,ns,20
Day 12,Task 1 - Amount of paths,,,,115521714.0,ns,21
Day 12,Task 1 - Amount of paths,,,,121608392.0,ns,22
Day 12,Task 1 - Amount of paths,,,,126738951.0,ns,23
Day 12,Task 1 - Amount of paths,,,,131976681.0,ns,24
Day 12,Task 1 - Amount of paths,,,,137473037.0,ns,25
Day 12,Task 1 - Amount of paths,,,,143837584.0,ns,26
Day 12,Task 1 - Amount of paths,,,,148448138.0,ns,27
Day 12,Task 1 - Amount of paths,,,,153947687.0,ns,28
Day 12,Task 1 - Amount of paths,,,,159488670.0,ns,29
Day 12,Task 1 - Amount of paths,,,,165105316.0,ns,30
Day 12,Task 1 - Amount of paths,,,,170413910.0,ns,31
Day 12,Task 1 - Amount of paths,,,,175928629.0,ns,32
Day 12,Task 1 - Amount of paths,,,,181515172.0,ns,33
Day 12,Task 1 - Amount of paths,,,,187022334.0,ns,34
Day 12,Task 1 - Amount of paths,,,,192744025.0,ns,35
Day 12,Task 1 - Amount of paths,,,,198418568.0,ns,36
Day 12,Task 1 - Amount of paths,,,,204045287.0,ns,37
Day 12,Task 1 - Amount of paths,,,,209607979.0,ns,38
Day 12,Task 1 - Amount of paths,,,,215360251.0,ns,39
Day 12,Task 1 - Amount of paths,,,,219684032.0,ns,40
Day 12,Task 1 - Amount of paths,,,,226048716.0,ns,41
Day 12,Task 1 - Amount of paths,,,,238907320.0,ns,42
Day 12,Task 1 - Amount of paths,,,,246318649.0,ns,43
Day 12,Task 1 - Amount of paths,,,,244236695.0,ns,44
Day 12,Task 1 - Amount of paths,,,,247891743.0,ns,45
Day 12,Task 1 - Amount of paths,,,,252608000.0,ns,46
Day 12,Task 1 - Amount of paths,,,,258500353.0,ns,47
Day 12,Task 1 - Amount of paths,,,,264934856.0,ns,48
Day 12,Task 1 - Amount of paths,,,,270100997.0,ns,49
Day 12,Task 1 - Amount of paths,,,,275334263.0,ns,50
