group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 12,Task 1 - Amount of paths,,,,5531485.0,ns,1
Day 12,Task 1 - Amount of paths,,,,10966278.0,ns,2
Day 12,Task 1 - Amount of paths,,,,16534933.0,ns,3
Day 12,Task 1 - Amount of paths,,,,22122887.0,ns,4
Day 12,Task 1 - Amount of paths,,,,27765189.0,ns,5
Day 12,Task 1 - Amount of paths,,,,32999281.0,ns,6
Day 12,Task 1 - Amount of paths,,,,38745408.0,ns,7
Day 12,Task 1 - Amount of paths,,,,43942194.0,ns,8
Day 12,Task 1 - Amount of paths,,,,49526175.0,ns,9
Day 12,Task 1 - Amount of paths,,,,55023779.0,ns,10
Day 12,Task 1 - Amount of paths,,,,60519763.0,ns,11
Day 12,Task 1 - Amount of paths,,,,65931645.0,ns,12
Day 12,Task 1 - Amount of paths,,,,71611601.0,ns,13
Day 12,Task 1 - Amount of paths,,,,77537976.0,ns,14
Day 12,Task 1 - Amount of paths,,,,82659157.0,ns,15
Day 12,Task 1 - Amount of paths,,,,87867978.0,ns,16
Day 12,Task 1 - Amount of paths,,,,96691613.0,ns,17
Day 12,Task 1 - Amount of paths,,,,99111807.0,ns,18
Day 12,Task 1 - Amount of paths,,,,105109909.0,ns,19
Day 12,Task 1 - Amount of paths,,,,110377003.0,ns,20
Day 12,Task 1 - Amount of paths,,,,115412029.0,ns,21
Day 12,Task 1 - Amount of paths,,,,121697828.0,ns,22
Day 12,Task 1 - Amount of paths,,,,127395249.0,ns,23
Day 12,Task 1 - Amount of paths,,,,132510209.0,ns,24
Day 12,Task 1 - Amount of paths,,,,137523181.0,ns,25
Day 12,Task 1 - Amount of paths,,,,143937616.0,ns,26
Day 12,Task 1 - Amount of paths,,,,149331539.0,ns,27
Day 12,Task 1 - Amount of paths,,,,154461754.0,ns,28
Day 12,Task 1 - Amount of paths,,,,159733936.0,ns,29
Day 12,Task 1 - Amount of paths,,,,165570698.0,ns,30
Day 12,Task 1 - Amount of paths,,,,170745552.0,ns,31
Day 12,Task 1 - Amount of paths,,,,176097416.0,ns,32
Day 12,Task 1 - Amount of paths,,,,182907797.0,ns,33
Day 12,Task 1 - Amount of paths,,,,187466491.0,ns,34
Day 12,Task 1 - Amount of paths,,,,193003293.0,ns,35
Day 12,Task 1 - Amount of paths,,,,198398759.0,ns,36
Day 12,Task 1 - Amount of paths,,,,203642741.0,ns,37
Day 12,Task 1 - Amount of paths,,,,210258317.0,ns,38
Day 12,Task 1 - Amount of paths,,,,215354310.0,ns,39
Day 12,Task 1 - Amount of paths,,,,229696075.0,ns,40
Day 12,Task 1 - Amount of paths,,,,236789463.0,ns,41
Day 12,Task 1 - Amount of paths,,,,232589432.0,ns,42
Day 12,Task 1 - Amount of paths,,,,237229057.0,ns,43
Day 12,Task 1 - Amount of paths,,,,242740531.0,ns,44
Day 12,Task 1 - Amount of paths,,,,247853967.0,ns,45
Day 12,Task 1 - Amount of paths,,,,254896155.0,ns,46
Day 12,Task 1 - Amount of paths,,,,259536637.0,ns,47
Day 12,Task 1 - Amount of paths,,,,265020224.0,ns,48
Day 12,Task 1 - Amount of paths,,,,270258616.0,ns,49
Day 12,Task 1 - Amount of paths,,,,276684305.0,ns,50
