group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 12,Task 2 - Amount of paths with repetitions,,,,163826987.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164005449.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164660073.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,166421280.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164200275.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165013800.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164013521.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165447093.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,166164510.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165329054.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165214150.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,167901983.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,166748019.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165124051.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,166202479.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164659176.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,167847661.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,167825844.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,168297525.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,166781473.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,166616494.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,168329522.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165627807.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,166270126.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164850467.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165042308.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165398030.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165774884.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,166366889.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,166603343.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165741389.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164313313.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165825716.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165870037.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164318167.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165185302.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164351722.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165919300.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164923100.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164545376.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164393044.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,174950545.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,178140484.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164741854.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165880692.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164149785.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164073074.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163999040.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164148469.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163906900.0,ns,1
