group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 12,Task 2 - Amount of paths with repetitions,,,,162437361.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163699961.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163156573.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163841867.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,165285389.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,167287334.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164325268.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163170832.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164865100.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164115380.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163890703.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163864674.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,162195584.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163034576.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164744012.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163870220.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,162873410.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,171996194.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,173355240.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163319935.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164055772.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,162374333.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,162685091.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163726604.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163563921.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163218047.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163320729.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164066562.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,162943018.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163197285.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163869275.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163623102.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163483241.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163463992.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,162340836.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164798764.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163219010.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163509435.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163767262.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163339755.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,162717399.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163864006.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163831554.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163269256.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163086193.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163593683.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163266800.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,163967918.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,164496760.0,ns,1
Day 12,Task 2 - Amount of paths with repetitions,,,,167768575.0,ns,1
