group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 13,Task 1 - Amount of dots after first fold,,,,3199377.0,ns,14
Day 13,Task 1 - Amount of dots after first fold,,,,6406059.0,ns,28
Day 13,Task 1 - Amount of dots after first fold,,,,9572253.0,ns,42
Day 13,Task 1 - Amount of dots after first fold,,,,12798899.0,ns,56
Day 13,Task 1 - Amount of dots after first fold,,,,16020126.0,ns,70
Day 13,Task 1 - Amount of dots after first fold,,,,19240553.0,ns,84
Day 13,Task 1 - Amount of dots after first fold,,,,22356842.0,ns,98
Day 13,Task 1 - Amount of dots after first fold,,,,25821412.0,ns,112
Day 13,Task 1 - Amount of dots after first fold,,,,28806174.0,ns,126
Day 13,Task 1 - Amount of dots after first fold,,,,31998403.0,ns,140
Day 13,Task 1 - Amount of dots after first fold,,,,35626510.0,ns,154
Day 13,Task 1 - Amount of dots after first fold,,,,38605179.0,ns,168
Day 13,Task 1 - Amount of dots after first fold,,,,41457304.0,ns,182
Day 13,Task 1 - Amount of dots after first fold,,,,44779904.0,ns,196
Day 13,Task 1 - Amount of dots after first fold,,,,48224669.0,ns,210
Day 13,Task 1 - Amount of dots after first fold,,,,51081644.0,ns,224
Day 13,Task 1 - Amount of dots after first fold,,,,54413803.0,ns,238
Day 13,Task 1 - Amount of dots after first fold,,,,58864858.0,ns,252
Day 13,Task 1 - Amount of dots after first fold,,,,61798133.0,ns,266
Day 13,Task 1 - Amount of dots after first fold,,,,63988610.0,ns,280
Day 13,Task 1 - Amount of dots after first fold,,,,67973794.0,ns,294
Day 13,Task 1 - Amount of dots after first fold,,,,71626172.0,ns,308
Day 13,Task 1 - Amount of dots after first fold,,,,73405508.0,ns,322
Day 13,Task 1 - Amount of dots after first fold,,,,77248345.0,ns,336
Day 13,Task 1 - Amount of dots after first fold,,,,80516645.0,ns,350
Day 13,Task 1 - Amount of dots after first fold,,,,86871572.0,ns,364
Day 13,Task 1 - Amount of dots after first fold,,,,87023125.0,ns,378
Day 13,Task 1 - Amount of dots after first fold,,,,90455042.0,ns,392
Day 13,Task 1 - Amount of dots after first fold,,,,94012060.0,ns,406
Day 13,Task 1 - Amount of dots after first fold,,,,96072725.0,ns,420
Day 13,Task 1 - Amount of dots after first fold,,,,100358562.0,ns,434
Day 13,Task 1 - Amount of dots after first fold,,,,103032780.0,ns,448
Day 13,Task 1 - Amount of dots after first fold,,,,106265022.0,ns,462
Day 13,Task 1 - Amount of dots after first fold,,,,109516938.0,ns,476
Day 13,Task 1 - Amount of dots after first fold,,,,112175856.0,ns,490
Day 13,Task 1 - Amount of dots after first fold,,,,116698124.0,ns,504
Day 13,Task 1 - Amount of dots after first fold,,,,118847879.0,ns,518
Day 13,Task 1 - Amount of dots after first fold,,,,123702018.0,ns,532
Day 13,Task 1 - Amount of dots after first fold,,,,125804797.0,ns,546
Day 13,Task 1 - Amount of dots after first fold,,,,128687603.0,ns,560
Day 13,Task 1 - Amount of dots after first fold,,,,131623026.0,ns,574
Day 13,Task 1 - Amount of dots after first fold,,,,135651130.0,ns,588
Day 13,Task 1 - Amount of dots after first fold,,,,138612221.0,ns,602
Day 13,Task 1 - Amount of dots after first fold,,,,141804715.0,ns,616
Day 13,Task 1 - Amount of dots after first fold,,,,144783226.0,ns,630
Day 13,Task 1 - Amount of dots after first fold,,,,147844411.0,ns,644
Day 13,Task 1 - Amount of dots after first fold,,,,151801553.0,ns,658
Day 13,Task 1 - Amount of dots after first fold,,,,154049938.0,ns,672
Day 13,Task 1 - Amount of dots after first fold,,,,158404405.0,ns,686
Day 13,Task 1 - Amount of dots after first fold,,,,160924857.0,ns,700
