group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 13,Task 1 - Amount of dots after first fold,,,,3235361.0,ns,14
Day 13,Task 1 - Amount of dots after first fold,,,,6363472.0,ns,28
Day 13,Task 1 - Amount of dots after first fold,,,,9485602.0,ns,42
Day 13,Task 1 - Amount of dots after first fold,,,,12769263.0,ns,56
Day 13,Task 1 - Amount of dots after first fold,,,,16215841.0,ns,70
Day 13,Task 1 - Amount of dots after first fold,,,,19163324.0,ns,84
Day 13,Task 1 - Amount of dots after first fold,,,,22609678.0,ns,98
Day 13,Task 1 - Amount of dots after first fold,,,,25702903.0,ns,112
Day 13,Task 1 - Amount of dots after first fold,,,,28709449.0,ns,126
Day 13,Task 1 - Amount of dots after first fold,,,,31845081.0,ns,140
Day 13,Task 1 - Amount of dots after first fold,,,,35129527.0,ns,154
Day 13,Task 1 - Amount of dots after first fold,,,,38440408.0,ns,168
Day 13,Task 1 - Amount of dots after first fold,,,,41406668.0,ns,182
Day 13,Task 1 - Amount of dots after first fold,,,,45074450.0,ns,196
Day 13,Task 1 - Amount of dots after first fold,,,,48956856.0,ns,210
Day 13,Task 1 - Amount of dots after first fold,,,,51224848.0,ns,224
Day 13,Task 1 - Amount of dots after first fold,,,,55380664.0,ns,238
Day 13,Task 1 - Amount of dots after first fold,,,,57373148.0,ns,252
Day 13,Task 1 - Amount of dots after first fold,,,,60750584.0,ns,266
Day 13,Task 1 - Amount of dots after first fold,,,,64782130.0,ns,280
Day 13,Task 1 - Amount of dots after first fold,,,,67303544.0,ns,294
Day 13,Task 1 - Amount of dots after first fold,,,,70630720.0,ns,308
Day 13,Task 1 - Amount of dots after first fold,,,,74567709.0,ns,322
Day 13,Task 1 - Amount of dots after first fold,,,,77008179.0,ns,336
Day 13,Task 1 - Amount of dots after first fold,,,,79705786.0,ns,350
Day 13,Task 1 - Amount of dots after first fold,,,,83235112.0,ns,364
Day 13,Task 1 - Amount of dots after first fold,,,,86549616.0,ns,378
Day 13,Task 1 - Amount of dots after first fold,,,,89866492.0,ns,392
Day 13,Task 1 - Amount of dots after first fold,,,,94465005.0,ns,406
Day 13,Task 1 - Amount of dots after first fold,,,,96651225.0,ns,420
Day 13,Task 1 - Amount of dots after first fold,,,,99085341.0,ns,434
Day 13,Task 1 - Amount of dots after first fold,,,,102938142.0,ns,448
Day 13,Task 1 - Amount of dots after first fold,,,,105672244.0,ns,462
Day 13,Task 1 - Amount of dots after first fold,,,,109286728.0,ns,476
Day 13,Task 1 - Amount of dots after first fold,,,,111125037.0,ns,490
Day 13,Task 1 - Amount of dots after first fold,,,,115482112.0,ns,504
Day 13,Task 1 - Amount of dots after first fold,,,,118080078.0,ns,518
Day 13,Task 1 - Amount of dots after first fold,,,,122129564.0,ns,532
Day 13,Task 1 - Amount of dots after first fold,,,,125104729.0,ns,546
Day 13,Task 1 - Amount of dots after first fold,,,,128678785.0,ns,560
Day 13,Task 1 - Amount of dots after first fold,,,,132697760.0,ns,574
Day 13,Task 1 - Amount of dots after first fold,,,,134911466.0,ns,588
Day 13,Task 1 - Amount of dots after first fold,,,,138276721.0,ns,602
Day 13,Task 1 - Amount of dots after first fold,,,,140848556.0,ns,616
Day 13,Task 1 - Amount of dots after first fold,,,,144750703.0,ns,630
Day 13,Task 1 - Amount of dots after first fold,,,,149062141.0,ns,644
Day 13,Task 1 - Amount of dots after first fold,,,,150271637.0,ns,658
Day 13,Task 1 - Amount of dots after first fold,,,,157163075.0,ns,672
Day 13,Task 1 - Amount of dots after first fold,,,,159071428.0,ns,686
Day 13,Task 1 - Amount of dots after first fold,,,,161297724.0,ns,700
