group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 13,Task 2 - Generate code,,,,3277083.0,ns,8
Day 13,Task 2 - Generate code,,,,6524332.0,ns,16
Day 13,Task 2 - Generate code,,,,9776655.0,ns,24
Day 13,Task 2 - Generate code,,,,13089353.0,ns,32
Day 13,Task 2 - Generate code,,,,16416135.0,ns,40
Day 13,Task 2 - Generate code,,,,19486279.0,ns,48
Day 13,Task 2 - Generate code,,,,23211162.0,ns,56
Day 13,Task 2 - Generate code,,,,26048465.0,ns,64
Day 13,Task 2 - Generate code,,,,29496547.0,ns,72
Day 13,Task 2 - Generate code,,,,32594520.0,ns,80
Day 13,Task 2 - Generate code,,,,36014178.0,ns,88
Day 13,Task 2 - Generate code,,,,39235622.0,ns,96
Day 13,Task 2 - Generate code,,,,42534174.0,ns,104
Day 13,Task 2 - Generate code,,,,46638902.0,ns,112
Day 13,Task 2 - Generate code,,,,50937438.0,ns,120
Day 13,Task 2 - Generate code,,,,52409596.0,ns,128
Day 13,Task 2 - Generate code,,,,56153759.0,ns,136
Day 13,Task 2 - Generate code,,,,59188786.0,ns,144
Day 13,Task 2 - Generate code,,,,62150201.0,ns,152
Day 13,Task 2 - Generate code,,,,65482846.0,ns,160
Day 13,Task 2 - Generate code,,,,68613245.0,ns,168
Day 13,Task 2 - Generate code,,,,73139760.0,ns,176
Day 13,Task 2 - Generate code,,,,75974550.0,ns,184
Day 13,Task 2 - Generate code,,,,88642447.0,ns,192
Day 13,Task 2 - Generate code,,,,95535753.0,ns,200
Day 13,Task 2 - Generate code,,,,93544048.0,ns,208
Day 13,Task 2 - Generate code,,,,105106770.0,ns,216
Day 13,Task 2 - Generate code,,,,92055129.0,ns,224
Day 13,Task 2 - Generate code,,,,101009352.0,ns,232
Day 13,Task 2 - Generate code,,,,102355915.0,ns,240
Day 13,Task 2 - Generate code,,,,101350927.0,ns,248
Day 13,Task 2 - Generate code,,,,107122648.0,ns,256
Day 13,Task 2 - Generate code,,,,108092078.0,ns,264
Day 13,Task 2 - Generate code,,,,112043024.0,ns,272
Day 13,Task 2 - Generate code,,,,114754262.0,ns,280
Day 13,Task 2 - Generate code,,,,117912987.0,ns,288
Day 13,Task 2 - Generate code,,,,121360993.0,ns,296
Day 13,Task 2 - Generate code,,,,124833354.0,ns,304
Day 13,Task 2 - Generate code,,,,127558380.0,ns,312
Day 13,Task 2 - Generate code,,,,131159251.0,ns,320
Day 13,Task 2 - Generate code,,,,134951849.0,ns,328
Day 13,Task 2 - Generate code,,,,137641298.0,ns,336
Day 13,Task 2 - Generate code,,,,140838648.0,ns,344
Day 13,Task 2 - Generate code,,,,143880093.0,ns,352
Day 13,Task 2 - Generate code,,,,147673759.0,ns,360
Day 13,Task 2 - Generate code,,,,151341997.0,ns,368
Day 13,Task 2 - Generate code,,,,154376254.0,ns,376
Day 13,Task 2 - Generate code,,,,157783402.0,ns,384
Day 13,Task 2 - Generate code,,,,160488460.0,ns,392
Day 13,Task 2 - Generate code,,,,163575344.0,ns,400
