group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 13,Task 2 - Generate code,,,,3451963.0,ns,8
Day 13,Task 2 - Generate code,,,,6623418.0,ns,16
Day 13,Task 2 - Generate code,,,,9907876.0,ns,24
Day 13,Task 2 - Generate code,,,,13126304.0,ns,32
Day 13,Task 2 - Generate code,,,,16368519.0,ns,40
Day 13,Task 2 - Generate code,,,,19929037.0,ns,48
Day 13,Task 2 - Generate code,,,,23106473.0,ns,56
Day 13,Task 2 - Generate code,,,,27920642.0,ns,64
Day 13,Task 2 - Generate code,,,,35252571.0,ns,72
Day 13,Task 2 - Generate code,,,,32916240.0,ns,80
Day 13,Task 2 - Generate code,,,,36198079.0,ns,88
Day 13,Task 2 - Generate code,,,,41036593.0,ns,96
Day 13,Task 2 - Generate code,,,,47039505.0,ns,104
Day 13,Task 2 - Generate code,,,,46182185.0,ns,112
Day 13,Task 2 - Generate code,,,,53215382.0,ns,120
Day 13,Task 2 - Generate code,,,,52802105.0,ns,128
Day 13,Task 2 - Generate code,,,,55610737.0,ns,136
Day 13,Task 2 - Generate code,,,,59400118.0,ns,144
Day 13,Task 2 - Generate code,,,,62748417.0,ns,152
Day 13,Task 2 - Generate code,,,,67013504.0,ns,160
Day 13,Task 2 - Generate code,,,,68897789.0,ns,168
Day 13,Task 2 - Generate code,,,,72981138.0,ns,176
Day 13,Task 2 - Generate code,,,,76070207.0,ns,184
Day 13,Task 2 - Generate code,,,,78938660.0,ns,192
Day 13,Task 2 - Generate code,,,,82234282.0,ns,200
Day 13,Task 2 - Generate code,,,,86402196.0,ns,208
Day 13,Task 2 - Generate code,,,,88874307.0,ns,216
Day 13,Task 2 - Generate code,,,,92015002.0,ns,224
Day 13,Task 2 - Generate code,,,,95228489.0,ns,232
Day 13,Task 2 - Generate code,,,,98875318.0,ns,240
Day 13,Task 2 - Generate code,,,,105435360.0,ns,248
Day 13,Task 2 - Generate code,,,,105972280.0,ns,256
Day 13,Task 2 - Generate code,,,,108268241.0,ns,264
Day 13,Task 2 - Generate code,,,,111843483.0,ns,272
Day 13,Task 2 - Generate code,,,,114656536.0,ns,280
Day 13,Task 2 - Generate code,,,,117619293.0,ns,288
Day 13,Task 2 - Generate code,,,,120904867.0,ns,296
Day 13,Task 2 - Generate code,,,,124618500.0,ns,304
Day 13,Task 2 - Generate code,,,,128518413.0,ns,312
Day 13,Task 2 - Generate code,,,,131546477.0,ns,320
Day 13,Task 2 - Generate code,,,,135267656.0,ns,328
Day 13,Task 2 - Generate code,,,,137790688.0,ns,336
Day 13,Task 2 - Generate code,,,,142134791.0,ns,344
Day 13,Task 2 - Generate code,,,,145131577.0,ns,352
Day 13,Task 2 - Generate code,,,,147764386.0,ns,360
Day 13,Task 2 - Generate code,,,,150898497.0,ns,368
Day 13,Task 2 - Generate code,,,,154436917.0,ns,376
Day 13,Task 2 - Generate code,,,,157062048.0,ns,384
Day 13,Task 2 - Generate code,,,,161632025.0,ns,392
Day 13,Task 2 - Generate code,,,,164107393.0,ns,400
