group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 14,Task 1 - Element counts after 10 steps,,,,3139476.0,ns,10
Day 14,Task 1 - Element counts after 10 steps,,,,6240751.0,ns,20
Day 14,Task 1 - Element counts after 10 steps,,,,9456914.0,ns,30
Day 14,Task 1 - Element counts after 10 steps,,,,12439774.0,ns,40
Day 14,Task 1 - Element counts after 10 steps,,,,15585011.0,ns,50
Day 14,Task 1 - Element counts after 10 steps,,,,18752820.0,ns,60
Day 14,Task 1 - Element counts after 10 steps,,,,21734541.0,ns,70
Day 14,Task 1 - Element counts after 10 steps,,,,24959704.0,ns,80
Day 14,Task 1 - Element counts after 10 steps,,,,28208201.0,ns,90
Day 14,Task 1 - Element counts after 10 steps,,,,31060330.0,ns,100
Day 14,Task 1 - Element counts after 10 steps,,,,34333072.0,ns,110
Day 14,Task 1 - Element counts after 10 steps,,,,37732815.0,ns,120
Day 14,Task 1 - Element counts after 10 steps,,,,40610421.0,ns,130
Day 14,Task 1 - Element counts after 10 steps,,,,44024139.0,ns,140
Day 14,Task 1 - Element counts after 10 steps,,,,46954192.0,ns,150
Day 14,Task 1 - Element counts after 10 steps,,,,49980483.0,ns,160
Day 14,Task 1 - Element counts after 10 steps,,,,53079145.0,ns,170
Day 14,Task 1 - Element counts after 10 steps,,,,56342183.0,ns,180
Day 14,Task 1 - Element counts after 10 steps,,,,59330899.0,ns,190
Day 14,Task 1 - Element counts after 10 steps,,,,62617918.0,ns,200
Day 14,Task 1 - Element counts after 10 steps,,,,65637415.0,ns,210
Day 14,Task 1 - Element counts after 10 steps,,,,69087215.0,ns,220
Day 14,Task 1 - Element counts after 10 steps,,,,71923586.0,ns,230
Day 14,Task 1 - Element counts after 10 steps,,,,75006252.0,ns,240
Day 14,Task 1 - Element counts after 10 steps,,,,77946141.0,ns,250
Day 14,Task 1 - Element counts after 10 steps,,,,81159594.0,ns,260
Day 14,Task 1 - Element counts after 10 steps,,,,84911131.0,ns,270
Day 14,Task 1 - Element counts after 10 steps,,,,87673132.0,ns,280
Day 14,Task 1 - Element counts after 10 steps,,,,91086978.0,ns,290
Day 14,Task 1 - Element counts after 10 steps,,,,93635322.0,ns,300
Day 14,Task 1 - Element counts after 10 steps,,,,96692941.0,ns,310
Day 14,Task 1 - Element counts after 10 steps,,,,99828659.0,ns,320
Day 14,Task 1 - Element counts after 10 steps,,,,103121165.0,ns,330
Day 14,Task 1 - Element counts after 10 steps,,,,106646519.0,ns,340
Day 14,Task 1 - Element counts after 10 steps,,,,109105697.0,ns,350
Day 14,Task 1 - Element counts after 10 steps,,,,112370438.0,ns,360
Day 14,Task 1 - Element counts after 10 steps,,,,116083097.0,ns,370
Day 14,Task 1 - Element counts after 10 steps,,,,118618808.0,ns,380
Day 14,Task 1 - Element counts after 10 steps,,,,122432309.0,ns,390
Day 14,Task 1 - Element counts after 10 steps,,,,125004846.0,ns,400
Day 14,Task 1 - Element counts after 10 steps,,,,132213934.0,ns,410
Day 14,Task 1 - Element counts after 10 steps,,,,131260561.0,ns,420
Day 14,Task 1 - Element counts after 10 steps,,,,134527730.0,ns,430
Day 14,Task 1 - Element counts after 10 steps,,,,137414455.0,ns,440
Day 14,Task 1 - Element counts after 10 steps,,,,141246039.0,ns,450
Day 14,Task 1 - Element counts after 10 steps,,,,144889056.0,ns,460
Day 14,Task 1 - Element counts after 10 steps,,,,146546433.0,ns,470
Day 14,Task 1 - Element counts after 10 steps,,,,150573158.0,ns,480
Day 14,Task 1 - Element counts after 10 steps,,,,153221973.0,ns,490
Day 14,Task 1 - Element counts after 10 steps,,,,156671918.0,ns,500
