group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 14,Task 2 - Element counts after 40 steps,,,,4182830.0,ns,3
Day 14,Task 2 - Element counts after 40 steps,,,,8243999.0,ns,6
Day 14,Task 2 - Element counts after 40 steps,,,,12284946.0,ns,9
Day 14,Task 2 - Element counts after 40 steps,,,,16446932.0,ns,12
Day 14,Task 2 - Element counts after 40 steps,,,,20952339.0,ns,15
Day 14,Task 2 - Element counts after 40 steps,,,,24837781.0,ns,18
Day 14,Task 2 - Element counts after 40 steps,,,,29058187.0,ns,21
Day 14,Task 2 - Element counts after 40 steps,,,,33193546.0,ns,24
Day 14,Task 2 - Element counts after 40 steps,,,,37110306.0,ns,27
Day 14,Task 2 - Element counts after 40 steps,,,,41229119.0,ns,30
Day 14,Task 2 - Element counts after 40 steps,,,,46036910.0,ns,33
Day 14,Task 2 - Element counts after 40 steps,,,,49632779.0,ns,36
Day 14,Task 2 - Element counts after 40 steps,,,,53636612.0,ns,39
Day 14,Task 2 - Element counts after 40 steps,,,,57482426.0,ns,42
Day 14,Task 2 - Element counts after 40 steps,,,,61677906.0,ns,45
Day 14,Task 2 - Element counts after 40 steps,,,,65788149.0,ns,48
Day 14,Task 2 - Element counts after 40 steps,,,,70539195.0,ns,51
Day 14,Task 2 - Element counts after 40 steps,,,,74161945.0,ns,54
Day 14,Task 2 - Element counts after 40 steps,,,,78274123.0,ns,57
Day 14,Task 2 - Element counts after 40 steps,,,,82248381.0,ns,60
Day 14,Task 2 - Element counts after 40 steps,,,,86410581.0,ns,63
Day 14,Task 2 - Element counts after 40 steps,,,,91525025.0,ns,66
Day 14,Task 2 - Element counts after 40 steps,,,,94767394.0,ns,69
Day 14,Task 2 - Element counts after 40 steps,,,,98785300.0,ns,72
Day 14,Task 2 - Element counts after 40 steps,,,,102973485.0,ns,75
Day 14,Task 2 - Element counts after 40 steps,,,,108453523.0,ns,78
Day 14,Task 2 - Element counts after 40 steps,,,,110940227.0,ns,81
Day 14,Task 2 - Element counts after 40 steps,,,,115988594.0,ns,84
Day 14,Task 2 - Element counts after 40 steps,,,,119746363.0,ns,87
Day 14,Task 2 - Element counts after 40 steps,,,,124203018.0,ns,90
Day 14,Task 2 - Element counts after 40 steps,,,,127415366.0,ns,93
Day 14,Task 2 - Element counts after 40 steps,,,,133289059.0,ns,96
Day 14,Task 2 - Element counts after 40 steps,,,,136037493.0,ns,99
Day 14,Task 2 - Element counts after 40 steps,,,,140022753.0,ns,102
Day 14,Task 2 - Element counts after 40 steps,,,,144671306.0,ns,105
Day 14,Task 2 - Element counts after 40 steps,,,,148128791.0,ns,108
Day 14,Task 2 - Element counts after 40 steps,,,,152390874.0,ns,111
Day 14,Task 2 - Element counts after 40 steps,,,,156627356.0,ns,114
Day 14,Task 2 - Element counts after 40 steps,,,,161333226.0,ns,117
Day 14,Task 2 - Element counts after 40 steps,,,,164751909.0,ns,120
Day 14,Task 2 - Element counts after 40 steps,,,,170275055.0,ns,123
Day 14,Task 2 - Element counts after 40 steps,,,,206380956.0,ns,126
Day 14,Task 2 - Element counts after 40 steps,,,,198207449.0,ns,129
Day 14,Task 2 - Element counts after 40 steps,,,,182889685.0,ns,132
Day 14,Task 2 - Element counts after 40 steps,,,,188588402.0,ns,135
Day 14,Task 2 - Element counts after 40 steps,,,,191553731.0,ns,138
Day 14,Task 2 - Element counts after 40 steps,,,,195578668.0,ns,141
Day 14,Task 2 - Element counts after 40 steps,,,,197732035.0,ns,144
Day 14,Task 2 - Element counts after 40 steps,,,,201575610.0,ns,147
Day 14,Task 2 - Element counts after 40 steps,,,,207426069.0,ns,150
