group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"Day 15, Task 1: Lowest Total Risk",,,,,53813738.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,55663794.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53920775.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,55169097.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54167638.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53806403.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53831973.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54847831.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53878561.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54548804.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54302811.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53972074.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54327518.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53626895.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54205454.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53578675.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54168491.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53963570.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54032149.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53745450.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53626022.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54232120.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53984283.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53676637.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53907464.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53967348.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54923090.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53744272.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54231365.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53959728.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54182919.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54427541.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53750834.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54373235.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53857237.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53824479.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53717806.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54055544.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54747117.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53743460.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54239217.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53997791.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53885592.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53709164.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54093965.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53665087.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54007323.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54270064.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53767281.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53811728.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54648011.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54639372.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54208315.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53573749.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53778398.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53662016.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54998731.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53781145.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,53703772.0,ns,12
"Day 15, Task 1: Lowest Total Risk",,,,,54791793.0,ns,12
