group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"Day 15, Task 1: Lowest Total Risk",,,,,49525158.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49199951.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49466403.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49174670.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49513349.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49586031.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49375972.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,48969700.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49213753.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49628981.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49155034.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49598593.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49825489.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49407271.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49182075.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49165732.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49242302.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50060246.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49107171.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49830808.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49210095.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49488022.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49088195.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49318412.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49073909.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49487711.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49531155.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49431365.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49202061.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49703469.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49708118.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50307071.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49499712.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49488115.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49332974.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49152395.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50386661.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49166640.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49493678.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49098290.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49835473.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49144555.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49382887.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49197938.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49079914.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49429674.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50936569.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49322541.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50422018.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49009783.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49644859.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49455119.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,49441459.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,57142737.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,56098550.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51573449.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51636514.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50883156.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50624860.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,54513936.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,52387341.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50501416.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51528760.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50662224.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50871089.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50588097.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50770305.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50689210.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50285655.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51064440.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51683668.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51645952.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,52886254.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,52862145.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50900812.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50999581.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,60260947.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51199278.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50791537.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,55064992.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51609730.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51731133.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50633480.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51325928.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51198765.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51093173.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50298081.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50603948.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50188318.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,52125695.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51645463.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51155042.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51746308.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50207890.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,51666061.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50970420.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50456311.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50690949.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50661633.0,ns,11
"Day 15, Task 1: Lowest Total Risk",,,,,50784901.0,ns,11
