group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229478411.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,236395504.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229301296.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231747389.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231726830.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228948394.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230949849.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230905646.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231044414.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230465634.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,246299214.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229251713.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,241483071.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,244835011.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,233987766.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229152671.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229532513.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230662610.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229497316.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231351743.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,232214580.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231921702.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231857982.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,232036676.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231910658.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,232030319.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231254487.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,232694702.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,236407581.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230465288.0,ns,1
