group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229653356.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229185135.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229691116.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230298345.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,234792469.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229800907.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,227794093.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230568916.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228860823.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230196570.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228780767.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228237815.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230917615.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,250231831.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,243744214.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229050556.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229429344.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229269200.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228881405.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,254354864.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,294806462.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,242792194.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231271395.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229116747.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229595147.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231562617.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228918617.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228112543.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,243140735.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229803916.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229685753.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230388128.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228427007.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229836200.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229490516.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,232606777.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228706404.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230316243.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229125098.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229473564.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230365888.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,227826662.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229297502.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228713549.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229611355.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230226856.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228102092.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,232365815.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229317773.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228181614.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230458064.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228926269.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228900460.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,228355164.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229162584.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230467171.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,241042564.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,242877874.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,233221811.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229100248.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230236044.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229341536.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229678056.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230409725.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229319922.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,230345642.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231452388.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229631520.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229286721.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,233001814.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229693914.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229904523.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,236541735.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229741099.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,232242815.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229361186.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231352893.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,229797635.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,231509631.0,ns,1
"Day 15, Task 2: Lowest Total Risk (full map)",,,,,234150178.0,ns,1
