group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 15,Task 1 - Lowest Total Risk,,,,4555471.0,ns,1
Day 15,Task 1 - Lowest Total Risk,,,,9181551.0,ns,2
Day 15,Task 1 - Lowest Total Risk,,,,13328023.0,ns,3
Day 15,Task 1 - Lowest Total Risk,,,,17934194.0,ns,4
Day 15,Task 1 - Lowest Total Risk,,,,22405980.0,ns,5
Day 15,Task 1 - Lowest Total Risk,,,,26834691.0,ns,6
Day 15,Task 1 - Lowest Total Risk,,,,31330539.0,ns,7
Day 15,Task 1 - Lowest Total Risk,,,,36113479.0,ns,8
Day 15,Task 1 - Lowest Total Risk,,,,41312472.0,ns,9
Day 15,Task 1 - Lowest Total Risk,,,,45316677.0,ns,10
Day 15,Task 1 - Lowest Total Risk,,,,48956967.0,ns,11
Day 15,Task 1 - Lowest Total Risk,,,,53809629.0,ns,12
Day 15,Task 1 - Lowest Total Risk,,,,58979847.0,ns,13
Day 15,Task 1 - Lowest Total Risk,,,,62634383.0,ns,14
Day 15,Task 1 - Lowest Total Risk,,,,67244758.0,ns,15
Day 15,Task 1 - Lowest Total Risk,,,,71601572.0,ns,16
Day 15,Task 1 - Lowest Total Risk,,,,76142400.0,ns,17
Day 15,Task 1 - Lowest Total Risk,,,,81375261.0,ns,18
Day 15,Task 1 - Lowest Total Risk,,,,85064553.0,ns,19
Day 15,Task 1 - Lowest Total Risk,,,,90509858.0,ns,20
Day 15,Task 1 - Lowest Total Risk,,,,94988700.0,ns,21
Day 15,Task 1 - Lowest Total Risk,,,,98287843.0,ns,22
Day 15,Task 1 - Lowest Total Risk,,,,104329703.0,ns,23
Day 15,Task 1 - Lowest Total Risk,,,,107248118.0,ns,24
Day 15,Task 1 - Lowest Total Risk,,,,112479035.0,ns,25
Day 15,Task 1 - Lowest Total Risk,,,,116302927.0,ns,26
Day 15,Task 1 - Lowest Total Risk,,,,120873795.0,ns,27
Day 15,Task 1 - Lowest Total Risk,,,,125944663.0,ns,28
Day 15,Task 1 - Lowest Total Risk,,,,130670929.0,ns,29
Day 15,Task 1 - Lowest Total Risk,,,,136350986.0,ns,30
Day 15,Task 1 - Lowest Total Risk,,,,140218317.0,ns,31
Day 15,Task 1 - Lowest Total Risk,,,,153706522.0,ns,32
Day 15,Task 1 - Lowest Total Risk,,,,159143871.0,ns,33
Day 15,Task 1 - Lowest Total Risk,,,,152746919.0,ns,34
Day 15,Task 1 - Lowest Total Risk,,,,157345868.0,ns,35
Day 15,Task 1 - Lowest Total Risk,,,,161383564.0,ns,36
Day 15,Task 1 - Lowest Total Risk,,,,166112004.0,ns,37
Day 15,Task 1 - Lowest Total Risk,,,,170154938.0,ns,38
Day 15,Task 1 - Lowest Total Risk,,,,177436122.0,ns,39
Day 15,Task 1 - Lowest Total Risk,,,,180237948.0,ns,40
Day 15,Task 1 - Lowest Total Risk,,,,183552524.0,ns,41
Day 15,Task 1 - Lowest Total Risk,,,,189114123.0,ns,42
Day 15,Task 1 - Lowest Total Risk,,,,195833819.0,ns,43
Day 15,Task 1 - Lowest Total Risk,,,,199701614.0,ns,44
Day 15,Task 1 - Lowest Total Risk,,,,204520691.0,ns,45
Day 15,Task 1 - Lowest Total Risk,,,,208492119.0,ns,46
Day 15,Task 1 - Lowest Total Risk,,,,212686740.0,ns,47
Day 15,Task 1 - Lowest Total Risk,,,,217659291.0,ns,48
Day 15,Task 1 - Lowest Total Risk,,,,221866601.0,ns,49
Day 15,Task 1 - Lowest Total Risk,,,,226255172.0,ns,50
