group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 15,Task 1 - Lowest Total Risk,,,,4444470.0,ns,1
Day 15,Task 1 - Lowest Total Risk,,,,9361324.0,ns,2
Day 15,Task 1 - Lowest Total Risk,,,,13615112.0,ns,3
Day 15,Task 1 - Lowest Total Risk,,,,17992700.0,ns,4
Day 15,Task 1 - Lowest Total Risk,,,,22452296.0,ns,5
Day 15,Task 1 - Lowest Total Risk,,,,26652048.0,ns,6
Day 15,Task 1 - Lowest Total Risk,,,,31270515.0,ns,7
Day 15,Task 1 - Lowest Total Risk,,,,35801321.0,ns,8
Day 15,Task 1 - Lowest Total Risk,,,,40448001.0,ns,9
Day 15,Task 1 - Lowest Total Risk,,,,44854972.0,ns,10
Day 15,Task 1 - Lowest Total Risk,,,,49172782.0,ns,11
Day 15,Task 1 - Lowest Total Risk,,,,54211603.0,ns,12
Day 15,Task 1 - Lowest Total Risk,,,,58058389.0,ns,13
Day 15,Task 1 - Lowest Total Risk,,,,63408056.0,ns,14
Day 15,Task 1 - Lowest Total Risk,,,,67689809.0,ns,15
Day 15,Task 1 - Lowest Total Risk,,,,71803515.0,ns,16
Day 15,Task 1 - Lowest Total Risk,,,,76260264.0,ns,17
Day 15,Task 1 - Lowest Total Risk,,,,80358212.0,ns,18
Day 15,Task 1 - Lowest Total Risk,,,,84928988.0,ns,19
Day 15,Task 1 - Lowest Total Risk,,,,89502265.0,ns,20
Day 15,Task 1 - Lowest Total Risk,,,,94225531.0,ns,21
Day 15,Task 1 - Lowest Total Risk,,,,98736600.0,ns,22
Day 15,Task 1 - Lowest Total Risk,,,,102947626.0,ns,23
Day 15,Task 1 - Lowest Total Risk,,,,107510840.0,ns,24
Day 15,Task 1 - Lowest Total Risk,,,,111870597.0,ns,25
Day 15,Task 1 - Lowest Total Risk,,,,116713296.0,ns,26
Day 15,Task 1 - Lowest Total Risk,,,,120566768.0,ns,27
Day 15,Task 1 - Lowest Total Risk,,,,125568749.0,ns,28
Day 15,Task 1 - Lowest Total Risk,,,,129674560.0,ns,29
Day 15,Task 1 - Lowest Total Risk,,,,134145949.0,ns,30
Day 15,Task 1 - Lowest Total Risk,,,,138783190.0,ns,31
Day 15,Task 1 - Lowest Total Risk,,,,142913181.0,ns,32
Day 15,Task 1 - Lowest Total Risk,,,,147405363.0,ns,33
Day 15,Task 1 - Lowest Total Risk,,,,151273719.0,ns,34
Day 15,Task 1 - Lowest Total Risk,,,,155610716.0,ns,35
Day 15,Task 1 - Lowest Total Risk,,,,160697253.0,ns,36
Day 15,Task 1 - Lowest Total Risk,,,,164722127.0,ns,37
Day 15,Task 1 - Lowest Total Risk,,,,170344060.0,ns,38
Day 15,Task 1 - Lowest Total Risk,,,,173792183.0,ns,39
Day 15,Task 1 - Lowest Total Risk,,,,178616673.0,ns,40
Day 15,Task 1 - Lowest Total Risk,,,,183442286.0,ns,41
Day 15,Task 1 - Lowest Total Risk,,,,188927547.0,ns,42
Day 15,Task 1 - Lowest Total Risk,,,,193391492.0,ns,43
Day 15,Task 1 - Lowest Total Risk,,,,197829194.0,ns,44
Day 15,Task 1 - Lowest Total Risk,,,,203578699.0,ns,45
Day 15,Task 1 - Lowest Total Risk,,,,207620659.0,ns,46
Day 15,Task 1 - Lowest Total Risk,,,,221485891.0,ns,47
Day 15,Task 1 - Lowest Total Risk,,,,222956628.0,ns,48
Day 15,Task 1 - Lowest Total Risk,,,,224270946.0,ns,49
Day 15,Task 1 - Lowest Total Risk,,,,223557349.0,ns,50
