group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 15,Task 2 - Lowest Total Risk (full map),,,,458959401.0,ns,2
Day 15,Task 2 - Lowest Total Risk (full map),,,,464500006.0,ns,2
Day 15,Task 2 - Lowest Total Risk (full map),,,,466005194.0,ns,2
Day 15,Task 2 - Lowest Total Risk (full map),,,,458422772.0,ns,2
Day 15,Task 2 - Lowest Total Risk (full map),,,,458492962.0,ns,2
Day 15,Task 2 - Lowest Total Risk (full map),,,,490194235.0,ns,2
Day 15,Task 2 - Lowest Total Risk (full map),,,,459509735.0,ns,2
Day 15,Task 2 - Lowest Total Risk (full map),,,,457731418.0,ns,2
Day 15,Task 2 - Lowest Total Risk (full map),,,,462358990.0,ns,2
Day 15,Task 2 - Lowest Total Risk (full map),,,,459045765.0,ns,2
