group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"Day 16, Task 1: Sum of version numbers",,,,,10789211.0,ns,153
"Day 16, Task 1: Sum of version numbers",,,,,21441298.0,ns,306
"Day 16, Task 1: Sum of version numbers",,,,,32168235.0,ns,459
"Day 16, Task 1: Sum of version numbers",,,,,42833801.0,ns,612
"Day 16, Task 1: Sum of version numbers",,,,,53786068.0,ns,765
"Day 16, Task 1: Sum of version numbers",,,,,65355608.0,ns,918
"Day 16, Task 1: Sum of version numbers",,,,,76479724.0,ns,1071
"Day 16, Task 1: Sum of version numbers",,,,,85953550.0,ns,1224
"Day 16, Task 1: Sum of version numbers",,,,,96553192.0,ns,1377
"Day 16, Task 1: Sum of version numbers",,,,,107331311.0,ns,1530
"Day 16, Task 1: Sum of version numbers",,,,,119354273.0,ns,1683
"Day 16, Task 1: Sum of version numbers",,,,,131650955.0,ns,1836
"Day 16, Task 1: Sum of version numbers",,,,,140001963.0,ns,1989
"Day 16, Task 1: Sum of version numbers",,,,,151680447.0,ns,2142
"Day 16, Task 1: Sum of version numbers",,,,,161011178.0,ns,2295
"Day 16, Task 1: Sum of version numbers",,,,,172567057.0,ns,2448
"Day 16, Task 1: Sum of version numbers",,,,,182778498.0,ns,2601
"Day 16, Task 1: Sum of version numbers",,,,,194865198.0,ns,2754
"Day 16, Task 1: Sum of version numbers",,,,,204507947.0,ns,2907
"Day 16, Task 1: Sum of version numbers",,,,,214202083.0,ns,3060
"Day 16, Task 1: Sum of version numbers",,,,,226601901.0,ns,3213
"Day 16, Task 1: Sum of version numbers",,,,,236247577.0,ns,3366
"Day 16, Task 1: Sum of version numbers",,,,,248350172.0,ns,3519
"Day 16, Task 1: Sum of version numbers",,,,,257777480.0,ns,3672
"Day 16, Task 1: Sum of version numbers",,,,,269191522.0,ns,3825
"Day 16, Task 1: Sum of version numbers",,,,,279489971.0,ns,3978
"Day 16, Task 1: Sum of version numbers",,,,,290674478.0,ns,4131
"Day 16, Task 1: Sum of version numbers",,,,,300486248.0,ns,4284
"Day 16, Task 1: Sum of version numbers",,,,,311898672.0,ns,4437
"Day 16, Task 1: Sum of version numbers",,,,,322458444.0,ns,4590
