group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"Day 16, Task 2: Expression tree evaluation",,,,,1051836.0,ns,14
"Day 16, Task 2: Expression tree evaluation",,,,,2012678.0,ns,28
"Day 16, Task 2: Expression tree evaluation",,,,,3102963.0,ns,42
"Day 16, Task 2: Expression tree evaluation",,,,,4102086.0,ns,56
"Day 16, Task 2: Expression tree evaluation",,,,,5017358.0,ns,70
"Day 16, Task 2: Expression tree evaluation",,,,,6100190.0,ns,84
"Day 16, Task 2: Expression tree evaluation",,,,,7168492.0,ns,98
"Day 16, Task 2: Expression tree evaluation",,,,,8324850.0,ns,112
"Day 16, Task 2: Expression tree evaluation",,,,,9249908.0,ns,126
"Day 16, Task 2: Expression tree evaluation",,,,,10043621.0,ns,140
"Day 16, Task 2: Expression tree evaluation",,,,,11037143.0,ns,154
"Day 16, Task 2: Expression tree evaluation",,,,,12322652.0,ns,168
"Day 16, Task 2: Expression tree evaluation",,,,,13210230.0,ns,182
"Day 16, Task 2: Expression tree evaluation",,,,,14100942.0,ns,196
"Day 16, Task 2: Expression tree evaluation",,,,,15225406.0,ns,210
"Day 16, Task 2: Expression tree evaluation",,,,,16201025.0,ns,224
"Day 16, Task 2: Expression tree evaluation",,,,,17162680.0,ns,238
"Day 16, Task 2: Expression tree evaluation",,,,,18300622.0,ns,252
"Day 16, Task 2: Expression tree evaluation",,,,,19185637.0,ns,266
"Day 16, Task 2: Expression tree evaluation",,,,,20483683.0,ns,280
"Day 16, Task 2: Expression tree evaluation",,,,,21244567.0,ns,294
"Day 16, Task 2: Expression tree evaluation",,,,,22371448.0,ns,308
"Day 16, Task 2: Expression tree evaluation",,,,,23469751.0,ns,322
"Day 16, Task 2: Expression tree evaluation",,,,,24556023.0,ns,336
"Day 16, Task 2: Expression tree evaluation",,,,,25662421.0,ns,350
"Day 16, Task 2: Expression tree evaluation",,,,,26235774.0,ns,364
"Day 16, Task 2: Expression tree evaluation",,,,,27308070.0,ns,378
"Day 16, Task 2: Expression tree evaluation",,,,,28550191.0,ns,392
"Day 16, Task 2: Expression tree evaluation",,,,,29386806.0,ns,406
"Day 16, Task 2: Expression tree evaluation",,,,,30385693.0,ns,420
"Day 16, Task 2: Expression tree evaluation",,,,,31604907.0,ns,434
"Day 16, Task 2: Expression tree evaluation",,,,,32469226.0,ns,448
"Day 16, Task 2: Expression tree evaluation",,,,,34032992.0,ns,462
"Day 16, Task 2: Expression tree evaluation",,,,,34509169.0,ns,476
"Day 16, Task 2: Expression tree evaluation",,,,,35363013.0,ns,490
"Day 16, Task 2: Expression tree evaluation",,,,,36485932.0,ns,504
"Day 16, Task 2: Expression tree evaluation",,,,,39784629.0,ns,518
"Day 16, Task 2: Expression tree evaluation",,,,,38340864.0,ns,532
"Day 16, Task 2: Expression tree evaluation",,,,,39625381.0,ns,546
"Day 16, Task 2: Expression tree evaluation",,,,,41144866.0,ns,560
"Day 16, Task 2: Expression tree evaluation",,,,,41929884.0,ns,574
"Day 16, Task 2: Expression tree evaluation",,,,,42947708.0,ns,588
"Day 16, Task 2: Expression tree evaluation",,,,,44189413.0,ns,602
"Day 16, Task 2: Expression tree evaluation",,,,,45017361.0,ns,616
"Day 16, Task 2: Expression tree evaluation",,,,,46334407.0,ns,630
"Day 16, Task 2: Expression tree evaluation",,,,,47098840.0,ns,644
"Day 16, Task 2: Expression tree evaluation",,,,,50160935.0,ns,658
"Day 16, Task 2: Expression tree evaluation",,,,,49267069.0,ns,672
"Day 16, Task 2: Expression tree evaluation",,,,,49615515.0,ns,686
"Day 16, Task 2: Expression tree evaluation",,,,,50575187.0,ns,700
"Day 16, Task 2: Expression tree evaluation",,,,,52325291.0,ns,714
"Day 16, Task 2: Expression tree evaluation",,,,,53427854.0,ns,728
"Day 16, Task 2: Expression tree evaluation",,,,,53523569.0,ns,742
"Day 16, Task 2: Expression tree evaluation",,,,,54806789.0,ns,756
"Day 16, Task 2: Expression tree evaluation",,,,,55727824.0,ns,770
"Day 16, Task 2: Expression tree evaluation",,,,,56848871.0,ns,784
"Day 16, Task 2: Expression tree evaluation",,,,,59114570.0,ns,798
"Day 16, Task 2: Expression tree evaluation",,,,,59092743.0,ns,812
"Day 16, Task 2: Expression tree evaluation",,,,,59972967.0,ns,826
"Day 16, Task 2: Expression tree evaluation",,,,,61247554.0,ns,840
"Day 16, Task 2: Expression tree evaluation",,,,,62589211.0,ns,854
"Day 16, Task 2: Expression tree evaluation",,,,,63085321.0,ns,868
"Day 16, Task 2: Expression tree evaluation",,,,,64362261.0,ns,882
"Day 16, Task 2: Expression tree evaluation",,,,,65595905.0,ns,896
"Day 16, Task 2: Expression tree evaluation",,,,,66303886.0,ns,910
"Day 16, Task 2: Expression tree evaluation",,,,,67369710.0,ns,924
"Day 16, Task 2: Expression tree evaluation",,,,,68731969.0,ns,938
"Day 16, Task 2: Expression tree evaluation",,,,,69371224.0,ns,952
"Day 16, Task 2: Expression tree evaluation",,,,,69947869.0,ns,966
"Day 16, Task 2: Expression tree evaluation",,,,,71405136.0,ns,980
"Day 16, Task 2: Expression tree evaluation",,,,,72234165.0,ns,994
"Day 16, Task 2: Expression tree evaluation",,,,,72989132.0,ns,1008
"Day 16, Task 2: Expression tree evaluation",,,,,75569031.0,ns,1022
"Day 16, Task 2: Expression tree evaluation",,,,,76318627.0,ns,1036
"Day 16, Task 2: Expression tree evaluation",,,,,76860863.0,ns,1050
"Day 16, Task 2: Expression tree evaluation",,,,,76817265.0,ns,1064
"Day 16, Task 2: Expression tree evaluation",,,,,78312859.0,ns,1078
"Day 16, Task 2: Expression tree evaluation",,,,,78914164.0,ns,1092
"Day 16, Task 2: Expression tree evaluation",,,,,80193622.0,ns,1106
"Day 16, Task 2: Expression tree evaluation",,,,,80790138.0,ns,1120
"Day 16, Task 2: Expression tree evaluation",,,,,82440431.0,ns,1134
"Day 16, Task 2: Expression tree evaluation",,,,,83113594.0,ns,1148
"Day 16, Task 2: Expression tree evaluation",,,,,84045343.0,ns,1162
"Day 16, Task 2: Expression tree evaluation",,,,,84958137.0,ns,1176
"Day 16, Task 2: Expression tree evaluation",,,,,87997608.0,ns,1190
"Day 16, Task 2: Expression tree evaluation",,,,,87022994.0,ns,1204
"Day 16, Task 2: Expression tree evaluation",,,,,88955086.0,ns,1218
"Day 16, Task 2: Expression tree evaluation",,,,,89844954.0,ns,1232
"Day 16, Task 2: Expression tree evaluation",,,,,90645445.0,ns,1246
