group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"Day 16, Task 2: Expression tree evaluation",,,,,1015013.0,ns,14
"Day 16, Task 2: Expression tree evaluation",,,,,1956235.0,ns,28
"Day 16, Task 2: Expression tree evaluation",,,,,2936877.0,ns,42
"Day 16, Task 2: Expression tree evaluation",,,,,4009497.0,ns,56
"Day 16, Task 2: Expression tree evaluation",,,,,5006398.0,ns,70
"Day 16, Task 2: Expression tree evaluation",,,,,6072670.0,ns,84
"Day 16, Task 2: Expression tree evaluation",,,,,7033269.0,ns,98
"Day 16, Task 2: Expression tree evaluation",,,,,8420617.0,ns,112
"Day 16, Task 2: Expression tree evaluation",,,,,8827565.0,ns,126
"Day 16, Task 2: Expression tree evaluation",,,,,9865367.0,ns,140
"Day 16, Task 2: Expression tree evaluation",,,,,10917970.0,ns,154
"Day 16, Task 2: Expression tree evaluation",,,,,11877442.0,ns,168
"Day 16, Task 2: Expression tree evaluation",,,,,12775488.0,ns,182
"Day 16, Task 2: Expression tree evaluation",,,,,13821250.0,ns,196
"Day 16, Task 2: Expression tree evaluation",,,,,14927166.0,ns,210
"Day 16, Task 2: Expression tree evaluation",,,,,16019037.0,ns,224
"Day 16, Task 2: Expression tree evaluation",,,,,17470220.0,ns,238
"Day 16, Task 2: Expression tree evaluation",,,,,17692269.0,ns,252
"Day 16, Task 2: Expression tree evaluation",,,,,18932875.0,ns,266
"Day 16, Task 2: Expression tree evaluation",,,,,19659981.0,ns,280
"Day 16, Task 2: Expression tree evaluation",,,,,21311319.0,ns,294
"Day 16, Task 2: Expression tree evaluation",,,,,21636183.0,ns,308
"Day 16, Task 2: Expression tree evaluation",,,,,22857103.0,ns,322
"Day 16, Task 2: Expression tree evaluation",,,,,24767366.0,ns,336
"Day 16, Task 2: Expression tree evaluation",,,,,25907967.0,ns,350
"Day 16, Task 2: Expression tree evaluation",,,,,26098902.0,ns,364
"Day 16, Task 2: Expression tree evaluation",,,,,26692022.0,ns,378
"Day 16, Task 2: Expression tree evaluation",,,,,27712942.0,ns,392
"Day 16, Task 2: Expression tree evaluation",,,,,29102140.0,ns,406
"Day 16, Task 2: Expression tree evaluation",,,,,29631484.0,ns,420
"Day 16, Task 2: Expression tree evaluation",,,,,30614637.0,ns,434
"Day 16, Task 2: Expression tree evaluation",,,,,31859004.0,ns,448
"Day 16, Task 2: Expression tree evaluation",,,,,32817403.0,ns,462
"Day 16, Task 2: Expression tree evaluation",,,,,33689712.0,ns,476
"Day 16, Task 2: Expression tree evaluation",,,,,34966392.0,ns,490
"Day 16, Task 2: Expression tree evaluation",,,,,36193520.0,ns,504
"Day 16, Task 2: Expression tree evaluation",,,,,37050133.0,ns,518
"Day 16, Task 2: Expression tree evaluation",,,,,37911133.0,ns,532
"Day 16, Task 2: Expression tree evaluation",,,,,38779681.0,ns,546
"Day 16, Task 2: Expression tree evaluation",,,,,39813973.0,ns,560
"Day 16, Task 2: Expression tree evaluation",,,,,40662346.0,ns,574
"Day 16, Task 2: Expression tree evaluation",,,,,41945931.0,ns,588
"Day 16, Task 2: Expression tree evaluation",,,,,42891971.0,ns,602
"Day 16, Task 2: Expression tree evaluation",,,,,43656692.0,ns,616
"Day 16, Task 2: Expression tree evaluation",,,,,44965350.0,ns,630
"Day 16, Task 2: Expression tree evaluation",,,,,45915306.0,ns,644
"Day 16, Task 2: Expression tree evaluation",,,,,47187394.0,ns,658
"Day 16, Task 2: Expression tree evaluation",,,,,47822653.0,ns,672
"Day 16, Task 2: Expression tree evaluation",,,,,49037125.0,ns,686
"Day 16, Task 2: Expression tree evaluation",,,,,49677935.0,ns,700
"Day 16, Task 2: Expression tree evaluation",,,,,50368607.0,ns,714
"Day 16, Task 2: Expression tree evaluation",,,,,52334498.0,ns,728
"Day 16, Task 2: Expression tree evaluation",,,,,52735857.0,ns,742
"Day 16, Task 2: Expression tree evaluation",,,,,53654257.0,ns,756
"Day 16, Task 2: Expression tree evaluation",,,,,54459620.0,ns,770
"Day 16, Task 2: Expression tree evaluation",,,,,55544413.0,ns,784
"Day 16, Task 2: Expression tree evaluation",,,,,56654888.0,ns,798
"Day 16, Task 2: Expression tree evaluation",,,,,58157122.0,ns,812
"Day 16, Task 2: Expression tree evaluation",,,,,58928320.0,ns,826
"Day 16, Task 2: Expression tree evaluation",,,,,59295244.0,ns,840
"Day 16, Task 2: Expression tree evaluation",,,,,60450544.0,ns,854
"Day 16, Task 2: Expression tree evaluation",,,,,61622422.0,ns,868
"Day 16, Task 2: Expression tree evaluation",,,,,62534633.0,ns,882
"Day 16, Task 2: Expression tree evaluation",,,,,64170515.0,ns,896
"Day 16, Task 2: Expression tree evaluation",,,,,64335022.0,ns,910
"Day 16, Task 2: Expression tree evaluation",,,,,66845361.0,ns,924
"Day 16, Task 2: Expression tree evaluation",,,,,67109591.0,ns,938
"Day 16, Task 2: Expression tree evaluation",,,,,67558237.0,ns,952
"Day 16, Task 2: Expression tree evaluation",,,,,68704077.0,ns,966
"Day 16, Task 2: Expression tree evaluation",,,,,69804228.0,ns,980
"Day 16, Task 2: Expression tree evaluation",,,,,70615676.0,ns,994
"Day 16, Task 2: Expression tree evaluation",,,,,71675931.0,ns,1008
"Day 16, Task 2: Expression tree evaluation",,,,,72525170.0,ns,1022
"Day 16, Task 2: Expression tree evaluation",,,,,74418495.0,ns,1036
"Day 16, Task 2: Expression tree evaluation",,,,,74262770.0,ns,1050
"Day 16, Task 2: Expression tree evaluation",,,,,76489673.0,ns,1064
"Day 16, Task 2: Expression tree evaluation",,,,,76419508.0,ns,1078
"Day 16, Task 2: Expression tree evaluation",,,,,77590949.0,ns,1092
"Day 16, Task 2: Expression tree evaluation",,,,,78603696.0,ns,1106
"Day 16, Task 2: Expression tree evaluation",,,,,80156444.0,ns,1120
"Day 16, Task 2: Expression tree evaluation",,,,,80511502.0,ns,1134
