group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 16,Task 1 - Sum of version numbers,,,,3168915.0,ns,44
Day 16,Task 1 - Sum of version numbers,,,,6376824.0,ns,88
Day 16,Task 1 - Sum of version numbers,,,,9491610.0,ns,132
Day 16,Task 1 - Sum of version numbers,,,,12560177.0,ns,176
Day 16,Task 1 - Sum of version numbers,,,,15687889.0,ns,220
Day 16,Task 1 - Sum of version numbers,,,,18987812.0,ns,264
Day 16,Task 1 - Sum of version numbers,,,,21936969.0,ns,308
Day 16,Task 1 - Sum of version numbers,,,,25452257.0,ns,352
Day 16,Task 1 - Sum of version numbers,,,,28411450.0,ns,396
Day 16,Task 1 - Sum of version numbers,,,,31634635.0,ns,440
Day 16,Task 1 - Sum of version numbers,,,,34740121.0,ns,484
Day 16,Task 1 - Sum of version numbers,,,,37936204.0,ns,528
Day 16,Task 1 - Sum of version numbers,,,,41434232.0,ns,572
Day 16,Task 1 - Sum of version numbers,,,,44218940.0,ns,616
Day 16,Task 1 - Sum of version numbers,,,,47219878.0,ns,660
Day 16,Task 1 - Sum of version numbers,,,,50396665.0,ns,704
Day 16,Task 1 - Sum of version numbers,,,,54298846.0,ns,748
Day 16,Task 1 - Sum of version numbers,,,,57310927.0,ns,792
Day 16,Task 1 - Sum of version numbers,,,,59796759.0,ns,836
Day 16,Task 1 - Sum of version numbers,,,,63372495.0,ns,880
Day 16,Task 1 - Sum of version numbers,,,,66519545.0,ns,924
Day 16,Task 1 - Sum of version numbers,,,,69611064.0,ns,968
Day 16,Task 1 - Sum of version numbers,,,,72829901.0,ns,1012
Day 16,Task 1 - Sum of version numbers,,,,76305632.0,ns,1056
Day 16,Task 1 - Sum of version numbers,,,,78846687.0,ns,1100
Day 16,Task 1 - Sum of version numbers,,,,82113500.0,ns,1144
Day 16,Task 1 - Sum of version numbers,,,,89449599.0,ns,1188
Day 16,Task 1 - Sum of version numbers,,,,93898321.0,ns,1232
Day 16,Task 1 - Sum of version numbers,,,,99481563.0,ns,1276
Day 16,Task 1 - Sum of version numbers,,,,99485446.0,ns,1320
Day 16,Task 1 - Sum of version numbers,,,,98088792.0,ns,1364
Day 16,Task 1 - Sum of version numbers,,,,102097692.0,ns,1408
Day 16,Task 1 - Sum of version numbers,,,,104032391.0,ns,1452
Day 16,Task 1 - Sum of version numbers,,,,107747110.0,ns,1496
Day 16,Task 1 - Sum of version numbers,,,,110769124.0,ns,1540
Day 16,Task 1 - Sum of version numbers,,,,113850748.0,ns,1584
Day 16,Task 1 - Sum of version numbers,,,,116895112.0,ns,1628
Day 16,Task 1 - Sum of version numbers,,,,120537127.0,ns,1672
Day 16,Task 1 - Sum of version numbers,,,,123443486.0,ns,1716
Day 16,Task 1 - Sum of version numbers,,,,127161792.0,ns,1760
Day 16,Task 1 - Sum of version numbers,,,,129568256.0,ns,1804
Day 16,Task 1 - Sum of version numbers,,,,133053861.0,ns,1848
Day 16,Task 1 - Sum of version numbers,,,,135969190.0,ns,1892
Day 16,Task 1 - Sum of version numbers,,,,138860068.0,ns,1936
Day 16,Task 1 - Sum of version numbers,,,,142163862.0,ns,1980
Day 16,Task 1 - Sum of version numbers,,,,146174406.0,ns,2024
Day 16,Task 1 - Sum of version numbers,,,,148770987.0,ns,2068
Day 16,Task 1 - Sum of version numbers,,,,151459713.0,ns,2112
Day 16,Task 1 - Sum of version numbers,,,,155796254.0,ns,2156
Day 16,Task 1 - Sum of version numbers,,,,158073487.0,ns,2200
