group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 16,Task 1 - Sum of version numbers,,,,3127698.0,ns,45
Day 16,Task 1 - Sum of version numbers,,,,6308673.0,ns,90
Day 16,Task 1 - Sum of version numbers,,,,9404078.0,ns,135
Day 16,Task 1 - Sum of version numbers,,,,12561799.0,ns,180
Day 16,Task 1 - Sum of version numbers,,,,15684548.0,ns,225
Day 16,Task 1 - Sum of version numbers,,,,18744102.0,ns,270
Day 16,Task 1 - Sum of version numbers,,,,22055738.0,ns,315
Day 16,Task 1 - Sum of version numbers,,,,25227158.0,ns,360
Day 16,Task 1 - Sum of version numbers,,,,28318608.0,ns,405
Day 16,Task 1 - Sum of version numbers,,,,31363094.0,ns,450
Day 16,Task 1 - Sum of version numbers,,,,34339146.0,ns,495
Day 16,Task 1 - Sum of version numbers,,,,37625392.0,ns,540
Day 16,Task 1 - Sum of version numbers,,,,41321791.0,ns,585
Day 16,Task 1 - Sum of version numbers,,,,44018603.0,ns,630
Day 16,Task 1 - Sum of version numbers,,,,47873334.0,ns,675
Day 16,Task 1 - Sum of version numbers,,,,51808352.0,ns,720
Day 16,Task 1 - Sum of version numbers,,,,53246113.0,ns,765
Day 16,Task 1 - Sum of version numbers,,,,57097522.0,ns,810
Day 16,Task 1 - Sum of version numbers,,,,59442226.0,ns,855
Day 16,Task 1 - Sum of version numbers,,,,62815804.0,ns,900
Day 16,Task 1 - Sum of version numbers,,,,66832600.0,ns,945
Day 16,Task 1 - Sum of version numbers,,,,69016332.0,ns,990
Day 16,Task 1 - Sum of version numbers,,,,72977231.0,ns,1035
Day 16,Task 1 - Sum of version numbers,,,,75870953.0,ns,1080
Day 16,Task 1 - Sum of version numbers,,,,78908861.0,ns,1125
Day 16,Task 1 - Sum of version numbers,,,,81977965.0,ns,1170
Day 16,Task 1 - Sum of version numbers,,,,84747371.0,ns,1215
Day 16,Task 1 - Sum of version numbers,,,,87794944.0,ns,1260
Day 16,Task 1 - Sum of version numbers,,,,91603635.0,ns,1305
Day 16,Task 1 - Sum of version numbers,,,,95833276.0,ns,1350
Day 16,Task 1 - Sum of version numbers,,,,98320396.0,ns,1395
Day 16,Task 1 - Sum of version numbers,,,,100747263.0,ns,1440
Day 16,Task 1 - Sum of version numbers,,,,103866050.0,ns,1485
Day 16,Task 1 - Sum of version numbers,,,,107625306.0,ns,1530
Day 16,Task 1 - Sum of version numbers,,,,110268320.0,ns,1575
Day 16,Task 1 - Sum of version numbers,,,,113901837.0,ns,1620
Day 16,Task 1 - Sum of version numbers,,,,119044619.0,ns,1665
Day 16,Task 1 - Sum of version numbers,,,,122195229.0,ns,1710
Day 16,Task 1 - Sum of version numbers,,,,124211711.0,ns,1755
Day 16,Task 1 - Sum of version numbers,,,,126654219.0,ns,1800
Day 16,Task 1 - Sum of version numbers,,,,128428825.0,ns,1845
Day 16,Task 1 - Sum of version numbers,,,,131946299.0,ns,1890
Day 16,Task 1 - Sum of version numbers,,,,137933122.0,ns,1935
Day 16,Task 1 - Sum of version numbers,,,,140158324.0,ns,1980
Day 16,Task 1 - Sum of version numbers,,,,142968826.0,ns,2025
Day 16,Task 1 - Sum of version numbers,,,,144380180.0,ns,2070
Day 16,Task 1 - Sum of version numbers,,,,149484118.0,ns,2115
Day 16,Task 1 - Sum of version numbers,,,,150734309.0,ns,2160
Day 16,Task 1 - Sum of version numbers,,,,154925130.0,ns,2205
Day 16,Task 1 - Sum of version numbers,,,,159744895.0,ns,2250
