group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day 16,Task 2 - Expression tree evaluation,,,,3173620.0,ns,43
Day 16,Task 2 - Expression tree evaluation,,,,6333880.0,ns,86
Day 16,Task 2 - Expression tree evaluation,,,,9528374.0,ns,129
Day 16,Task 2 - Expression tree evaluation,,,,12402237.0,ns,172
Day 16,Task 2 - Expression tree evaluation,,,,16009474.0,ns,215
Day 16,Task 2 - Expression tree evaluation,,,,20757718.0,ns,258
Day 16,Task 2 - Expression tree evaluation,,,,22166812.0,ns,301
Day 16,Task 2 - Expression tree evaluation,,,,25394373.0,ns,344
Day 16,Task 2 - Expression tree evaluation,,,,28608093.0,ns,387
Day 16,Task 2 - Expression tree evaluation,,,,32069243.0,ns,430
Day 16,Task 2 - Expression tree evaluation,,,,35146276.0,ns,473
Day 16,Task 2 - Expression tree evaluation,,,,38268673.0,ns,516
Day 16,Task 2 - Expression tree evaluation,,,,40914125.0,ns,559
Day 16,Task 2 - Expression tree evaluation,,,,44645044.0,ns,602
Day 16,Task 2 - Expression tree evaluation,,,,46726109.0,ns,645
Day 16,Task 2 - Expression tree evaluation,,,,50979378.0,ns,688
Day 16,Task 2 - Expression tree evaluation,,,,52953731.0,ns,731
Day 16,Task 2 - Expression tree evaluation,,,,57466198.0,ns,774
Day 16,Task 2 - Expression tree evaluation,,,,60337935.0,ns,817
Day 16,Task 2 - Expression tree evaluation,,,,64063694.0,ns,860
Day 16,Task 2 - Expression tree evaluation,,,,67033910.0,ns,903
Day 16,Task 2 - Expression tree evaluation,,,,68246472.0,ns,946
Day 16,Task 2 - Expression tree evaluation,,,,73972354.0,ns,989
Day 16,Task 2 - Expression tree evaluation,,,,76849581.0,ns,1032
Day 16,Task 2 - Expression tree evaluation,,,,79063134.0,ns,1075
Day 16,Task 2 - Expression tree evaluation,,,,82478415.0,ns,1118
Day 16,Task 2 - Expression tree evaluation,,,,95175878.0,ns,1161
Day 16,Task 2 - Expression tree evaluation,,,,87903256.0,ns,1204
Day 16,Task 2 - Expression tree evaluation,,,,99988047.0,ns,1247
Day 16,Task 2 - Expression tree evaluation,,,,98311024.0,ns,1290
Day 16,Task 2 - Expression tree evaluation,,,,97074527.0,ns,1333
Day 16,Task 2 - Expression tree evaluation,,,,101687626.0,ns,1376
Day 16,Task 2 - Expression tree evaluation,,,,103437113.0,ns,1419
Day 16,Task 2 - Expression tree evaluation,,,,106764891.0,ns,1462
Day 16,Task 2 - Expression tree evaluation,,,,109247404.0,ns,1505
Day 16,Task 2 - Expression tree evaluation,,,,113455553.0,ns,1548
Day 16,Task 2 - Expression tree evaluation,,,,117095785.0,ns,1591
Day 16,Task 2 - Expression tree evaluation,,,,119895404.0,ns,1634
Day 16,Task 2 - Expression tree evaluation,,,,121838873.0,ns,1677
Day 16,Task 2 - Expression tree evaluation,,,,125016631.0,ns,1720
Day 16,Task 2 - Expression tree evaluation,,,,130023691.0,ns,1763
Day 16,Task 2 - Expression tree evaluation,,,,131596974.0,ns,1806
Day 16,Task 2 - Expression tree evaluation,,,,134775915.0,ns,1849
Day 16,Task 2 - Expression tree evaluation,,,,138758523.0,ns,1892
Day 16,Task 2 - Expression tree evaluation,,,,141138401.0,ns,1935
Day 16,Task 2 - Expression tree evaluation,,,,144786783.0,ns,1978
Day 16,Task 2 - Expression tree evaluation,,,,147881548.0,ns,2021
Day 16,Task 2 - Expression tree evaluation,,,,152406465.0,ns,2064
Day 16,Task 2 - Expression tree evaluation,,,,153295009.0,ns,2107
Day 16,Task 2 - Expression tree evaluation,,,,156620238.0,ns,2150
